游戏名称,价格,好评率,好评人数,平均游玩时长,标签
漫步者 The Walker,¥ 4.00,4 篇用户评测,4,2.5h,"角色扮演, 动作角色扮演"
草原恋语--蒙古族民俗非遗传承,¥ 0.00,,,,角色扮演
侠之道(PathOfWuxia),¥ 98.00,78%,"28,209",37.0h,角色扮演
Degraman: Act I. Vincent,免费开玩,83%,191,9.4h,角色扮演
Project J,¥ 18.00,,,0.1h,角色扮演
IOX,免费,58%,12,18.8h,"角色扮演, 动作角色扮演"
胶囊人,¥ 0.00,,,,"角色扮演, 动作角色扮演"
Legend of the 9 Swords: Side Story,免费,100%,15,9.3h,角色扮演
Defend Them !,¥ 22.00,3 篇用户评测,3,0.8h,角色扮演
Seek Girl Ⅲ,¥ 11.00,83%,"2,672",7.3h,角色扮演
青春叙曲 Growing Up,¥ 48.00,87%,"3,314",9.5h,角色扮演
刀剑乱舞无双,¥ 349.00,87%,186,17.0h,动作角色扮演
Inferna,免费开玩,62%,"2,209",9.8h,"大型多人在线角色扮演, 角色扮演"
Hero Soul: I want to be a Hero!,¥ 37.00,1 篇用户评测,1,1.1h,"动作角色扮演, 角色扮演"
Nexomon,¥ 37.00,88%,"1,707",12.2h,角色扮演
El Culto: edición completa,¥ 28.00,1 篇用户评测,1,,角色扮演
Hogvalord,¥ 29.00,47%,17,1.5h,角色扮演
Iverian Wars: Craxion vs Defugel,免费开玩,32%,518,4.5h,"角色扮演, 大型多人在线角色扮演, 动作角色扮演"
Legend Creatures(传奇生物),¥ 19.00,89%,"3,779",20.8h,"角色扮演, 策略角色扮演"
哥布林时代,¥ 48.00,55%,20,3.7h,角色扮演
Deathtrap Dungeon: The Interactive Video Adventure,¥ 32.00,91%,165,3.9h,角色扮演
The Monster Breeder,¥ 108.00,91%,259,12.2h,策略角色扮演
Love Me Forever,¥ 0.00,,,,角色扮演
Burning Sun,¥ 0.00,,,,角色扮演
东方梦猫传,¥ 5.50,69%,46,1.2h,角色扮演
23UL,¥ 11.00,1 篇用户评测,1,1.3h,角色扮演
Void Eclipse,¥ 90.00,10%,10,1.1h,"角色扮演, 策略角色扮演"
Romancelvania,¥ 92.00,76%,246,4.7h,"动作角色扮演, 角色扮演"
The Last Roman Village 2,¥ 0.00,,,,"角色扮演, 动作角色扮演"
The Shenanigans of Cherry and Trix,¥ 22.00,3 篇用户评测,3,6.8h,角色扮演
Winter Snow | 冬雪,¥ 11.00,7 篇用户评测,7,3.7h,角色扮演
Shoot Them,¥ 12.00,80%,121,4.4h,角色扮演
食用系少女：美食內戰 Food Girls：Civil War,¥ 59.00,94%,69,8.2h,角色扮演
The Battles of Spwak 3,免费开玩,72%,22,7.2h,角色扮演
Wonder Cat,¥ 0.00,,,,角色扮演
Axe Cop,¥ 37.00,88%,18,1.8h,角色扮演
Zelter / 尸外桃源,¥ 76.00,48%,"1,731",9.0h,角色扮演
Abomi Nation,¥ 58.00,84%,117,6.5h,角色扮演
The Aftermath: Unnatural Selection,¥ 0.00,,,,角色扮演
WarriOrb: Prologue,免费,88%,398,1.3h,角色扮演
Piece Of Mind,¥ 50.00,3 篇用户评测,3,,动作角色扮演
Blind Justice,¥ 37.00,54%,61,1.7h,角色扮演
激战魔方 Dethcube,¥ 18.00,无用户评测,,26.9h,角色扮演
Terra Incognita,¥ 35.00,无用户评测,,8.1h,角色扮演
剑物语,¥ 27.00,2 篇用户评测,2,0.9h,角色扮演
Quarantine: Global Pandemic,¥ 18.00,63%,11,1.7h,策略角色扮演
苏菲的炼金工房 ～不可思议书的炼金术士～ DX,¥ 249.00,90%,918,34.5h,角色扮演
莉迪＆苏瑞的炼金工房 ～不可思议绘画的炼金术士～ DX,¥ 249.00,91%,379,47.5h,角色扮演
菲利丝的炼金工房 ～不可思议旅的炼金术士～ DX,¥ 249.00,74%,442,46.2h,角色扮演
Prison  X - Chapter 1: The Devil and The Sun,¥ 15.00,1 篇用户评测,1,,角色扮演
力智之王,¥ 0.00,,,,"角色扮演, 策略角色扮演"
Elementite,Elementite Demo,4 篇用户评测,4,1.2h,"角色扮演, 动作角色扮演"
Temporal Purge: Z,¥ 24.99,85%,47,2.7h,动作角色扮演
DreamScapes Dimensions,免费开玩,43%,83,24.6h,"角色扮演, 动作角色扮演, 大型多人在线角色扮演"
Paradigm Shift,免费,83%,12,10.8h,角色扮演
Rules of Alchemy,¥ 0.00,,,,"角色扮演, 动作角色扮演"
Nordicandia,免费开玩,67%,631,38.7h,"角色扮演, 动作角色扮演"
中年失业模拟器When a man lose his job,¥ 29.00,78%,344,8.7h,"策略角色扮演, 角色扮演"
The Alpha 001,¥ 15.00,3 篇用户评测,3,0.9h,"角色扮演, 动作角色扮演"
拼图猫娘4,¥ 22.00,94%,"4,293",14.7h,角色扮演
Azure Sky,¥ 18.00,76%,21,3.0h,角色扮演
GOC Royale,¥ 15.00,5 篇用户评测,5,0.6h,角色扮演
Anime Catgirl Runner,¥ 6.50,4 篇用户评测,4,1.7h,角色扮演
Through the Helios,¥ 22.00,1 篇用户评测,1,,角色扮演
太荒初境,¥ 68.00,38%,"12,572",70.2h,"角色扮演, 动作角色扮演"
Fractal Evolution,¥ 0.00,,,,角色扮演
荣光的见证 Glory's Witness,¥ 22.00,3 篇用户评测,3,1.1h,角色扮演
Fluffy Gore,Fluffy Gore Demo,5 篇用户评测,5,6.2h,"角色扮演, 动作角色扮演"
Renovators,¥ 0.00,,,,角色扮演
Berzerk Flashback,¥ 10.85,93%,134,10.1h,角色扮演
Lux mina,¥ 37.00,1 篇用户评测,1,,角色扮演
Edifice of Fiends,¥ 22.00,2 篇用户评测,2,13.2h,"策略角色扮演, 角色扮演"
The SOL Device 2,免费开玩,9 篇用户评测,9,6.4h,角色扮演
VR创造女郎,¥ 9.31,69%,65,2.0h,角色扮演
巴特拉：家在何方,¥ 110.00,73%,207,6.2h,"动作角色扮演, 角色扮演"
Minicraft Shooter,¥ 3.00,18%,11,4.8h,角色扮演
Nemesis - RPG,¥ 32.00,9 篇用户评测,9,21.5h,角色扮演
Crawler,¥ 11.00,33%,12,1.3h,动作角色扮演
Kiki & Ana - The Child,免费开玩,95%,125,3.5h,角色扮演
Cards & Tankards,免费开玩,87%,915,9.3h,角色扮演
Grimoire of Syvnta,¥ 0.00,,,,"角色扮演, 策略角色扮演"
弗洛伊斯(FREUS),试用版,1 篇用户评测,1,0.9h,"动作角色扮演, 角色扮演"
殺死秦始皇,¥ 10.00,81%,27,2.2h,"角色扮演, 动作角色扮演"
Cannon Lab 13,¥ 6.00,3 篇用户评测,3,0.8h,角色扮演
Horus IDLE,¥ 9.00,2 篇用户评测,2,2.7h,角色扮演
Vamp Night,¥ 11.00,77%,18,1.5h,动作角色扮演
童话森林,¥ 228.67,80%,357,11.3h,角色扮演
蓝色形态,¥ 26.00,92%,27,2.7h,角色扮演
QuietMansion1,¥ 18.00,91%,37,0.8h,角色扮演
行尸国度,¥ 0.00,,,,角色扮演
深空梦里人,¥ 76.00,93%,"7,765",5.5h,角色扮演
亿万恋人,¥ 15.00,95%,"3,588",3.1h,角色扮演
Shadowman®: Darque Legacy,¥ 0.00,,,,"角色扮演, 动作角色扮演, 策略角色扮演"
Vampire Clans,¥ 0.00,,,,"角色扮演, 动作角色扮演"
狗蛋神冒险-搞笑的声控冒险,¥ 11.00,8 篇用户评测,8,1.1h,角色扮演
Dungeon and Gravestone,¥ 80.00,52%,17,6.0h,角色扮演
Renova,¥ 36.00,2 篇用户评测,2,7.0h,"动作角色扮演, 角色扮演"
Tactical Battle Chronicles: Prelude to a War,¥ 50.00,无用户评测,,1.0h,角色扮演
秋末求生 | Survive the Fall,¥ 119.00,67%,567,12.4h,角色扮演
Guardians of the Wild Sky,¥ 0.00,,,,角色扮演
Deerstalker,¥ 0.00,,,,角色扮演
Champion Battlegrounds,¥ 0.00,,,,"角色扮演, 动作角色扮演"
飞龙勇士,¥ 36.50,94%,138,6.4h,"动作角色扮演, 角色扮演"
Host 714,¥ 22.00,100%,18,1.3h,"角色扮演, 动作角色扮演"
百家谜案集:温迪的家2,¥ 6.00,50%,12,2.3h,角色扮演
The Light Brigade,¥ 92.00,88%,"1,059",6.1h,角色扮演
无限世界:轮回小队,¥ 18.00,74%,39,4.8h,角色扮演
Rune Factory 4 Special,¥ 190.00,88%,"1,981",23.9h,角色扮演
