游戏名称,价格,好评率,好评人数,平均游玩时长,标签
Lazerbait,免费,96%,511,4.5h,"策略, 即时战略"
Moekuri: Adorable + Tactical SRPG,¥ 55.00,87%,325,14.0h,策略
TEOT - The End OF Tomorrow,¥ 30.00,50%,12,0.9h,策略
Victoria 3,¥ 198.00,72%,"39,167",103.2h,策略
Kittypocalypse - Ungoggled,¥ 36.00,79%,44,3.4h,"策略, 塔防"
FISH LAKE,¥ 37.00,3 篇用户评测,3,2.2h,策略
The Rabbit Hole Remastered,¥ 6.00,68%,35,3.7h,策略
Microgons,免费开玩,80%,75,14.9h,策略
Town Defence,免费,68%,22,19.9h,"策略, 塔防"
To Ash and Ember,¥ 0.00,,,,策略
VenusBlood FRONTIER International,¥ 114.99,93%,753,24.1h,策略
觅长生,¥ 58.00,93%,"26,298",52.5h,策略
漫步者 The Walker,¥ 4.00,4 篇用户评测,4,2.5h,即时战略
草原恋语--蒙古族民俗非遗传承,¥ 0.00,,,,策略
Post Scriptum CTG: Collectible Token Game,免费开玩,80%,15,23.5h,策略
Race Race Racer,¥ 6.00,79%,29,1.8h,策略
Ice Cream Fantasy,¥ 6.00,60%,10,2.9h,策略
Memory Match Saga,¥ 11.00,1 篇用户评测,1,3.7h,策略
Ruff 'N' Tumble: Mayhem,¥ 0.00,,,,策略
Tales of the Deck,¥ 37.00,5 篇用户评测,5,2.9h,"策略, 卡牌游戏"
Defend Them !,¥ 22.00,3 篇用户评测,3,0.8h,"策略, 塔防"
Pick Your Poison,¥ 0.00,,,,策略
Colormeleons,¥ 6.00,87%,48,266.7h,策略
Seek Girl Ⅲ,¥ 11.00,83%,"2,672",7.3h,策略
SANCTION,¥ 26.00,4 篇用户评测,4,,策略
[Chilla's Art] Yuki Onna | 雪女,¥ 22.00,76%,177,3.0h,策略
12 Labours of Hercules X: Greed for Speed,¥ 41.00,69%,23,22.5h,策略
Arzt Simulator,¥ 50.00,9 篇用户评测,9,1.1h,策略
Streamer Shall Not Pass!,¥ 678.00,1 篇用户评测,1,6.5h,策略
境界 Dice&Fighter,¥ 18.00,69%,95,17.0h,策略
Spot The Differences 2020 | 大家来找茬 2020,¥ 11.00,66%,12,2.3h,策略
City Block Builder,¥ 42.00,15%,13,0.3h,策略
Legend Creatures(传奇生物),¥ 19.00,89%,"3,779",20.8h,"策略, 4X"
哥布林时代,¥ 48.00,55%,20,3.7h,策略
The Monster Breeder,¥ 108.00,91%,259,12.2h,策略
TOTALLY BASEBALL,¥ 58.00,88%,150,7.0h,"策略, 塔防"
GraFi Christmas,¥ 3.08,5 篇用户评测,5,3.0h,策略
Master of Wills,免费开玩,75%,44,8.8h,"策略, 卡牌游戏"
Void Eclipse,¥ 90.00,10%,10,1.1h,"策略, 4X"
The Last Roman Village 2,¥ 0.00,,,,策略
食用系少女：美食內戰 Food Girls：Civil War,¥ 59.00,94%,69,8.2h,策略
永恒战场,免费开玩,69%,591,4.8h,策略
Abyss,¥ 0.00,,,,策略
Axe Cop,¥ 37.00,88%,18,1.8h,策略
The Visitors,¥ 22.00,无用户评测,,6.9h,策略
Bunny Sudoku,¥ 15.00,69%,13,1.6h,策略
Ruthless Conquest,免费,86%,99,10.4h,策略
Roast Party,免费开玩,81%,27,4.1h,策略
Abomi Nation,¥ 58.00,84%,117,6.5h,策略
Meandering Fiend,¥ 6.00,1 篇用户评测,1,0.8h,策略
UNHERD,免费开玩,76%,21,9.1h,策略
東１局５３本場,¥ 29.00,4 篇用户评测,4,0.8h,策略
Gem Jam,¥ 0.00,,,,策略
Blind Justice,¥ 37.00,54%,61,1.7h,策略
Paradise Away,¥ 0.00,,,,策略
剑物语,¥ 27.00,2 篇用户评测,2,0.9h,策略
Quarantine: Global Pandemic,¥ 18.00,63%,11,1.7h,策略
力智之王,¥ 0.00,,,,"4X, 策略"
Children's Jigsaw Puzzles,¥ 18.00,2 篇用户评测,2,3.5h,卡牌游戏
Epic City Builder 4,¥ 7.00,72%,25,1.7h,策略
Grandiose,¥ 11.00,68%,160,0.7h,策略
Hello Guest: Hello Neighbor 2 pre-alpha,免费,88%,775,6.2h,策略
Paper Planet,¥ 50.00,89%,376,6.6h,塔防
GOC Royale,¥ 15.00,5 篇用户评测,5,0.6h,"策略, 卡牌游戏"
循环世界,免费开玩,68%,22,5.0h,策略
太荒初境,¥ 68.00,38%,"12,572",70.2h,"策略, 塔防"
Mothercore,¥ 22.00,1 篇用户评测,1,,"策略, 塔防"
RETRIS,¥ 15.00,90%,11,3.5h,策略
Renovators,¥ 0.00,,,,策略
Berzerk Flashback,¥ 10.85,93%,134,10.1h,策略
Lunar Base Camp 2030+,¥ 11.00,1 篇用户评测,1,2.7h,策略
Edifice of Fiends,¥ 22.00,2 篇用户评测,2,13.2h,策略
FRIGID VR,¥ 0.00,,,,策略
The SOL Device 2,免费开玩,9 篇用户评测,9,6.4h,策略
Orc Warchief: Strategy Story,¥ 0.00,,,,"策略, 即时战略"
消灭水滴,¥ 6.00,1 篇用户评测,1,1.2h,策略
King's Cup: The online multiplayer drinking game,¥ 6.00,85%,21,2.6h,卡牌游戏
Battle Cube,¥ 6.00,74%,35,2.8h,策略
Horror Tycoon,¥ 58.00,61%,91,1.2h,"策略, 塔防, 即时战略"
A House of Thieves,¥ 39.99,86%,118,6.0h,策略
Cards & Tankards,免费开玩,87%,915,9.3h,"卡牌游戏, 策略"
Grimoire of Syvnta,¥ 0.00,,,,"卡牌游戏, 策略"
Math Hero - Minimalist Puzzle,¥ 6.00,80%,25,1.2h,策略
Mayhem Fortress,¥ 0.00,,,,塔防
Mage Hunters,¥ 11.00,80%,15,1.4h,策略
Space Warlord Organ Trading Simulator,¥ 70.00,92%,798,3.1h,策略
Base Defense VR,免费,59%,27,5.7h,"策略, 塔防"
REDITUM,REDITUM Demo,2 篇用户评测,2,1.4h,策略
Endless Furry Asteroids,¥ 6.00,5 篇用户评测,5,2.9h,策略
Ember Knight Solitaire,¥ 32.00,5 篇用户评测,5,10.4h,卡牌游戏
Murder at Midnight,¥ 32.00,92%,13,5.4h,策略
CrateTastrophe,¥ 11.00,3 篇用户评测,3,1.8h,策略
Vampire Clans,¥ 0.00,,,,策略
Golfie,¥ 68.00,66%,269,3.0h,"卡牌游戏, 策略"
Tactical Battle Chronicles: Prelude to a War,¥ 50.00,无用户评测,,1.0h,策略
三元方块,¥ 11.00,无用户评测,,2.0h,策略
The Last Worker,¥ 76.00,63%,44,10.3h,策略
Shadow Tactics: 爱子的选择 Aiko's Choice,¥ 80.00,93%,"3,889",9.1h,"策略, 即时战略"
NULLPTR,¥ 50.00,100%,11,2.9h,策略
Void Surfer,¥ 32.00,2 篇用户评测,2,2.0h,策略
Brave Deeds of Rescue Team,¥ 35.00,86%,43,10.0h,策略
无限世界:轮回小队,¥ 18.00,74%,39,4.8h,"策略, 卡牌游戏"
Gnomepunk,¥ 0.00,,,,策略
Cosmica,¥ 28.00,2 篇用户评测,2,0.1h,"策略, 卡牌游戏"
Seaport Tycoon,¥ 0.00,,,,"策略, 即时战略"
Cardlike,¥ 18.00,无用户评测,,11.2h,卡牌游戏
幻灵降世录,¥ 179.00,70%,"1,682",17.7h,策略
Blokker,¥ 11.00,93%,59,1.6h,策略
银魂：Silver Soul,¥ 8.00,57%,33,11.0h,策略
Hunted: Kobayashi Tower,¥ 22.00,100%,19,1.1h,卡牌游戏
HIGH&LOW　～めざせ！　26連勝！　5000兆円への道～,¥ 6.00,100%,10,2.1h,卡牌游戏
Erannorth Chronicles,¥ 77.28,86%,391,32.4h,"卡牌游戏, 策略"
The Great Menace,¥ 0.00,,,,"策略, 即时战略"
Earth Guard: Egypt,免费开玩,8 篇用户评测,8,7.0h,塔防
Into the Evernight,免费,100%,26,7.4h,策略
Survive Into Night,¥ 22.00,3 篇用户评测,3,0.9h,策略
诗酒剑江湖,¥ 6.00,7 篇用户评测,7,24.4h,"策略, 即时战略"
SpellForce: Conquest of Eo,¥ 108.00,81%,"2,072",20.5h,策略
Memorize V,¥ 3.00,6 篇用户评测,6,1.8h,策略
Wild Wild Chess,¥ 5.50,90%,21,23.6h,策略
Hello Puppets: Midnight Show,¥ 70.00,72%,62,4.5h,策略
Sanctuary Saga,¥ 50.00,8 篇用户评测,8,1.0h,策略
Color Pixel Heroes,¥ 11.00,4 篇用户评测,4,16.2h,策略
ALL OUT WAR : Welcome To The Front,¥ 0.00,,,,策略
Mercenaries Blaze,¥ 70.00,75%,555,12.6h,策略
ASV Trident,¥ 0.00,,,,策略
Last Group Out,¥ 37.00,81%,457,11.2h,策略
Rogue Tower,¥ 50.00,82%,"5,693",19.4h,"塔防, 策略"
Check x Mate,¥ 0.00,,,,策略
Khoros,¥ 22.00,3 篇用户评测,3,3.8h,策略
Brigandine The Legend of Runersia,¥ 116.00,85%,"1,238",21.1h,策略
Ball,¥ 11.00,9 篇用户评测,9,1.0h,即时战略
Communist Clicker,¥ 15.00,8 篇用户评测,8,1.6h,策略
Garenburg Penitence: The Riflebird,¥ 15.00,93%,15,4.3h,策略
Stellar Orphans,¥ 66.00,72%,131,15.7h,"卡牌游戏, 策略"
战车指挥官,免费开玩,58%,29,9.0h,"策略, 塔防"
超越海盗,免费开玩,87%,16,5.6h,策略
Warhammer Age of Sigmar: Realms of Ruin,¥ 57.10,55%,"1,815",6.3h,"策略, 即时战略"
长安地下城,¥ 0.00,,,,策略
LiS: Achados & Perdidos dos Confins do Universo,¥ 6.00,3 篇用户评测,3,1.4h,策略
Daily Dungeon Club,¥ 0.00,,,,策略
Satama Puzzle,¥ 28.00,7 篇用户评测,7,0.3h,策略
