游戏名称,价格,好评率,好评人数,平均游玩时长,标签
Awkward Dimensions Redux,免费,80%,"2,956",2.1h,解谜
"Creature Clicker - Capture, Train, Ascend!",免费开玩,49%,595,15.1h,指向点击
Crazy Sapper 3D,¥ 6.00,72%,133,4.4h,解谜
I Know a Tale,¥ 15.00,76%,42,3.8h,隐藏物体
ALONE? - VR,¥ 35.00,63%,36,3.7h,解谜
"Please, Don't Touch Anything 3D",¥ 42.00,81%,"1,309",3.5h,解谜
Mages of Mystralia,¥ 68.00,85%,876,7.1h,解谜
TAIKU MANSION,¥ 30.00,58%,84,4.6h,"指向点击, 解谜"
Ley Lines,免费,83%,153,5.8h,解谜
Disturbed,免费开玩,92%,"1,857",6.5h,"解谜, 指向点击"
Maniac Mansion,¥ 26.00,86%,197,2.1h,"指向点击, 解谜"
Water Heroes: A Game for Change,¥ 21.00,1 篇用户评测,1,5.0h,解谜
World to the West,¥ 75.00,79%,188,6.6h,解谜
The Black Grimoire: Cursebreaker,¥ 58.00,86%,776,17.6h,指向点击
漫步者 The Walker,¥ 4.00,4 篇用户评测,4,2.5h,解谜
Tales of Tomorrow: Experiment,¥ 37.00,58%,12,4.9h,解谜
Car Mechanic Simulator 2021,Car Mechanic Simulator 2021 Demo,95%,"34,243",23.0h,解谜
Good doktor,¥ 3.84,8 篇用户评测,8,1.0h,解谜
LIT: Bend the Light,¥ 40.00,92%,248,2.1h,解谜
Long Count,¥ 15.00,,,5.0h,指向点击
SOONA,¥ 11.00,3 篇用户评测,3,1.6h,指向点击
Scriptum VR: The Neighbor's House Escape Room,¥ 32.00,1 篇用户评测,1,0.6h,解谜
Ice Cream Fantasy,¥ 6.00,60%,10,2.9h,解谜
Memory Match Saga,¥ 11.00,1 篇用户评测,1,3.7h,"解谜, 隐藏物体, 指向点击"
Phantom Hills,¥ 0.00,,,,解谜
Ghetto Conspiracy,¥ 15.00,85%,14,1.4h,指向点击
MotoTrials,¥ 58.00,6 篇用户评测,6,0.9h,解谜
Seek Girl Ⅲ,¥ 11.00,83%,"2,672",7.3h,解谜
12 Labours of Hercules X: Greed for Speed,¥ 41.00,69%,23,22.5h,"解谜, 指向点击"
Help The Minotaur,¥ 11.00,,,0.0h,解谜
Memory,¥ 50.00,1 篇用户评测,1,7.7h,解谜
Time Travel Trainer,¥ 6.00,,,4.4h,解谜
混世萌王喵霸霸 Cute Chaos Demon Nyanbaba,¥ 3.00,98%,111,3.4h,"指向点击, 隐藏物体, 解谜"
Section Six,¥ 19.00,9 篇用户评测,9,1.1h,指向点击
Octopus City Blues,¥ 0.00,,,,指向点击
Labyrinths of the World: The Wild Side Collector's Edition,¥ 76.00,90%,11,3.7h,"隐藏物体, 指向点击"
Love Me Forever,¥ 0.00,,,,解谜
Royal Detective: The Last Charm Collector's Edition,¥ 76.00,4 篇用户评测,4,3.9h,隐藏物体
GraFi Christmas,¥ 3.08,5 篇用户评测,5,3.0h,解谜
Monkey GO Happy,免费,97%,251,2.6h,解谜
砌墙,¥ 25.00,无用户评测,,1.2h,解谜
K37-D,¥ 11.00,4 篇用户评测,4,4.3h,解谜
Hunt the Muglump,¥ 22.43,5 篇用户评测,5,6.5h,解谜
Bunny Sudoku,¥ 15.00,69%,13,1.6h,解谜
Meandering Fiend,¥ 6.00,1 篇用户评测,1,0.8h,解谜
UNHERD,免费开玩,76%,21,9.1h,解谜
Tower Climb,¥ 6.00,7 篇用户评测,7,1.0h,解谜
Island Marauder,免费开玩,81%,181,4.8h,解谜
Trapped,¥ 8.99,83%,133,1.6h,解谜
東１局５３本場,¥ 29.00,4 篇用户评测,4,0.8h,解谜
One-Eyed Lee and the Dinner Party,¥ 22.00,94%,19,1.1h,"指向点击, 解谜"
The Land of Crows,免费开玩,86%,46,8.1h,解谜
Joe Kowalski Chronicles: Murder in a flat,¥ 0.00,,,,指向点击
PePiBo: Peregrino Pinata Bowling,¥ 32.00,2 篇用户评测,2,,解谜
Octarina,免费,83%,299,1.1h,解谜
Children's Jigsaw Puzzles,¥ 18.00,2 篇用户评测,2,3.5h,解谜
[Chilla's Art] The Caregiver | 終焉介護,¥ 22.00,80%,414,2.5h,隐藏物体
拼图猫娘4,¥ 22.00,94%,"4,293",14.7h,解谜
Ascendum,¥ 56.00,100%,19,1.8h,解谜
Ink Shapes: Book One,¥ 0.00,,,,解谜
Hello Guest: Hello Neighbor 2 pre-alpha,免费,88%,775,6.2h,解谜
Maze Party,¥ 26.00,3 篇用户评测,3,14.2h,解谜
Roboggled Sokoban Game,¥ 15.00,2 篇用户评测,2,2.5h,解谜
Blockdown,免费开玩,93%,30,5.5h,解谜
Risu,¥ 0.00,,,,解谜
A hermit crab is finding a house,¥ 6.00,100%,27,1.9h,解谜
Robot Robert,¥ 6.00,75%,28,12.5h,解谜
Inversion,¥ 22.00,90%,20,1.5h,解谜
Oscar & Gems: Puzzle Quest,¥ 11.00,91%,12,2.3h,解谜
Run Ralph Run,¥ 30.00,73%,26,3.4h,解谜
Neon,¥ 30.00,95%,48,1.3h,解谜
Dream of Tomorrow,¥ 0.00,,,,"指向点击, 解谜"
Arnold,¥ 3.19,100%,23,2.3h,解谜
Defender of Kuiper Belt,Demo,,,2.0h,解谜
Get Together: A Coop Adventure,¥ 5.50,65%,84,2.4h,解谜
labyrinth 3,¥ 6.00,4 篇用户评测,4,1.5h,解谜
RETRIS,¥ 15.00,90%,11,3.5h,解谜
Meow Lab,¥ 11.00,95%,71,8.1h,"解谜, 指向点击, 隐藏物体"
Hexacore,¥ 15.00,4 篇用户评测,4,0.0h,"解谜, 指向点击"
The SOL Device 2,免费开玩,9 篇用户评测,9,6.4h,解谜
Recontact London: Cyber Puzzle,¥ 15.00,35%,17,2.3h,"解谜, 隐藏物体"
Bleak end,¥ 0.00,,,,解谜
Solitons,¥ 0.00,,,,解谜
Women's Quiz,¥ 18.00,1 篇用户评测,1,2.0h,益智问答
消灭水滴,¥ 6.00,1 篇用户评测,1,1.2h,"解谜, 指向点击"
巴特拉：家在何方,¥ 110.00,73%,207,6.2h,解谜
What Never Was: Chapter II,¥ 0.00,,,,"解谜, 指向点击"
A House of Thieves,¥ 39.99,86%,118,6.0h,解谜
Poop,免费开玩,58%,301,294.5h,隐藏物体
Math Hero - Minimalist Puzzle,¥ 6.00,80%,25,1.2h,解谜
Machinika: Museum,¥ 32.00,91%,"1,120",5.1h,"解谜, 指向点击, 隐藏物体"
Grab Toy,¥ 18.00,2 篇用户评测,2,1.8h,解谜
Cannon Lab 13,¥ 6.00,3 篇用户评测,3,0.8h,解谜
Rowfall,¥ 15.00,1 篇用户评测,1,2.3h,解谜
Soobmarinno,¥ 30.00,83%,12,8.1h,解谜
Coloring Book for Kids,免费开玩,88%,154,7.5h,指向点击
Horus IDLE,¥ 9.00,2 篇用户评测,2,2.7h,指向点击
Stellar Mess: The Princess Conundrum (Chapter 1),¥ 3.00,97%,36,5.2h,"指向点击, 隐藏物体"
Enigma of Fear,¥ 92.00,95%,"2,914",9.6h,解谜
Tail Trail,免费开玩,71%,21,2.3h,指向点击
Mage Hunters,¥ 11.00,80%,15,1.4h,解谜
The Lodge,免费开玩,36%,71,2.0h,解谜
Childkin: Tiny Adventures,¥ 0.00,,,,隐藏物体
Pixel Fixel,免费,100%,122,6.6h,解谜
蓝色形态,¥ 26.00,92%,27,2.7h,解谜
Hide Seek Survive,¥ 22.00,无用户评测,,14.7h,"隐藏物体, 解谜"
A Night Before the Deadline,免费开玩,77%,22,4.1h,隐藏物体
Destroy Geometric Shapes,¥ 6.00,86%,23,0.7h,解谜
REDITUM,REDITUM Demo,2 篇用户评测,2,1.4h,解谜
Fruit Row,¥ 12.00,84%,13,1.1h,解谜
ParticuLights,¥ 15.00,1 篇用户评测,1,3.4h,"指向点击, 隐藏物体"
Ember Knight Solitaire,¥ 32.00,5 篇用户评测,5,10.4h,隐藏物体
Grammarian Ltd,¥ 37.00,89%,46,3.6h,"指向点击, 解谜"
CrateTastrophe,¥ 11.00,3 篇用户评测,3,1.8h,解谜
Midnight Girl,¥ 58.00,92%,139,3.5h,"指向点击, 解谜"
Golfie,¥ 68.00,66%,269,3.0h,解谜
Trolley Simulator,¥ 0.00,,,,解谜
三元方块,¥ 11.00,无用户评测,,2.0h,解谜
The Last Worker,¥ 76.00,63%,44,10.3h,解谜
of pawns & kings,¥ 0.00,,,,指向点击
Shadow Tactics: 爱子的选择 Aiko's Choice,¥ 80.00,93%,"3,889",9.1h,解谜
Deerstalker,¥ 0.00,,,,指向点击
NULLPTR,¥ 50.00,100%,11,2.9h,解谜
Brave Deeds of Rescue Team,¥ 35.00,86%,43,10.0h,解谜
百家谜案集:温迪的家2,¥ 6.00,50%,12,2.3h,解谜
Mimetic - Prop hunt hide and seek,¥ 36.00,83%,12,0.1h,隐藏物体
Between Time: Escape Room,¥ 37.00,80%,311,3.3h,"解谜, 隐藏物体, 指向点击"
Mad Cart,¥ 6.00,,,0.9h,解谜
Aventura Pisicului Pierdut,¥ 15.00,100%,12,3.9h,指向点击
Ambidextrous Psychopath,¥ 6.00,9 篇用户评测,9,2.4h,解谜
Puzzledorf,¥ 42.00,100%,13,3.0h,解谜
Blokker,¥ 11.00,93%,59,1.6h,解谜
银魂：Silver Soul,¥ 8.00,57%,33,11.0h,解谜
Escape Abstraction,¥ 26.00,2 篇用户评测,2,4.1h,解谜
Samorost 1,免费,95%,"5,191",5.1h,"指向点击, 解谜"
Manipulator I:The Hand Behind,¥ 37.00,,,1.5h,解谜
Haunted House - The Murder,¥ 11.00,4 篇用户评测,4,1.6h,指向点击
Lock Lock: Farm,¥ 11.00,100%,12,1.9h,解谜
Food Delivery Service,¥ 15.00,66%,30,1.6h,隐藏物体
HUMANITY,¥ 108.00,93%,470,5.9h,解谜
The Phantom Fellows,¥ 58.00,86%,52,4.5h,指向点击
The Five Covens,¥ 22.00,5 篇用户评测,5,1.3h,解谜
Stories of Blossom,¥ 56.00,94%,19,3.4h,"解谜, 指向点击"
Kosmo Laika : Guide to Space,¥ 11.00,95%,22,0.5h,"益智问答, 指向点击, 解谜"
Unlocked,¥ 15.00,92%,13,53.7h,隐藏物体
Super Mega Zero,¥ 37.00,100%,25,4.3h,解谜
The Magic of Three,免费开玩,94%,17,10.4h,解谜
Memorize V,¥ 3.00,6 篇用户评测,6,1.8h,解谜
A Couple Of Cubes,¥ 0.00,,,,解谜
LumbearJack,¥ 52.00,95%,255,4.0h,解谜
Color Pixel Heroes,¥ 11.00,4 篇用户评测,4,16.2h,"指向点击, 解谜"
Corduroy Hollow,¥ 0.00,,,,解谜
The Little Red Lie,免费开玩,93%,579,2.3h,解谜
Abyss Memory Fallen Angel and the Path of Magic,¥ 22.00,6 篇用户评测,6,1.2h,解谜
Cursed House,¥ 0.00,64%,34,1.2h,隐藏物体
Check x Mate,¥ 0.00,,,,解谜
Memory Train,¥ 18.00,,,1.5h,"指向点击, 解谜"
Khoros,¥ 22.00,3 篇用户评测,3,3.8h,解谜
Tumblebugs,¥ 70.00,93%,108,11.7h,解谜
The Redress of Mira,¥ 33.00,73%,38,3.3h,隐藏物体
Ball,¥ 11.00,9 篇用户评测,9,1.0h,隐藏物体
Communist Clicker,¥ 15.00,8 篇用户评测,8,1.6h,指向点击
Two of us,免费,90%,11,6.4h,"隐藏物体, 解谜"
Garenburg Penitence: The Riflebird,¥ 15.00,93%,15,4.3h,解谜
Ultimate Christmas Puzzler 2,¥ 28.00,1 篇用户评测,1,,"隐藏物体, 解谜, 指向点击"
Profession investigator,¥ 43.00,98%,96,9.9h,解谜
Fear of the Dark,¥ 28.00,69%,13,2.5h,隐藏物体
Word of the Law: Death Mask Collector's Edition,¥ 6.60,78%,32,4.8h,"指向点击, 隐藏物体, 解谜"
王室传说：湿地的诅咒 典藏版,¥ 33.00,64%,14,3.4h,"隐藏物体, 解谜, 指向点击"
LiS: Achados & Perdidos dos Confins do Universo,¥ 6.00,3 篇用户评测,3,1.4h,解谜
Krampus Kills,¥ 50.00,87%,65,2.2h,解谜
Satama Puzzle,¥ 28.00,7 篇用户评测,7,0.3h,解谜
Into the Waves,免费,91%,87,4.7h,指向点击
Lastone: Behind the Choice,¥ 22.00,3 篇用户评测,3,2.0h,"解谜, 指向点击"
Mirrorama,¥ 3.30,83%,24,1.9h,解谜
Pixacrea: Adventure,¥ 0.00,,,,指向点击
Momo is Here,¥ 15.00,75%,49,0.7h,解谜
Infiltraliens,免费开玩,80%,55,2.8h,解谜
I Believe In Giants,¥ 0.00,,,,解谜
心心相印：满月诅咒 典藏版,¥ 33.00,66%,24,4.8h,"隐藏物体, 解谜, 指向点击"
A Peculiar Adventure On Bast,¥ 0.00,,,,"指向点击, 解谜"
Darkness Battle,¥ 33.00,,,7.3h,解谜
Shape Boxed,¥ 18.00,,,2.9h,解谜
SEARCH ALL - POTIONS,¥ 15.00,90%,44,0.4h,"隐藏物体, 解谜, 指向点击"
Noir Storm,¥ 0.00,,,,"指向点击, 解谜"
Dodo Life,¥ 0.00,,,,解谜
