游戏名称,价格,好评率,好评人数,平均游玩时长,标签
Snack Invaders,¥ 0.00,,,,"射击, 第一人称射击"
The Monster Breeder,¥ 108.00,91%,259,12.2h,战术
TOTALLY BASEBALL,¥ 58.00,88%,150,7.0h,第一人称射击
Void Eclipse,¥ 90.00,10%,10,1.1h,战术
The Last Roman Village 2,¥ 0.00,,,,战术
Shoot Them,¥ 12.00,80%,121,4.4h,第一人称射击
IRON REBELLION,¥ 92.00,84%,712,1.7h,"第一人称射击, 射击, 战术"
食用系少女：美食內戰 Food Girls：Civil War,¥ 59.00,94%,69,8.2h,第一人称射击
DEFICIT,¥ 0.00,,,,"射击, 战术, 第一人称射击"
K37-D,¥ 11.00,4 篇用户评测,4,4.3h,"射击, 第一人称射击"
Zelter / 尸外桃源,¥ 76.00,48%,"1,731",9.0h,第一人称射击
Vapormaze,¥ 50.00,77%,18,1.0h,"第一人称射击, 射击"
Bunny Sudoku,¥ 15.00,69%,13,1.6h,战术
The Aftermath: Unnatural Selection,¥ 0.00,,,,射击
Piece Of Mind,¥ 50.00,3 篇用户评测,3,,第三人称射击
Musical Aim Trainer,¥ 15.00,2 篇用户评测,2,0.2h,"第一人称射击, 射击, 战术"
Orange Cast: Sci-Fi Space Action Game,¥ 29.00,45%,137,4.4h,"第三人称射击, 射击"
激战魔方 Dethcube,¥ 18.00,无用户评测,,26.9h,"射击, 第三人称射击"
Chrono The Nightmare Begins,¥ 0.00,,,,"第三人称射击, 射击"
Don't Be A Baby!,¥ 6.00,2 篇用户评测,2,1.8h,射击
Elementite,Elementite Demo,4 篇用户评测,4,1.2h,"第三人称射击, 射击"
Temporal Purge: Z,¥ 24.99,85%,47,2.7h,"第一人称射击, 射击"
Groov,¥ 21.00,100%,12,1.3h,射击
FarmZone,¥ 0.00,,,,第三人称射击
Range is HOT!,¥ 90.00,75%,40,1.9h,"射击, 战术, 第一人称射击"
[Chilla's Art] The Caregiver | 終焉介護,¥ 22.00,80%,414,2.5h,第一人称射击
Inglorious Aztecs,¥ 6.00,6 篇用户评测,6,1.6h,射击
JAB!,¥ 15.00,4 篇用户评测,4,77.7h,第三人称射击
My Last Memories About You,¥ 18.00,90%,11,0.3h,第一人称射击
GOC Royale,¥ 15.00,5 篇用户评测,5,0.6h,战术
CrushBorgs,¥ 22.00,93%,113,2.2h,射击
Happy Day,¥ 3.08,27%,18,1.4h,第一人称射击
Lost Assassin - A Tale of AI Corruption,¥ 18.00,,,2.2h,射击
We Can Make It,¥ 0.00,,,,"射击, 第三人称射击"
荣光的见证 Glory's Witness,¥ 22.00,3 篇用户评测,3,1.1h,射击
Robot Robert,¥ 6.00,75%,28,12.5h,射击
Neon Warrior,¥ 42.00,84%,13,4.1h,射击
Run Ralph Run,¥ 30.00,73%,26,3.4h,射击
Renovators,¥ 0.00,,,,战术
Apostle 3D,¥ 15.00,7 篇用户评测,7,1.6h,"射击, 第一人称射击"
FRIGID VR,¥ 0.00,,,,射击
Orc Warchief: Strategy Story,¥ 0.00,,,,战术
MARK-I: Mission Pilot,¥ 11.00,5 篇用户评测,5,1.6h,射击
QFIELD,¥ 0.00,,,,"第一人称射击, 第三人称射击, 射击"
Solitons,¥ 0.00,,,,射击
Agent X,¥ 6.00,38%,13,0.3h,射击
Asteroids Belt: Try to Survive!,¥ 6.00,91%,24,2.3h,"射击, 第三人称射击"
Green world: Catharsis,¥ 18.00,100%,16,1.3h,"射击, 第一人称射击, 战术"
Battle Cube,¥ 6.00,74%,35,2.8h,射击
Minicraft Shooter,¥ 3.00,18%,11,4.8h,射击
Hatchpunk,¥ 29.25,2 篇用户评测,2,1.0h,"射击, 第一人称射击"
Smoked Gun,¥ 6.00,72%,29,1.1h,射击
WaterPolo Inter Nation,¥ 0.00,,,,战术
A House of Thieves,¥ 39.99,86%,118,6.0h,战术
Muffin Fight,¥ 15.00,4 篇用户评测,4,0.5h,第一人称射击
Rowfall,¥ 15.00,1 篇用户评测,1,2.3h,战术
Mayhem Fortress,¥ 0.00,,,,射击
Apollo 3000: Wild Space,¥ 0.00,,,,第一人称射击
ENDO,ENDO Demo,100%,31,1.7h,第一人称射击
Tail Trail,免费开玩,71%,21,2.3h,第三人称射击
Vamp Night,¥ 11.00,77%,18,1.5h,射击
Base Defense VR,免费,59%,27,5.7h,第一人称射击
QuietMansion1,¥ 18.00,91%,37,0.8h,第一人称射击
行尸国度,¥ 0.00,,,,射击
Samurai Zero,¥ 0.00,,,,战术
Starless,¥ 32.00,90%,33,2.0h,射击
Aero Battle,¥ 3.33,72%,11,5.9h,射击
REDITUM,REDITUM Demo,2 篇用户评测,2,1.4h,第一人称射击
Endless Furry Asteroids,¥ 6.00,5 篇用户评测,5,2.9h,射击
CrateTastrophe,¥ 11.00,3 篇用户评测,3,1.8h,"第一人称射击, 战术, 射击"
VAR: Exterminate,¥ 50.00,89%,130,4.4h,"射击, 第一人称射击"
Yupitergrad 🚀: Sneaki Peaki (Virtual Reality Adventure),免费,98%,52,3.4h,射击
Daenerys Miracle,¥ 6.00,84%,33,1.7h,"第三人称射击, 射击"
Riot Control Simulator,¥ 0.00,,,,"战术, 第一人称射击"
Tactical Battle Chronicles: Prelude to a War,¥ 50.00,无用户评测,,1.0h,战术
秋末求生 | Survive the Fall,¥ 119.00,67%,567,12.4h,战术
Shadow Tactics: 爱子的选择 Aiko's Choice,¥ 80.00,93%,"3,889",9.1h,战术
Dangerous Chris,¥ 6.00,9 篇用户评测,9,1.3h,射击
Void Surfer,¥ 32.00,2 篇用户评测,2,2.0h,射击
The Light Brigade,¥ 92.00,88%,"1,059",6.1h,"射击, 第一人称射击, 战术"
