游戏名称,价格,好评率,好评人数,平均游玩时长,标签
Post Scriptum CTG: Collectible Token Game,免费开玩,80%,15,23.5h,模拟
Tales of Tomorrow: Experiment,¥ 37.00,58%,12,4.9h,模拟
Juken Jigoku | 受験地獄,¥ 15.00,66%,45,1.1h,模拟
Car Mechanic Simulator 2021,Car Mechanic Simulator 2021 Demo,95%,"34,243",23.0h,模拟
Good doktor,¥ 3.84,8 篇用户评测,8,1.0h,模拟
LIT: Bend the Light,¥ 40.00,92%,248,2.1h,"模拟, 建造"
FOOD FACTORY VR,¥ 37.00,无用户评测,,1.1h,模拟
Race Race Racer,¥ 6.00,79%,29,1.8h,模拟
Project J,¥ 18.00,,,0.1h,模拟
Memory Match Saga,¥ 11.00,1 篇用户评测,1,3.7h,模拟
胶囊人,¥ 0.00,,,,建造
Phantom Hills,¥ 0.00,,,,模拟
房产达人 2,¥ 87.98,87%,"14,848",26.0h,"模拟, 建造"
Hoarding Simulator,¥ 15.00,3 篇用户评测,3,1.3h,模拟
Colormeleons,¥ 6.00,87%,48,266.7h,"模拟, 建造"
MotoTrials,¥ 58.00,6 篇用户评测,6,0.9h,模拟
青春叙曲 Growing Up,¥ 48.00,87%,"3,314",9.5h,模拟
Arzt Simulator,¥ 50.00,9 篇用户评测,9,1.1h,模拟
Forgotten Ways,¥ 11.00,90%,96,24.0h,模拟
PixHunter,¥ 11.00,4 篇用户评测,4,0.9h,模拟
Nexomon,¥ 37.00,88%,"1,707",12.2h,模拟
Hogvalord,¥ 29.00,47%,17,1.5h,"模拟, 农场模拟"
Spot The Differences 2020 | 大家来找茬 2020,¥ 11.00,66%,12,2.3h,模拟
City Block Builder,¥ 42.00,15%,13,0.3h,"模拟, 建造"
哥布林时代,¥ 48.00,55%,20,3.7h,模拟
MCAS Simulation,¥ 26.00,4 篇用户评测,4,14.6h,模拟
Detective Simulator,¥ 0.00,,,,模拟
《辽阔旷野》Open Country,¥ 19.20,38%,321,6.8h,模拟
Cyber Fight Challenge,¥ 37.00,37%,45,1.3h,模拟
Section Six,¥ 19.00,9 篇用户评测,9,1.1h,模拟
Octopus City Blues,¥ 0.00,,,,模拟
Shuttle Commander,¥ 80.00,53%,26,0.5h,模拟
The Monster Breeder,¥ 108.00,91%,259,12.2h,模拟
TOTALLY BASEBALL,¥ 58.00,88%,150,7.0h,模拟
GraFi Christmas,¥ 3.08,5 篇用户评测,5,3.0h,模拟
The Last Roman Village 2,¥ 0.00,,,,模拟
IRON REBELLION,¥ 92.00,84%,712,1.7h,模拟
砌墙,¥ 25.00,无用户评测,,1.2h,模拟
Bus World,¥ 68.00,72%,"1,755",5.0h,模拟
Zelter / 尸外桃源,¥ 76.00,48%,"1,731",9.0h,"建造, 模拟"
Piece Of Mind,¥ 50.00,3 篇用户评测,3,,"模拟, 建造"
Musical Aim Trainer,¥ 15.00,2 篇用户评测,2,0.2h,模拟
Blind Justice,¥ 37.00,54%,61,1.7h,模拟
Paradise Away,¥ 0.00,,,,模拟
Terra Incognita,¥ 35.00,无用户评测,,8.1h,模拟
剑物语,¥ 27.00,2 篇用户评测,2,0.9h,模拟
Quarantine: Global Pandemic,¥ 18.00,63%,11,1.7h,模拟
苏菲的炼金工房 ～不可思议书的炼金术士～ DX,¥ 249.00,90%,918,34.5h,模拟
莉迪＆苏瑞的炼金工房 ～不可思议绘画的炼金术士～ DX,¥ 249.00,91%,379,47.5h,模拟
菲利丝的炼金工房 ～不可思议旅的炼金术士～ DX,¥ 249.00,74%,442,46.2h,模拟
