排名,游戏名称,性价比得分,归一化时长,修正好评率,正向化价格
1,"7,0.717507,0.778388,4.273799,0.019796
2,Hero Quest - God of Chaos,0.705294,1.000000,1.127128,0.024266
3,Genius! NAZI-GIRL GoePPels-Chan ep2,0.656243,0.847198,1.158910,0.007024
4,Joyfess Ep1: Martin's Secret Recipe,0.534124,0.643353,0.880778,0.011175
5,A Priest Walks Into a Graveyard,0.478039,0.560006,0.975806,0.009579
6,Vision of Aurora Borealis,0.421865,0.489420,0.817907,0.005747
7,Depths Unseen,0.310023,0.026813,6.324469,0.000000
8,the jester's revenge (Demo),0.308314,0.019545,6.324469,0.000000
9,RuneShroom,0.307251,0.014860,6.324469,0.000000
10,Escape from Spikes,0.307223,0.014699,6.324469,0.000958
11,Strike Master Apocalypse,0.306820,0.012922,6.324469,0.000000
12,Publisher Tycoon,0.306777,0.012599,6.324469,0.003512
13,The Final Days: I'm Still Alive,0.306555,0.011468,6.324469,0.006705
14,Path to Knighthood,0.305805,0.007915,6.324469,0.009259
15,泪之轨迹,0.305799,0.178969,4.711880,0.011494
16,Duskless: The Clockwork Army,0.305560,0.006784,6.324469,0.008940
17,EOS-503,0.305557,0.007107,6.324469,0.000000
18,Crystal Cosmos,0.305542,0.006784,6.324469,0.006705
19,Boaty Tanks 2,0.305529,0.006461,6.324469,0.013410
20,Royal Romances: The Power of Chosen One Collector's Edition,0.305505,0.006461,6.324469,0.010536
21,PolyLumina,0.305454,0.006623,6.324469,0.000000
22,The Thin Silence,0.305413,0.005976,6.324469,0.011814
23,Alcyone: The Last City,0.305367,0.005492,6.324469,0.018519
24,The Odyssey,0.305336,0.005815,6.324469,0.006705
25,Carnival in the hut,0.305324,0.005976,6.324469,0.000958
26,Grim Facade: Hidden Sins Collector's Edition,0.305307,0.005653,6.324469,0.007280
27,??,0.305276,0.005330,6.324469,0.011814
28,Hidden Expedition: Dawn of Prosperity Collector's Edition,0.305273,0.005492,6.324469,0.007280
29,Escape Game Cake,0.305184,0.005169,6.324469,0.004789
30,Revenge of the Spirit: Rite of Resurrection,0.305153,0.004846,6.324469,0.009259
31,Wisp Child,0.305027,0.003877,6.324469,0.018519
32,One Life: Parkour Project,0.304955,0.004038,6.324469,0.005747
33,Machinations: Fog of War,0.304931,0.003877,6.324469,0.007024
34,Zombie Trigger,0.304846,0.003554,6.324469,0.004789
35,Forgotten,0.304835,0.003554,6.324469,0.003512
36,Retro Revengers,0.304782,0.002907,6.324469,0.013410
37,Sunrise Of The Time: End Of Blue,0.304722,0.003069,6.324469,0.001916
38,Another Dawn,0.304646,0.001938,6.324469,0.021073
39,Go Ahead,0.304623,0.002423,6.324469,0.006383
40,Lost in Loss,0.304615,0.002423,6.324469,0.005364
41,Attack Of The Retro Bots,0.304600,0.002423,6.324469,0.003512
42,Playthings: VR Music Vacation,0.304588,0.002423,6.324469,0.001916
43,Whitetail Challenge,0.304585,0.002261,6.324469,0.005747
44,幸存者之地,0.304528,0.001938,6.324469,0.007024
45,Backrooms: Lost Place,0.304495,0.001777,6.324469,0.007024
46,Tuna The Cat,0.304467,0.001777,6.324469,0.003512
47,"""Ta""",0.304454,0.001777,6.324469,0.001916
48,Prison Simulator VR,0.304315,0.000646,6.324469,0.013410
49,骰子牛排的亡灵,0.304278,0.000808,6.324469,0.004789
50,Desert Race Adventures,0.304273,0.000646,6.324469,0.008301
51,Silhouette: Chapter One,0.304273,0.000969,6.324469,0.000000
52,SRX,0.304269,0.000485,6.324469,0.011814
53,Inori's House,0.304222,0.000646,6.324469,0.001916
54,Soccer Kid,0.304200,0.000162,6.324469,0.011494
55,马尔代夫之梦,0.304186,0.000323,6.324469,0.005747
56,Evil Superhero Simulator,0.304179,0.000323,6.324469,0.004789
