排名,游戏名称,性价比得分,归一化时长,修正好评率,正向化价格
1,"Warhammer 40,0.062960,0.047463,12.027357,0.000000
2,"Warhammer 40,0.062960,0.047463,12.027357,0.000000
3,宝藏世界,0.047930,0.002166,0.790038,1.000000
4,Hero Quest - God of Chaos,0.032274,0.032153,1.125447,0.062193
5,"7,0.023269,0.017964,4.237252,0.050736
6,人中之龙３,0.028921,0.001257,0.810447,0.590835
7,3D PUZZLE - PORT,0.027259,0.000561,1.023830,0.554828
8,3D PUZZLE - LAST OF CITY,0.027226,0.000712,0.918365,0.554828
9,"7,0.023269,0.017964,4.237252,0.050736
10,Alcyone: The Last City,0.022085,0.000177,6.322067,0.047463
11,Cthulhu's Catharsis,0.022053,0.000171,6.322067,0.040917
12,Path to Knighthood,0.021996,0.000254,6.322067,0.023732
13,101st Airborne in Normandy,0.021981,0.000203,6.322067,0.018003
14,Machinations: Fog of War,0.021979,0.000125,6.322067,0.018003
15,马尔代夫之梦,0.021970,0.000010,6.322067,0.014730
16,HEGGO/鸡蛋英雄,0.021965,0.000270,6.322067,0.000000
17,Sunrise Of The Time: End Of Blue,0.021961,0.000099,6.322067,0.004910
18,"""Ta""",0.021960,0.000057,6.322067,0.004910
19,Tales of Eden: Midgard,0.019345,0.000031,5.500688,0.062193
20,Heroes of Issachar,0.019300,0.000156,5.500688,0.055646
21,LongStory 2,0.019245,0.000062,5.500688,0.047463
22,Metamancer,0.019245,0.000031,5.500688,0.047463
23,Hammer of Pain,0.019205,0.000431,5.500688,0.037643
24,废土华夏wasteland of east,0.019175,0.000390,5.500688,0.031097
25,Stones of Harlath,0.019162,0.000042,5.500688,0.030278
26,Reformpunk重組叛客,0.019138,0.000883,5.500688,0.000000
27,ArchMMO 2,0.019137,0.000031,5.500688,0.022913
28,Decker,0.019133,0.000073,5.500688,0.021277
29,Churchgoers,0.019125,0.000083,5.500688,0.018003
30,A Collection of Mini-Games,0.019122,0.000597,5.500688,0.000000
31,ikuzo,0.019121,0.000566,5.500688,0.000000
32,Magnir Saga Part 1,0.019115,0.000421,5.500688,0.000000
33,天下往事 Journey of the world,0.019112,0.000348,5.500688,0.000000
34,龙纹鳌虾,0.019109,0.000203,5.500688,0.004910
35,Roman Rumble,0.019108,0.000244,5.500688,0.000000
36,Your Star,0.019108,0.000171,5.500688,0.004910
37,Song of Nanzhao,0.019108,0.000213,5.500688,0.000000
38,Deep Dungeon: Gym,0.019107,0.000140,5.500688,0.004910
39,人渣,0.017628,0.005557,0.740040,0.335712
40,泪之轨迹,0.017421,0.005754,4.709079,0.029460
41,《地平线 西之绝境?》完整版,0.017084,0.002244,0.880164,0.338789
42,Rifle Storm,0.016487,0.000254,4.709079,0.044190
43,Space Salvager,0.016471,0.000400,4.709079,0.040908
44,ClickRaid2,0.016458,0.016359,0.682245,0.034370
45,竹书纪年：三国志风云录,0.016407,0.000452,4.709079,0.027823
46,Toby's Island,0.016407,0.000093,4.709079,0.030278
47,Minotaur's Maze,0.016402,0.000057,4.709079,0.029460
48,Forgotten Beginnings: A New Afterlife,0.016374,0.000904,4.709079,0.000000
49,Agent Versus,0.016374,0.000151,4.709079,0.021277
50,Maraiyum: Rise of the Setting Sun,0.016372,0.000099,4.709079,0.021277
51,露露的装备店,0.016369,0.000514,4.709079,0.014730
52,Biosys Inc,0.016365,0.000415,4.709079,0.014730
53,Wolf Souls,0.016363,0.000125,4.709079,0.018003
54,The Puppeteer,0.016363,0.000114,4.709079,0.018003
55,Tiny World,0.016362,0.000696,4.709079,0.000000
56,The Witch's fabulous Cracker Show,0.016353,0.000530,4.709079,0.000000
57,道之战,0.016346,0.000348,4.709079,0.000000
58,Langrisser I & II,0.013910,0.001226,0.734649,0.276596
59,Pillar of Salt,0.013851,0.000088,3.955358,0.042553
60,LOST SPHEAR,0.013785,0.000530,0.588029,0.276596
61,末日校园,0.013777,0.000068,3.955358,0.031097
62,The Lattice Grimoire,0.013774,0.000145,3.955358,0.030278
63,Venture Forth,0.013771,0.000197,3.955358,0.029460
64,Super Toaster X: Learn Japanese RPG,0.013768,0.000057,3.955358,0.029460
65,Wills and Wonders,0.013768,0.000042,3.955358,0.029460
66,Magehunter: Phoenix Flame,0.013745,0.000229,3.955358,0.023732
67,精分医生,0.013732,0.000119,3.955358,0.021277
68,回卷球 Bandage Rewind,0.013726,0.000093,3.955358,0.019640
69,Hue Defense,0.013724,0.000249,3.955358,0.018003
70,Gate One,0.013722,0.000177,3.955358,0.018003
71,灵幻先生 : 致敬一代僵尸道长！The Exorcist,0.013719,0.000031,3.955358,0.018003
72,骨魂,0.013715,0.000088,3.955358,0.016358
73,PrincessGuardiansParodyH,0.013715,0.000675,3.955358,0.000000
74,Epic Flail,0.013711,0.000078,3.955358,0.014730
75,缘起,0.013710,0.000597,3.955358,0.000000
76,Looking Back,0.013708,0.000229,3.955358,0.012275
77,Heaven's Voice Feast of Famine,0.013701,0.000410,3.955358,0.000000
78,OnlySociety Midgard Imperial,0.013701,0.000400,3.955358,0.000000
79,Gamehunt,0.013696,0.000197,3.955358,0.004910
80,博德之门3,0.013542,0.005318,0.960004,0.243863
81,Resident Evil Revelations 2,0.013325,0.000691,0.780147,0.264730
82,赛博朋克 2077,0.012931,0.003750,0.860004,0.243863
83,真?三国无双７ Empires,0.012836,0.001771,0.662958,0.253682
84,《荣耀战魂》,0.012539,0.002638,0.690039,0.243863
85,Marvel's Guardians of the Galaxy,0.012281,0.000670,0.930083,0.240589
86,命运2,0.011843,0.011691,0.770006,0.000000
87,Idle Portal Guardian,0.011633,0.003007,3.250894,0.012275
88,.hack//G.U. Last Recode,0.011631,0.000950,0.870922,0.227496
89,Crazy World,0.011619,0.000119,3.250894,0.062193
90,NieR:Automata?,0.011561,0.001610,0.880028,0.224223
91,Soukh,0.011364,0.000265,3.250894,0.037643
92,The Girl Who Kicked a Rabbit,0.011332,0.000000,3.250894,0.034370
93,Asterism,0.011304,0.000016,3.250894,0.030278
94,Emberdoom,0.011303,0.000229,3.250894,0.029460
95,绛河之上 Under Supernova,0.011285,0.000073,3.250894,0.027005
96,第四空间Fourth Space,0.011283,0.000208,3.250894,0.026187
97,Flux,0.011280,0.000535,3.250894,0.022913
98,妖姬猎人,0.011262,0.000047,3.250894,0.022913
99,DATH,0.011258,0.000317,3.250894,0.020458
100,Reincarnated as a Noble - RPG,0.011254,0.000000,3.250894,0.021277
101,Ensol,0.011241,0.000083,3.250894,0.018003
102,Songs of Skydale,0.011241,0.000078,3.250894,0.018003
103,Simgirls: Lovemore College RPG,0.011222,0.000093,3.250894,0.012275
104,Metal Noise,0.011220,0.000441,3.250894,0.004910
105,YYDS成神之路,0.011215,0.000093,3.250894,0.009002
106,Dark Flowers: Tiny Starlight,0.011213,0.000088,3.250894,0.008101
107,猎人梦魇,0.011210,0.000151,3.250894,0.004910
108,Scoundrel Solitaire,0.011209,0.000114,3.250894,0.004910
109,战略三国,0.011209,0.000213,3.250894,0.000000
110,Across The Void,0.011207,0.000036,3.250894,0.004910
111,仁王 Complete Edition,0.010659,0.002379,0.780125,0.203764
112,疾风猎人-上线送V10，超变独家版本,0.010361,0.010226,0.689969,0.000000
113,KATANA KAMI: A Way of the Samurai Story,0.010233,0.000592,0.601455,0.202946
114,New World: Aeternum,0.010046,0.009925,0.660017,0.000000
115,Valiant Tactics,0.009748,0.009296,0.829968,0.036007
116,Little Savior / リトルセイバー,0.009369,0.000099,2.612105,0.056465
117,LethalCrisis リーサルクライシス,0.009360,0.000239,2.612105,0.055646
118,Fall of Freya (Alpha 1),0.009356,0.000042,2.612105,0.055646
119,Just Move Fall Dungeon Endless Abyss,0.009289,0.000156,2.612105,0.050736
120,WREN,0.009188,0.000140,2.612105,0.042553
121,Champions of Odin,0.009168,0.000083,2.612105,0.040917
122,魔灵召唤: 天空之役,0.009164,0.008974,0.710393,0.000000
123,Trauma Squad,0.009121,0.001761,2.612105,0.000000
124,Asdivine Menace,0.009116,0.000286,2.612105,0.035188
125,Illusion of L'Phalcia,0.009111,0.000135,2.612105,0.035188
126,守护未来 GUARD THE FUTURE,0.009067,0.000073,2.612105,0.030278
127,Falnarion Tactics II,0.009066,0.000068,2.612105,0.030278
128,Guardian war VR,0.009064,0.000229,2.612105,0.029460
129,The book of commands : Lost Symbol,0.009063,0.000197,2.612105,0.029460
130,Raid One : 1 vs 5 Online Boss Battle,0.009060,0.000088,2.612105,0.029460
131,GoVenture TYPING,0.009054,0.000099,2.612105,0.028642
132,DARK SOULS? II: Scholar of the First Sin,0.009020,0.003121,0.840041,0.162029
133,?Shattered Lands (破碎之地),0.009019,0.000093,2.612105,0.023732
134,寻道,0.008996,0.000374,2.612105,0.018003
135,最后的净化,0.008988,0.000161,2.612105,0.018003
136,Green Field Silver Tree 绿野白银树,0.008986,0.000073,2.612105,0.018003
137,From The Dark,0.008986,0.000062,2.612105,0.018003
138,Night Vigil,0.008985,0.000203,2.612105,0.017185
139,Abyssmare,0.008979,0.000140,2.612105,0.016285
140,平安果,0.008976,0.000151,2.612105,0.015548
141,Starwalker,0.008975,0.000208,2.612105,0.014730
142,ikenie,0.008967,0.000254,2.612105,0.012275
143,失落的地下城 Lost Dungeon,0.008960,0.000093,2.612105,0.011563
144,The Last Town,0.008953,0.000332,2.612105,0.004910
145,Chasing rabbits in snow,0.008952,0.000031,2.612105,0.009002
146,Tavern of Empire,0.008948,0.000213,2.612105,0.004910
147,非正式警探 Informal Detective,0.008948,0.000093,2.612105,0.006547
148,Real Man Got 100 |  是男人上100层,0.008948,0.000192,2.612105,0.004910
149,Stick Mountain,0.008945,0.000062,2.612105,0.004910
150,Herald of the Depths,0.008945,0.000057,2.612105,0.004910
151,The Last Seal,0.008944,0.000109,2.612105,0.003781
152,原体,0.008944,0.000021,2.612105,0.004910
153,自由江湖,0.008944,0.000021,2.612105,0.004910
154,Tales of Adventure 2,0.008941,0.000031,2.612105,0.000000
155,勇者斗恶龙 创世小玩家 阿雷夫加尔德复兴记,0.008582,0.000898,0.904776,0.162029
156,Might & Magic? Heroes? VII,0.008386,0.001761,0.540712,0.162029
157,Solemn Knights: Entirely Ours Classic Edition,0.008273,0.000010,1.418157,0.137480
158,試される大地 Challenging Land,0.008269,0.008024,0.731371,0.000000
159,Atelier Firis: The Alchemist and the Mysterious Journey / フィリスのアトリエ ～不思議な旅の錬金術士～,0.008033,0.002472,0.826142,0.144845
160,SWOLLEN TO BURSTING UNTIL I AM DISAPPEARING ON PURPOSE,0.007972,0.007396,0.977937,0.000000
161,ONE PIECE 海贼无双4,0.007859,0.001075,0.910176,0.145663
162,The Elder Scrolls V: Skyrim Special Edition,0.007854,0.002794,0.940013,0.135025
163,《鬼畜战记：金坷垃传说》,0.007717,0.007198,0.923881,0.000000
164,英雄之旅,0.007562,0.007344,0.633974,0.014730
165,Captain Hannon - The Belanzano,0.007546,0.000078,2.063618,0.057283
166,Flyto,0.007353,0.000171,2.063618,0.045827
167,Dark Miasma,0.007281,0.000145,2.063618,0.040917
168,Purgatory: War of the Damned,0.007264,0.000291,2.063618,0.039280
169,Halls of Watershot,0.007257,0.000057,2.063618,0.039280
170,规则：醒来之后，请别叫我,0.007227,0.000068,1.156809,0.124386
171,AI LIMIT 无限机兵,0.007185,0.001158,0.920136,0.130115
172,巫师 3：狂猎,0.007150,0.002254,0.960003,0.121931
173,Second Coming,0.007141,0.000026,2.063618,0.029460
174,Veiled Skies,0.007141,0.000016,2.063618,0.029460
175,真?三国无双７ with 猛将传,0.007125,0.001496,0.830286,0.130115
176,Super GunWorld 2,0.007108,0.000254,2.063618,0.025368
177,Spellforge,0.007082,0.000068,2.063618,0.022913
178,DungeonEpic,0.007069,0.000010,2.063618,0.021277
179,The Garden,0.007060,0.000935,2.063618,0.004910
180,Mythic Victory Arena,0.007055,0.000400,2.063618,0.017185
181,魔法猫,0.007048,0.000114,2.063618,0.018003
182,Rapture,0.007035,0.000280,2.063618,0.014730
183,Fables of Talumos,0.007018,0.000109,2.063618,0.012275
184,Waking Atlas,0.007017,0.000088,2.063618,0.012275
185,Second Death,0.007017,0.000083,2.063618,0.012275
186,Murder At The House,0.007016,0.000036,2.063618,0.012275
187,Dice Saga,0.007016,0.000571,2.063618,0.000000
188,Valcarta: Rise of the Demon,0.007015,0.000353,2.063618,0.009002
189,Il Sole e la Luna,0.007014,0.000332,2.063618,0.009002
