排名,游戏名称,性价比得分,归一化时长,修正好评率,正向化价格
1,"Warhammer 40,0.889954,1.000000,12.068467,0.000000
2,Hero Quest - God of Chaos,0.576738,0.677426,1.137390,0.112094
3,"7,0.370775,0.378488,4.278647,0.091445
4,"7,0.370775,0.378488,4.278647,0.091445
5,疾风猎人-上线送V10，超变独家版本,0.197332,0.215450,0.696994,0.000000
6,Crazy Stone Deep Learning -The First Edition-,0.183670,0.174089,0.881258,0.772861
7,苍之世界：迷途,0.181228,0.061823,6.339128,0.014749
8,Valiant Tactics,0.180892,0.195864,0.837206,0.064897
9,YUT YUT,0.168890,0.016413,6.339128,0.000000
10,Mate in Eleven,0.167666,0.009520,6.339128,0.000000
11,Tribloos 3,0.167275,0.006237,6.339128,0.038348
12,Alcyone: The Last City,0.167174,0.003720,6.339128,0.085546
13,Cthulhu's Catharsis,0.167078,0.003611,6.339128,0.073746
14,HEGGO/鸡蛋英雄,0.167059,0.005690,6.339128,0.000000
15,Cheaters Blackjack 21,0.167027,0.004924,6.339128,0.026549
16,Blightfell,0.167010,0.005362,6.339128,0.000000
17,Crystal Cosmos,0.166995,0.004596,6.339128,0.030973
18,101st Airborne in Normandy,0.166953,0.004267,6.339128,0.032448
19,Fruit Factory,0.166847,0.003064,6.339128,0.047198
20,Xon,0.166763,0.002954,6.339128,0.032448
21,VilleTown,0.166711,0.002626,6.339128,0.030973
22,One Life: Parkour Project,0.166709,0.002736,6.339128,0.026549
23,Day of the Trumplings,0.166701,0.002517,6.339128,0.032448
24,Block Wave VR,0.166610,0.001313,6.339128,0.048673
25,Armor Clash VR,0.166559,0.001532,6.339128,0.030973
26,Kingdom Elemental,0.166540,0.001641,6.339128,0.022124
27,幸存者之地,0.166535,0.001313,6.339128,0.032448
28,The Great Jitters: Pudding Panic,0.166469,0.000875,6.339128,0.030973
29,Desert Race Adventures,0.166442,0.000438,6.339128,0.038348
30,Legions of Ashworld,0.165044,0.178356,0.841994,0.032448
31,Industry Giant,0.163165,0.176277,0.813349,0.054572
32,LOGistICAL 2: France,0.155773,0.088631,4.728983,0.027286
33,Battle Siege Royale,0.149990,0.019586,5.519061,0.000000
34,CountUp,0.148581,0.011927,5.519061,0.000000
35,SnowBall FPS,0.148527,0.011599,5.519061,0.000000
36,废土华夏wasteland of east,0.148213,0.008207,5.519061,0.056047
37,Near Impact,0.148162,0.007988,5.519061,0.053097
38,40 Seconds,0.148121,0.009082,5.519061,0.000000
39,国王万岁(国王别饿死),0.147992,0.007222,5.519061,0.042773
40,Heroes of Issachar,0.147842,0.003283,5.519061,0.100295
41,Deck Box Dungeons,0.147790,0.006894,5.519061,0.000000
42,Scarytales: All Hail King Mongo,0.147616,0.005033,5.519061,0.029204
43,Eclipse Horde,0.147473,0.003173,5.519061,0.051622
44,Carpe Deal 'Em,0.147451,0.003720,5.519061,0.032448
45,Song of Nanzhao,0.147450,0.004486,5.519061,0.000000
46,Bubonic: Outbreak,0.147353,0.003611,5.519061,0.008850
47,In the beginning,0.147186,0.000766,5.519061,0.054572
48,Bombuzal,0.147129,0.000875,5.519061,0.041298
49,Fungus Reaper,0.147128,0.000985,5.519061,0.038348
50,Endless Defence 2,0.147121,0.001641,5.519061,0.016224
51,Age of Pixels,0.147113,0.001751,5.519061,0.008850
52,Life of a Capitalist,0.147108,0.000109,5.519061,0.054572
53,Eormor: Shattered Lands,0.147064,0.000875,5.519061,0.026549
54,英雄之旅,0.142795,0.154722,0.639945,0.026549
55,《鬼畜战记：金坷垃传说》,0.141467,0.151658,0.925776,0.000000
56,Axan Ships - Low Poly,0.131328,0.141044,0.821575,0.000000
57,NOBUNAGA'S AMBITION: Sengoku Gunyuuden,0.130714,0.017726,4.728983,0.100295
58,Janken Cards,0.130620,0.020024,4.728983,0.022124
59,New Yankee in King Arthur's Court 5,0.129722,0.014881,4.728983,0.041298
60,New Yankee 7: Deer Hunters,0.129625,0.014334,4.728983,0.041298
61,英雄之城3,0.129066,0.011927,4.728983,0.000000
62,Hotel Mogul: Las Vegas,0.128954,0.010286,4.728983,0.041298
63,New Yankee 6: In Pharaoh's Court,0.128903,0.009957,4.728983,0.041298
64,竹书纪年：三国志风云录,0.128887,0.009520,4.728983,0.050147
65,BlockAid,0.128734,0.000766,4.728983,0.147493
66,Rifle Storm,0.128516,0.005362,4.728983,0.079646
67,CheeseCatToe,0.128430,0.007769,4.728983,0.000000
68,Toricky,0.128313,0.004158,4.728983,0.073746
69,Bounders and Cads,0.128277,0.006675,4.728983,0.000000
70,COMBOTRONICA,0.128272,0.003611,4.728983,0.076991
71,Fantastic 4 In A Row 2,0.128208,0.006018,4.728983,0.008850
72,Galduen of the Void,0.128174,0.005909,4.728983,0.000000
73,Haunting Invitation,0.128031,0.004815,4.728983,0.000000
74,GoVenture MICRO BUSINESS,0.128031,0.004486,4.728983,0.016224
75,Brick Battalion,0.127942,0.002298,4.728983,0.053097
76,Deductum,0.127933,0.003173,4.728983,0.032448
77,Toby's Island,0.127914,0.001970,4.728983,0.054572
78,IdleZomb,0.127903,0.003283,4.728983,0.022124
79,Spelly Cat,0.127842,0.000875,4.728983,0.061947
80,Bugs!,0.127784,0.001641,4.728983,0.038348
81,Purple Noise Echo,0.127749,0.000000,4.728983,0.061947
82,Droppy Ball,0.127746,0.002298,4.728983,0.008850
83,Apollo 17 - Moonbuggy VR,0.127711,0.000109,4.728983,0.054572
84,Bunny Reversi,0.127645,0.001204,4.728983,0.016224
85,Infinite Random Defense,0.127564,0.000657,4.728983,0.008850
86,LIDAR Survival,0.127559,0.000219,4.728983,0.022124
87,Kittens Game,0.117424,0.123865,1.010879,0.048673
88,道法战传说,0.116306,0.123865,0.876701,0.017699
89,3D PUZZLE - PORT,0.114907,0.011817,1.037099,1.000000
90,3D PUZZLE - LAST OF CITY,0.114773,0.014991,0.930936,1.000000
91,我的桌面有只猫,0.111252,0.019258,3.977072,0.022566
92,SGS Battle For: Fort Donelson,0.110431,0.008097,3.977072,0.135693
93,Genghis Khan,0.110008,0.011161,3.977072,0.061947
94,T.B.M ~The Blueppers Mayhem~,0.109865,0.012146,3.977072,0.000000
95,Summer Resort Mogul,0.109777,0.010614,3.977072,0.041298
96,Space Chess,0.109758,0.011489,3.977072,0.000000
97,Cursed House 12,0.109491,0.006675,3.977072,0.076696
98,Abatron,0.109168,0.001641,3.977072,0.100295
99,魔物庄园,0.109015,0.005690,3.977072,0.026549
100,Hue Defense,0.108989,0.005252,3.977072,0.032448
101,Pillar of Salt,0.108935,0.001860,3.977072,0.076696
102,Cross Death  VR,0.108886,0.002298,3.977072,0.066372
103,Martians Vs Robots,0.108882,0.004924,3.977072,0.016224
104,Base Raid,0.108835,0.003939,3.977072,0.032448
105,Gate One,0.108810,0.003720,3.977072,0.032448
106,Your Spaceport!,0.108735,0.000000,3.977072,0.074174
107,Pahelika: Secret Legends,0.108720,0.002517,3.977072,0.039823
108,Data mining 0,0.108695,0.003283,3.977072,0.016224
109,Wills and Wonders,0.108642,0.000875,3.977072,0.053097
110,回卷球 Bandage Rewind,0.108639,0.001970,3.977072,0.035398
111,GraFi 2,0.108617,0.002845,3.977072,0.004543
112,Our Dear Kingdom,0.108602,0.001751,3.977072,0.032448
113,打击者打字游戏集（Striker A Type Game Pack）,0.108573,0.001860,3.977072,0.023584
114,Carrom Slam!,0.108569,0.001094,3.977072,0.038348
115,Gridfall,0.108503,0.000109,3.977072,0.042773
116,蹩脚的炼金术师(Incompetent Alchemist),0.108503,0.001422,3.977072,0.016224
117,Echoes of MK-ULTRA,0.107286,0.111719,1.116519,0.000000
118,Fractured State,0.095268,0.028997,3.274779,0.008850
119,A Verdant Hue,0.091530,0.000657,3.274779,0.147493
120,Task Force 9,0.091150,0.003611,3.274779,0.112094
121,Soukh,0.090781,0.005580,3.274779,0.067847
122,青岚血枫,0.090739,0.008097,3.274779,0.014749
123,LUXIS,0.090609,0.006565,3.274779,0.030973
124,Emberdoom,0.090555,0.004815,3.274779,0.053097
125,第四空间Fourth Space,0.090459,0.004377,3.274779,0.047198
126,Quest For Wartorn Brotherhood,0.090397,0.004705,3.274779,0.032448
127,Board Defenders,0.090365,0.004486,3.274779,0.030973
128,Royal Class Poker,0.090299,0.001422,3.274779,0.061947
129,战略三国,0.090260,0.004486,3.274779,0.000000
130,Poly Mole,0.090230,0.004049,3.274779,0.008850
131,绛河之上 Under Supernova,0.090194,0.001532,3.274779,0.048673
132,The Girl Who Kicked a Rabbit,0.090185,0.000000,3.274779,0.061947
133,Inbound UFO,0.090074,0.000985,3.274779,0.038348
134,Scoundrel Solitaire,0.090067,0.002407,3.274779,0.008850
135,YYDS成神之路,0.090049,0.001970,3.274779,0.016224
136,Picket Line,0.090043,0.001641,3.274779,0.022124
137,Solstice,0.090043,0.001641,3.274779,0.022124
138,Text Twist Classic,0.089978,0.000875,3.274779,0.022124
139,Neon Fantasy: Animals,0.089956,0.000875,3.274779,0.016224
140,College Baseball: Dynasty Builder,0.088589,0.089178,1.057064,0.135693
141,"""Going Up?""",0.083866,0.087099,0.921635,0.000000
142,Rugby Union Team Manager 2017,0.082382,0.084364,0.544059,0.200590
143,First Day,0.079763,0.085677,0.518473,0.000000
144,Jagged Alliance 1: Gold Edition,0.078007,0.079659,0.958250,0.053097
145,Tank Rectangle,0.077564,0.026152,2.638643,0.000000
146,Katana,0.076236,0.080315,0.725807,0.000000
147,Shuttle Siege,0.075472,0.018164,2.638643,0.032448
148,MANIC MINERS,0.074719,0.015210,2.638643,0.016224
149,Tactics: Bludgeons Blessing,0.074391,0.007659,2.638643,0.103245
