排名,游戏名称,性价比得分,归一化时长,修正好评率,正向化价格
1,Joyfess Ep1: Martin's Secret Recipe,0.645466,1.000000,0.897777,0.207101
2,Save the Furries,0.510873,0.662315,1.002090,0.165680
3,Rusty Lines Remastered,0.396337,0.085112,6.359681,0.000000
4,the jester's revenge (Demo),0.380831,0.030379,6.359681,0.000000
5,Escape from Spikes,0.379018,0.022847,6.359681,0.017751
6,Wisp Child,0.377192,0.006026,6.359681,0.343195
7,Rolling Ball : Sphere Guider,0.377186,0.015817,6.359681,0.000000
8,Royal Romances: The Power of Chosen One Collector's Edition,0.377003,0.010043,6.359681,0.195266
9,The Thin Silence,0.376993,0.009289,6.359681,0.218935
10,Pulse Shift,0.376985,0.009792,6.359681,0.201183
11,Anmynor Puzzles,0.376770,0.008536,6.359681,0.213018
12,Gravity Shot,0.376557,0.009038,6.359681,0.165680
13,Sublime element,0.376398,0.011047,6.359681,0.065089
14,Grim Facade: Hidden Sins Collector's Edition,0.376291,0.008787,6.359681,0.134911
15,The Odyssey,0.376282,0.009038,6.359681,0.124260
16,Fruit Factory,0.376242,0.007030,6.359681,0.189349
17,Revenge of the Spirit: Rite of Resurrection,0.376238,0.007532,6.359681,0.171598
18,Hidden Expedition: Dawn of Prosperity Collector's Edition,0.376231,0.008536,6.359681,0.134911
19,Passcode Breaker: The Day Before,0.376158,0.010043,6.359681,0.065089
20,EOS-503,0.376035,0.011047,6.359681,0.000000
21,Escape Game Cake,0.375821,0.008034,6.359681,0.088757
22,Carnival in the hut,0.375711,0.009289,6.359681,0.017751
23,Block Wave VR,0.375337,0.003013,6.359681,0.195266
24,SRX,0.374980,0.000753,6.359681,0.218935
25,Push The Crate: Remastered Edition,0.374911,0.004770,6.359681,0.065089
26,Lost in Loss,0.374882,0.003766,6.359681,0.099408
27,Backrooms: Lost Place,0.374841,0.002762,6.359681,0.130178
28,The Great Jitters: Pudding Panic,0.374628,0.002009,6.359681,0.124260
29,Intentional Bugs,0.373828,0.000753,6.359681,0.038402
30,LOGistICAL 2: France,0.372743,0.203364,4.752961,0.109467
31,The Coin,0.365675,0.454431,0.721421,0.000000
32,Midnight Mysteries: Witches of Abraham - Collector's Edition,0.350994,0.044439,5.541195,0.066568
33,Off Course,0.348228,0.035400,5.541195,0.000000
34,Hammer of Pain,0.346502,0.020839,5.541195,0.272189
35,CountUp,0.346195,0.027366,5.541195,0.000000
36,Savana,0.345596,0.002260,5.541195,0.591716
37,Fatal Evidence: Cursed Island Collector's Edition,0.345515,0.009289,5.541195,0.449704
38,Blacksite Theta,0.344719,0.021341,5.541195,0.000000
39,40 Seconds,0.344598,0.020839,5.541195,0.000000
40,Titor's Time Traveling Tale,0.344537,0.020587,5.541195,0.000000
41,Echoes of the Past: Kingdom of Despair Collector's Edition,0.344355,0.013558,5.541195,0.224852
42,Grand Escape,0.343876,0.017826,5.541195,0.000000
43,Haunted Legends: The Call of Despair Collector's Edition,0.343592,0.011800,5.541195,0.179882
44,Scarytales: All Hail King Mongo,0.343090,0.011549,5.541195,0.117160
45,素希,0.343034,0.008285,5.541195,0.213018
46,Stacks On Stacks (On Stacks),0.342857,0.006026,5.541195,0.254438
47,Hexelectric,0.342617,0.010294,5.541195,0.088757
48,Nachtmahr,0.342305,0.000000,5.541195,0.343195
49,Song of Nanzhao,0.342117,0.010294,5.541195,0.000000
50,Spirits of Mystery: Amber Maiden Collector's Edition,0.342001,0.006277,5.541195,0.134911
51,Bleentoro,0.341830,0.009038,5.541195,0.000000
52,Flawless Darkness,0.341714,0.000251,5.541195,0.272189
53,Giant Life,0.341663,0.002009,5.541195,0.218935
54,Sudokuball Detective,0.341417,0.005021,5.541195,0.088757
55,Life of a Capitalist,0.341273,0.000251,5.541195,0.218935
56,Bombuzal,0.341260,0.002009,5.541195,0.165680
57,SS 档案,0.341192,0.004017,5.541195,0.088757
58,No forgiveness,0.341038,0.004268,5.541195,0.053254
59,Caliper 2,0.340995,0.004519,5.541195,0.035503
60,Lunavoid,0.340883,0.003264,5.541195,0.065089
61,TesserAct,0.340811,0.004519,5.541195,0.000000
62,1001 Jigsaw. World Tour: France,0.314452,0.046447,4.752961,0.130178
63,Janken Cards,0.314021,0.045945,4.752961,0.088757
64,The Fool,0.312937,0.042681,4.752961,0.053254
65,Pop'n'splat,0.309974,0.030630,4.752961,0.065089
66,BlockAid,0.309241,0.001757,4.752961,0.591716
67,The Witch's fabulous Cracker Show,0.308413,0.025609,4.752961,0.000000
68,Leona's Tricky Adventures,0.308396,0.017826,4.752961,0.248521
69,Please Be Kind To The Chickens,0.307865,0.009792,4.752961,0.366864
70,Sinbadexpress,0.307303,0.020839,4.752961,0.000000
71,?deborg,0.307188,0.020336,4.752961,0.000000
72,COMBOTRONICA,0.306889,0.008285,4.752961,0.308876
73,RGB,0.306731,0.018328,4.752961,0.000000
74,CheeseCatToe,0.306617,0.017826,4.752961,0.000000
75,Maze Roller,0.306446,0.010545,4.752961,0.213018
76,Final Cut: Death on the Silver Screen Collector's Edition,0.306311,0.012804,4.752961,0.134911
77,StandPoint,0.305743,0.007281,4.752961,0.213018
78,Grim Tales: The Hunger Collector's Edition,0.305731,0.008536,4.752961,0.179882
79,Gabbuchi,0.305433,0.006779,4.752961,0.189349
80,Haunting Invitation,0.305120,0.011047,4.752961,0.000000
81,Deductum,0.305082,0.007281,4.752961,0.130178
82,Spelly Cat,0.304958,0.002009,4.752961,0.248521
83,Cursed Roots,0.304918,0.007281,4.752961,0.106509
84,Skystrider,0.304744,0.003264,4.752961,0.195266
85,Ravenwood 46,0.304742,0.009289,4.752961,0.000000
86,Peas Adventure,0.304598,0.007783,4.752961,0.035503
87,Purple Noise Echo,0.304545,0.000000,4.752961,0.248521
88,Rap Attack!,0.304446,0.002762,4.752961,0.171598
89,Escape again,0.304431,0.005523,4.752961,0.088757
90,Drop,0.304385,0.006779,4.752961,0.035503
91,Apollo 17 - Moonbuggy VR,0.304327,0.000251,4.752961,0.218935
92,Bepuzzled Kittens Jigsaw Puzzle,0.303714,0.001506,4.752961,0.106509
93,Bunny Reversi,0.303713,0.002762,4.752961,0.065089
94,NEKO TISSUE,0.303662,0.001255,4.752961,0.106509
