排名,游戏名称,性价比得分,归一化时长,修正好评率,正向化价格
1,Cricket Captain 2014,0.632967,1.000000,0.687276,0.053097
2,College Baseball: Dynasty Builder,0.588319,0.814186,1.041303,0.135693
3,Rugby Union Team Manager 2017,0.552649,0.770230,0.539556,0.200590
4,Cricket Captain 2019,0.521123,0.707293,0.670680,0.054572
5,AccuRC 2,0.467620,0.593407,0.866976,0.247788
6,Virtual Pool 4,0.430231,0.543457,0.824275,0.115044
7,Franchise Hockey Manager 6,0.428979,0.543457,0.790918,0.103245
8,Pro Cycling Manager 2017,0.423769,0.543457,0.692057,0.005900
9,Perfect Golf,0.406676,0.513487,0.654620,0.147493
10,Pro Cycling Manager 2015,0.398048,0.507493,0.592626,0.026549
11,SPORT1 Live : Duel,0.370514,0.036963,6.307605,0.022124
12,One Life: Parkour Project,0.367591,0.024975,6.307605,0.026549
13,Awesome Obstacle Challenge,0.364541,0.010989,6.307605,0.045723
14,Desert Race Adventures,0.362856,0.003996,6.307605,0.038348
15,SRX,0.362851,0.002997,6.307605,0.054572
16,Soccer Kid,0.362388,0.000999,6.307605,0.053097
17,Total Extreme Wrestling 2013,0.356628,0.432567,0.944892,0.112094
18,Virtual-O,0.346378,0.412587,0.900910,0.293510
19,Ceggtcher VR,0.345615,0.172827,4.692206,0.008850
20,Way of Redemption,0.339683,0.046953,5.485114,0.041298
21,Rugby Union Team Manager 2015,0.339242,0.420579,0.575157,0.112094
22,Roman Rumble,0.339123,0.046953,5.485114,0.000000
23,Volleyball Unbound - Pro Beach Volleyball,0.333086,0.402597,0.913624,0.073746
24,Friendship Club,0.330569,0.007992,5.485114,0.058997
25,TREBUCHET,0.319874,0.388611,0.824684,0.036873
26,Pro Rugby Manager 2015,0.309235,0.390609,0.237085,0.005310
27,Fort Boyard,0.305383,0.372627,0.624588,0.117994
28,The Concourse,0.300762,0.038961,4.692206,0.053097
29,UniVerso,0.297154,0.148851,3.936952,0.000000
30,Nothin' But Net,0.294546,0.012987,4.692206,0.032448
31,Bocce VR,0.293932,0.010989,4.692206,0.016224
32,Eat this!,0.293843,0.217782,3.230648,0.000000
33,Pong Champion VR,0.293380,0.005994,4.692206,0.053097
34,Truefish,0.282574,0.250749,2.589608,0.041298
35,The Fisherman - Fishing Planet,0.282422,0.339660,0.624377,0.182876
36,SPACE DVRTS,0.264903,0.295704,1.384413,0.016224
37,Tennis Elbow Manager,0.261173,0.307692,0.910216,0.048673
38,VRC PRO,0.259644,0.302697,0.873267,0.179941
39,Wingsuit: Gudvangen,0.259263,0.030969,3.936952,0.047198
40,Fly Wheel,0.255499,0.013986,3.936952,0.032448
41,Golf Pro VR,0.255161,0.006993,3.936952,0.100295
42,Tag Online,0.231572,0.080919,3.230648,0.000000
43,Virtual Islands,0.220546,0.040959,3.230648,0.026549
44,3D PUZZLE - LAST OF CITY,0.218011,0.136863,0.907709,1.000000
45,Baskhead,0.216667,0.022977,3.230648,0.030973
46,VRRCC,0.215176,0.013986,3.230648,0.047198
47,Quarterback SNAP,0.214581,0.009990,3.230648,0.054572
48,Home Run Batter: vs Fairy Tales,0.214572,0.011988,3.230648,0.026549
49,Quash,0.214124,0.006993,3.230648,0.057522
50,3D PUZZLE - PORT,0.208429,0.107892,1.012582,1.000000
51,Worldwide Sports Fishing,0.207146,0.237762,0.903397,0.061947
52,GI Racing 2.0,0.199770,0.230769,0.862753,0.000000
53,Karen The Chicken,0.199021,0.220779,1.100282,0.022124
54,How To Build Your Igloo,0.196758,0.091908,2.589608,0.042773
55,The Sisters 2 - Road to Fame,0.189361,0.066933,2.589608,0.115044
56,栄冠は君に レジェンドパック,0.183031,0.035964,2.589608,0.188791
57,Very Real Chess,0.181024,0.043956,2.589608,0.008850
58,Baseball Mogul Diamond,0.180455,0.201798,0.943549,0.070796
59,Just Move Fall Dungeon Endless Abyss,0.179004,0.029970,2.589608,0.091445
60,WREN,0.178095,0.026973,2.589608,0.076696
61,Stock Car Extreme,0.176208,0.199800,0.847158,0.070796
62,Basketball Court VR,0.175319,0.016983,2.589608,0.008850
63,Hardcore Parkour,0.175189,0.012987,2.589608,0.054572
64,DunkRatz,0.174669,0.011988,2.589608,0.026549
65,RC Racing Off Road 2.0,0.174540,0.007992,2.589608,0.061947
66,Beat Boxing,0.174387,0.008991,2.589608,0.041298
67,Curves,0.174315,0.009990,2.589608,0.022124
68,Oniris Basket VR,0.174066,0.007992,2.589608,0.026549
69,Drone Racer,0.173841,0.001998,2.589608,0.069322
70,Astonishing Baseball 2019,0.173736,0.002997,2.589608,0.054572
71,Chasing rabbits in snow,0.173679,0.005994,2.589608,0.016224
72,rFactor,0.158951,0.172827,0.933763,0.115044
73,Australian Football Coach 2020,0.156996,0.177822,0.769308,0.073746
74,MX vs. ATV Supercross Encore,0.152581,0.174825,0.626688,0.122419
75,篮球经理模拟器,0.143689,0.040959,2.038309,0.008850
76,VR Regatta - The Sailing Game,0.140897,0.144855,0.828021,0.247788
77,ATV Quadracer Ultimate,0.139272,0.018981,2.038309,0.041298
78,Extreme Volleyball Infernal League,0.139154,0.018981,2.038309,0.032448
79,VeeR Pong,0.137493,0.007992,2.038309,0.032448
80,Discontinue,0.137298,0.006993,2.038309,0.026549
81,Don't Drop the Bass,0.137128,0.005994,2.038309,0.022124
82,Ulama: Arena of the Gods,0.137107,0.004995,2.038309,0.030973
83,Truck the System,0.136793,0.000000,2.038309,0.047198
84,Power Link VR,0.134799,0.141858,0.977958,0.000000
85,Skull Ball Heroes,0.130410,0.143856,0.805539,0.000000
86,Football Mogul 15,0.129854,0.137862,0.894864,0.070796
87,Wing Breakers,0.128932,0.142857,0.755811,0.058997
88,IHF Handball Challenge 14,0.128038,0.146853,0.584324,0.073746
89,Chess 2: The Sequel,0.125649,0.146853,0.501524,0.038348
90,Riding Star - Horse Championship!,0.124293,0.138861,0.706976,0.053097
91,Deer Hunt Legends,0.124048,0.146853,0.410216,0.030973
92,Bumper Arena,0.121368,0.117882,1.072146,0.000000
93,Egg Time,0.120696,0.125874,0.918753,0.000000
94,NBA 2KVR Experience,0.119892,0.136863,0.575934,0.073746
95,Ping Pong League,0.117235,0.134865,0.580580,0.000000
96,Tail Drift,0.115255,0.042957,1.615211,0.022124
97,Axis Football 2024,0.115002,0.123876,0.727719,0.112094
98,Zumou Battoru,0.114536,0.040959,1.615211,0.008850
99,Duck Life 9: The Flock,0.114426,0.119880,0.846790,0.061932
100,VRMultigames,0.113630,0.121878,0.807570,0.000000
101,Combat Helicopter- Surgical Strike,0.113550,0.029970,1.615211,0.103245
102,TT Isle of Man: Ride on the Edge 2,0.112902,0.118881,0.843219,0.027286
103,Brawlderdash,0.112407,0.032967,1.615211,0.016224
104,Jockey Rush,0.110685,0.099900,1.058476,0.103230
105,Snowboard League,0.110657,0.021978,1.615211,0.061947
106,BasketBlow,0.110107,0.016983,1.615211,0.076696
107,Violet Bricks,0.109137,0.016983,1.615211,0.026549
108,My Riding Stables: Life with Horses,0.108034,0.108891,0.882370,0.073746
109,To the Stars and Beyond!,0.107768,0.008991,1.615211,0.004425
110,超级巴基球,0.107767,0.118881,0.698845,0.000000
111,Train Chase,0.107289,0.000000,1.615211,0.042773
112,Limberjack,0.106491,0.116883,0.707662,0.000000
113,Aussie Sports VR 2016,0.106313,0.099900,1.013530,0.000000
114,Code of War: 射手在线,0.103534,0.118881,0.540733,0.000000
115,Fancy Skiing VR,0.101314,0.106893,0.746179,0.070796
116,Football Club Simulator - FCS #21,0.099985,0.108891,0.681198,0.042773
117,Luffi: Homebound,0.099623,0.098901,0.882353,0.000000
118,Dungeon Rebound,0.098412,0.040959,1.384413,0.008850
119,Angler's Life,0.097664,0.095904,0.856130,0.073746
120,Geo-Fall,0.096272,0.033966,1.384413,0.008850
121,蒸汽波漂移,0.096056,0.105894,0.641130,0.019174
122,CyberPong AI,0.095445,0.030969,1.384413,0.008850
123,Front Page Sports Football,0.094846,0.112887,0.209782,0.053097
124,Pure Hold'em,0.094277,0.105894,0.505931,0.091445
125,Nebulas Lasso,0.093749,0.020979,1.384413,0.053097
126,Breezy,0.093361,0.021978,1.384413,0.016224
127,Rebound Dodgeball Evolved,0.093190,0.014985,1.384413,0.073746
128,Pinging,0.093155,0.020979,1.384413,0.016224
129,Hero Express,0.093091,0.083916,0.953765,0.032448
130,Next Move,0.092932,0.000999,1.384413,0.112094
131,Baby Climbing,0.092701,0.018981,1.384413,0.008850
132,The Fishing Club 3D: Co-op Sport Angling,0.092631,0.095904,0.765566,0.000000
133,Clan monsters,0.091995,0.060939,1.153765,0.061947
134,Trolling Football,0.091993,0.014985,1.384413,0.008850
135,GravPool,0.091434,0.009990,1.384413,0.026549
136,Iceroyds!,0.091317,0.009990,1.384413,0.016224
137,Golf Around!,0.091269,0.080919,0.943152,0.061947
138,Level Up Boxing VR,0.091189,0.008991,1.384413,0.016224
