排名,游戏名称,性价比得分,归一化时长,修正好评率,正向化价格
1,DROPSOL,0.750448,1.000000,1.082595,0.044248
2,Genius! NAZI-GIRL GoePPels-Chan ep2,0.505841,0.558930,1.202433,0.032448
3,A Priest Walks Into a Graveyard,0.342773,0.369459,1.000676,0.044248
4,ClickRaid2,0.309676,0.335678,0.689401,0.061947
5,苍之世界：迷途,0.276321,0.060209,6.374209,0.014749
6,Rusty Lines Remastered,0.269580,0.036125,6.374209,0.000000
7,Save the Furries,0.264728,0.281117,1.014054,0.041298
8,Heroes from the Past: Joan of Arc,0.264110,0.195332,4.021720,0.061947
9,Escape from Spikes,0.263506,0.009697,6.374209,0.004425
10,Publisher Tycoon,0.263273,0.008312,6.374209,0.016224
11,Strike Master Apocalypse,0.263247,0.008525,6.374209,0.000000
12,七楼幸存者,0.263148,0.007460,6.374209,0.026549
13,Tribloos 3,0.262927,0.006074,6.374209,0.038348
14,Alcatraz Builder,0.262890,0.006074,6.374209,0.030973
15,The Chronicles of King Arthur: Episode 2 - Knights of the Round Table,0.262886,0.005222,6.374209,0.061947
16,Rolling Ball : Sphere Guider,0.262880,0.006714,6.374209,0.000000
17,Path to Knighthood,0.262780,0.005222,6.374209,0.042773
18,Alcyone: The Last City,0.262714,0.003623,6.374209,0.085546
19,HEGGO/鸡蛋英雄,0.262645,0.005541,6.374209,0.000000
20,Fancy Slingshot VR,0.262640,0.005328,6.374209,0.008850
21,Duskless: The Clockwork Army,0.262625,0.004476,6.374209,0.041298
22,Royal Romances: The Power of Chosen One Collector's Edition,0.262622,0.004263,6.374209,0.048673
23,Cheaters Blackjack 21,0.262614,0.004795,6.374209,0.026549
24,The Thin Silence,0.262591,0.003943,6.374209,0.054572
25,Crystal Cosmos,0.262572,0.004476,6.374209,0.030973
26,Sublime element,0.262545,0.004689,6.374209,0.016224
27,Anmynor Puzzles,0.262520,0.003623,6.374209,0.053097
28,??,0.262507,0.003517,6.374209,0.054572
29,Gravity Shot,0.262499,0.003836,6.374209,0.041298
30,EOS-503,0.262476,0.004689,6.374209,0.000000
31,Passcode Breaker: The Day Before,0.262461,0.004263,6.374209,0.016224
32,The Odyssey,0.262447,0.003836,6.374209,0.030973
33,Grim Facade: Hidden Sins Collector's Edition,0.262439,0.003730,6.374209,0.033628
34,SPORT1 Live : Duel,0.262425,0.003943,6.374209,0.022124
35,Hidden Expedition: Dawn of Prosperity Collector's Edition,0.262418,0.003623,6.374209,0.033628
36,PolyLumina,0.262413,0.004369,6.374209,0.000000
37,Destroyer,0.262403,0.002771,6.374209,0.061947
38,Revenge of the Spirit: Rite of Resurrection,0.262381,0.003197,6.374209,0.042773
39,Fruit Factory,0.262363,0.002984,6.374209,0.047198
40,Carnival in the hut,0.262347,0.003943,6.374209,0.004425
41,Escape Game Cake,0.262321,0.003410,6.374209,0.022124
42,Xon,0.262266,0.002877,6.374209,0.032448
43,Pan-Dimensional Conga Combat,0.262246,0.002771,6.374209,0.032448
44,Holodaze,0.262238,0.002984,6.374209,0.022124
45,Day of the Trumplings,0.262184,0.002451,6.374209,0.032448
46,Zombie Trigger,0.262114,0.002344,6.374209,0.022124
47,Block Wave VR,0.262041,0.001279,6.374209,0.048673
48,Push The Crate: Remastered Edition,0.262025,0.002025,6.374209,0.016224
49,Los Pingheros,0.262010,0.001279,6.374209,0.042773
50,Lost in Loss,0.261982,0.001598,6.374209,0.024779
51,金牌健美教练,0.261970,0.001598,6.374209,0.022124
52,幸存者之地,0.261958,0.001279,6.374209,0.032448
53,我是大房东,0.261956,0.002025,6.374209,0.000000
54,Playthings: VR Music Vacation,0.261911,0.001598,6.374209,0.008850
55,Reflector Rhythm Master,0.261909,0.001172,6.374209,0.026549
56,SRX,0.261890,0.000320,6.374209,0.054572
57,The Great Jitters: Pudding Panic,0.261869,0.000853,6.374209,0.030973
58,Tuna The Cat,0.261861,0.001172,6.374209,0.016224
59,"""Ta""",0.261829,0.001172,6.374209,0.008850
60,Desert Race Adventures,0.261824,0.000426,6.374209,0.038348
61,DragonBlast VR,0.261767,0.000320,6.374209,0.030973
62,马尔代夫之梦,0.261726,0.000213,6.374209,0.026549
63,Inori's House,0.261687,0.000426,6.374209,0.008850
64,Intentional Bugs,0.261670,0.000320,6.374209,0.009572
65,IT Clicker: Dinosaur in the Code World,0.259671,0.089408,5.556840,0.008850
66,泪之轨迹,0.245068,0.118073,4.769910,0.053097
67,紧急讯息,0.241414,0.029518,5.556840,0.008850
68,The Grandmaster,0.241232,0.257140,0.865077,0.000000
69,Clicker Astro Planet,0.240694,0.026215,5.556840,0.022124
70,Midnight Mysteries: Witches of Abraham - Collector's Edition,0.239019,0.018862,5.556840,0.016593
71,Battle Siege Royale,0.238995,0.019075,5.556840,0.000000
72,Grave Mania: Pandemic Pandemonium,0.238802,0.016731,5.556840,0.061947
73,Darkness Takeover,0.237806,0.013427,5.556840,0.000000
74,A Collection of Mini-Games,0.237567,0.012255,5.556840,0.000000
75,CountUp,0.237439,0.011616,5.556840,0.000000
76,SnowBall FPS,0.237375,0.011296,5.556840,0.000000
77,Ancient Stories: Gods of Egypt,0.237162,0.009271,5.556840,0.041298
78,40 Seconds,0.236891,0.008845,5.556840,0.000000
79,Fate of Gun,0.236850,0.008632,5.556840,0.000000
80,Colony,0.236843,0.008419,5.556840,0.008850
81,Grand Escape,0.236644,0.007566,5.556840,0.000000
82,Fatal Evidence: Cursed Island Collector's Edition,0.236607,0.003943,5.556840,0.112094
83,Echoes of the Past: Kingdom of Despair Collector's Edition,0.236567,0.005754,5.556840,0.056047
84,Unlimited Escape 2,0.236553,0.006500,5.556840,0.026549
85,赛博牛马,0.236408,0.249574,1.017408,0.014735
86,Haunted Legends: The Call of Despair Collector's Edition,0.236365,0.005009,5.556840,0.044838
87,Savana,0.236359,0.000959,5.556840,0.147493
88,Fairy Maids,0.236323,0.004263,5.556840,0.061947
89,Scarytales: All Hail King Mongo,0.236265,0.004902,5.556840,0.029204
90,Roman Rumble,0.236160,0.005009,5.556840,0.000000
91,Duckie Dash,0.236094,0.003303,5.556840,0.053097
92,Song of Nanzhao,0.236041,0.004369,5.556840,0.000000
93,龙纹鳌虾,0.236036,0.004156,5.556840,0.008850
94,Stacks On Stacks (On Stacks),0.236018,0.002558,5.556840,0.063422
95,Globe Rush,0.235976,0.003517,5.556840,0.022124
96,Bleentoro,0.235943,0.003836,5.556840,0.000000
97,LongStory 2,0.235929,0.001279,5.556840,0.085546
98,Bubonic: Outbreak,0.235919,0.003517,5.556840,0.008850
99,Spirits of Mystery: Amber Maiden Collector's Edition,0.235875,0.002664,5.556840,0.033628
100,Sudokuball Detective,0.235724,0.002131,5.556840,0.022124
101,Nachtmahr,0.235701,0.000000,5.556840,0.085546
102,Giant Life,0.235660,0.000853,5.556840,0.054572
103,MachRace,0.235651,0.000853,5.556840,0.053097
104,Duck Force,0.235632,0.000746,5.556840,0.053097
105,Endless Defence 2,0.235602,0.001598,5.556840,0.016224
106,Tails,0.235592,0.000746,5.556840,0.045723
107,Speakerman,0.235572,0.001172,5.556840,0.026549
108,Life of a Capitalist,0.235527,0.000107,5.556840,0.054572
109,Live In Color,0.235477,0.000639,5.556840,0.026549
110,Alpha Dog,0.235450,0.000746,5.556840,0.016224
111,LOGistICAL 2: France,0.231478,0.086317,4.769910,0.027286
112,Slymes,0.220908,0.163470,3.323892,0.008850
113,1001 Jigsaw. World Tour: France,0.211604,0.019714,4.769910,0.032448
114,Janken Cards,0.211510,0.019501,4.769910,0.022124
115,Ceggtcher VR,0.211230,0.018436,4.769910,0.008850
116,The Fool,0.211182,0.018116,4.769910,0.013274
117,New Yankee in King Arthur's Court 5,0.210582,0.014493,4.769910,0.041298
118,New Yankee 7: Deer Hunters,0.210477,0.013960,4.769910,0.041298
119,Pop'n'splat,0.210169,0.013001,4.769910,0.016224
120,露露的装备店,0.209748,0.010550,4.769910,0.026549
121,Hotel Mogul: Las Vegas,0.209722,0.010017,4.769910,0.041298
122,New Yankee 6: In Pharaoh's Court,0.209663,0.009697,4.769910,0.041298
123,竹书纪年：三国志风云录,0.209633,0.009271,4.769910,0.050147
124,Destructamundo,0.209571,0.009484,4.769910,0.030973
125,RGB,0.209131,0.007779,4.769910,0.000000
126,CheeseCatToe,0.209093,0.007566,4.769910,0.000000
127,BlockAid,0.208926,0.000746,4.769910,0.147493
128,Bounders and Cads,0.208903,0.006500,4.769910,0.000000
129,Final Cut: Death on the Silver Screen Collector's Edition,0.208857,0.005435,4.769910,0.033628
130,Toricky,0.208854,0.004049,4.769910,0.073746
131,Fantastic 4 In A Row 2,0.208822,0.005861,4.769910,0.008850
132,Maze Roller,0.208796,0.004476,4.769910,0.053097
133,COMBOTRONICA,0.208786,0.003517,4.769910,0.076991
134,TankYou!,0.208740,0.004795,4.769910,0.032448
135,Valley of The Savage Run,0.208716,0.005435,4.769910,0.000000
136,Running Gods,0.208678,0.004476,4.769910,0.030973
137,Grim Tales: The Hunger Collector's Edition,0.208604,0.003623,4.769910,0.044838
138,Fine China,0.208601,0.004263,4.769910,0.022124
139,GoVenture MICRO BUSINESS,0.208594,0.004369,4.769910,0.016224
140,Haunting Invitation,0.208587,0.004689,4.769910,0.000000
141,Miko Mole,0.208515,0.003517,4.769910,0.030973
142,Gabbuchi,0.208491,0.002877,4.769910,0.047198
143,Agent Versus,0.208480,0.003090,4.769910,0.038348
144,Ravenwood 46,0.208459,0.003943,4.769910,0.000000
145,Deductum,0.208450,0.003090,4.769910,0.032448
146,IdleZomb,0.208420,0.003197,4.769910,0.022124
147,Brick Battalion,0.208418,0.002238,4.769910,0.053097
148,Peas Adventure,0.208383,0.003303,4.769910,0.008850
149,Toby's Island,0.208374,0.001918,4.769910,0.054572
150,Spelly Cat,0.208244,0.000853,4.769910,0.061947
