排名,游戏名称,性价比得分,归一化时长,修正好评率,正向化价格
97,天地归虚,0.280960,0.279830,0.650887,0.906885
98,Bombe,0.280418,0.276989,0.948170,0.889955
99,Gears of Dragoon 龙之齿轮-黎明的碎片-,0.277702,0.275568,0.792085,0.757336
100,Monsters' Den: Book of Vengeance,0.276945,0.274148,0.871616,0.889955
101,Jewel Match Twilight 3 Collector's Edition,0.274720,0.271307,0.935896,0.904063
102,Sakura Succubus 7,0.270568,0.267045,0.939743,0.889955
103,Beautiful Ukraine,0.270431,0.267045,0.924926,0.957675
104,風色幻想5:赤月戰爭,0.268266,0.265625,0.839270,0.918172
105,封神榜  伏魔三太子（重制版）,0.267176,0.265625,0.698419,0.963318
106,战场的赋格曲2,0.266551,0.262784,0.957887,0.427201
107,剑与魔法的女主角们 2,0.266265,0.262784,0.927469,0.889955
108,神之国的魔法使,0.263424,0.261364,0.761845,0.923815
109,Storms 2,0.259434,0.257102,0.789106,0.977427
110,斯派克排球,0.259295,0.255682,0.927961,0.794018
111,Lost Paws,0.252174,0.248580,0.912739,0.794018
112,魔眼凝望EXTRA,0.250250,0.248580,0.695664,0.113995
113,勇者斗恶龙　寻宝探险团　蓝色眼眸与天空罗盘,0.246558,0.244318,0.761092,0.167607
114,咔砰！玩具乱斗屋,0.245879,0.242898,0.839759,0.878668
115,Makai Kingdom: Reclaimed and Rebound,0.244851,0.241477,0.877729,0.810948
116,那由多之轨迹：改,0.244381,0.241477,0.829358,0.840011
117,Fragile Feelings,0.240240,0.235795,0.965983,0.920429
118,RAIDOU Remastered: 超力兵团奇谭,0.238427,0.234375,0.929396,0.336907
119,Another Crusade,0.234332,0.231534,0.801825,0.794018
120,UFO ROBOT GRENDIZER - The Feast of the Wolves,0.230516,0.227273,0.839759,0.647291
121,Notes of the Young Lady: In Turbulent Times,0.228605,0.224432,0.918904,0.873025
122,觅仙,0.228468,0.227273,0.601976,0.929458
123,Auto Snakes in Outer Space,0.227950,0.225852,0.715448,0.970372
124,C.A.P.S. - Cyber Animal Planet Survival,0.226800,0.223011,0.881942,0.946388
125,Lhama Clicker,0.226461,0.224432,0.705471,0.960497
126,Pro Basketball Manager 2026,0.225484,0.223011,0.753713,0.790068
127,Returns Outlet Simulator,0.224928,0.220170,0.958814,0.889955
128,The Karters 2: Turbo Charged,0.224564,0.220170,0.929328,0.703725
129,吞食一统中原Tunshi  unifying plains,0.221962,0.217330,0.942641,0.861738
130,Monastery,0.221735,0.217330,0.924325,0.726298
131,風色幻想4:聖戰的終焉,0.220657,0.217330,0.828916,0.957675
132,Saiko no sutoka no shiki,0.219705,0.215909,0.868901,0.926637
133,天作之合的我们 1,0.219697,0.215909,0.868511,0.805305
134,出牌吧冒险家 Go Poker,0.219481,0.215909,0.848650,0.991535
135,哥布林与公主,0.218975,0.215909,0.801553,0.977427
136,Kimi ga Nozomu Eien: Enhanced Edition,0.218278,0.214489,0.866307,0.667043
137,Age of Solitaire : Build Civilization,0.217495,0.214489,0.793618,0.904063
138,HEN CHICKS AND CATS,0.214698,0.210227,0.913972,0.977427
139,魔女与学生会：卡牌之战,0.213637,0.213068,0.488852,0.844808
140,No I'm not a Femboy,0.213555,0.213068,0.473033,1.000000
141,学院逃生,0.211227,0.205966,0.965667,0.966140
142,Gerrymap,0.210662,0.205966,0.922920,0.889955
143,孤王绝境,0.207950,0.205966,0.674605,0.833521
144,猫猫迷宫记~禁忌的魔族法典~,0.207417,0.204545,0.763689,0.870203
145,Sakura Gym Girls,0.206726,0.203125,0.827345,0.904063
146,末代君主一般向,0.205928,0.204545,0.600575,0.878668
147,废土之歌,0.204915,0.201705,0.790426,0.822235
148,Merge Me!,0.204644,0.204545,0.384429,0.977427
149,铁壁矩阵：轴突塔防,0.204332,0.200284,0.859658,0.785553
150,匿名代码,0.203395,0.200284,0.780367,0.077314
151,怪奇地牢探险,0.201469,0.196023,0.955857,0.961907
152,Spirit of the North 2,0.201437,0.197443,0.849780,0.703725
153,Island Idle RPG,0.201160,0.198864,0.697080,0.966140
154,我的年假恋爱物语,0.199978,0.197443,0.719759,0.748871
155,Gear of Glass: Eolarn's war,0.199977,0.196023,0.843193,0.867381
156,经典数独,0.199429,0.194602,0.907744,0.935102
157,Amigo: Kebab Simulator,0.199121,0.197443,0.627543,0.878668
158,Dimwood,0.199033,0.193182,0.977390,0.844808
159,Endless waves survival,0.197967,0.194602,0.790594,0.977427
160,風色幻想3:罪與罰的鎮魂歌,0.195533,0.193182,0.693894,0.957675
161,Kid Hallow,0.194667,0.188920,0.959696,0.889955
162,豪华大游轮物语 (World Cruise Story),0.194083,0.188920,0.919315,0.901242
163,My Furry Protogen ??,0.193674,0.188920,0.889571,0.974605
164,Jettatura,0.193579,0.188920,0.882920,0.861738
165,不吃香菜,0.193568,0.187500,0.977289,0.994921
166,Ancient Aliens: The Game,0.192854,0.188920,0.827345,0.844808
167,Svarog's Dream,0.192288,0.187500,0.889526,0.791196
168,雪色暗号,0.192219,0.187500,0.883919,0.965576
169,娜娜小筑,0.190911,0.187500,0.781587,0.915350
170,Neon Striker,0.189224,0.184659,0.866449,0.946388
171,末世孤航,0.188155,0.186080,0.655589,0.805305
172,Nightly Maintenance,0.187938,0.183239,0.873313,0.889955
173,桃の華は鮮血に染まる,0.186194,0.180398,0.942063,0.878668
174,MineDeeper,0.185436,0.180398,0.890723,0.957675
175,魔塔三国之群雄争霸,0.184960,0.180398,0.856803,0.991535
176,The Fox in the Forest,0.183762,0.178977,0.869781,0.929458
177,Sakura Alien 2,0.183516,0.180398,0.743645,0.904063
178,Everfall: Idle Dungeon RPG,0.183481,0.183239,0.399229,0.946388
179,网球俱乐部物语 (Tennis Club Story),0.182258,0.180398,0.624208,0.901242
180,Fate of the Pharaoh,0.180199,0.176136,0.811096,0.889955
181,Lost in Space,0.179642,0.177557,0.642920,0.995767
182,Suizokukan Project,0.178722,0.174716,0.803650,0.957675
183,TSUNDERE MILFIN,0.178548,0.173295,0.888799,0.946388
184,神骰传说,0.177185,0.171875,0.889553,0.844808
185,三国立志传,0.176941,0.171875,0.873188,0.870203
186,Barricade,0.175805,0.170455,0.888460,0.946388
187,Omega Crafter,0.175640,0.171875,0.780332,0.748871
188,扫雷终极版,0.175225,0.170455,0.849400,0.993651
189,Rescue Team: Attack of the Atom,0.172835,0.167614,0.873313,0.926637
190,风和日暖,0.172830,0.170455,0.660850,0.794018
191,Pixel Survivors : Roguelike,0.171638,0.167614,0.790328,0.966140
192,超武进化：丧尸毁灭者,0.171254,0.169034,0.643186,0.963318
193,Slam and Roll,0.170480,0.163352,0.977929,0.909735
194,BadMan,0.170017,0.163352,0.951211,0.991535
195,轮盘猎人：命运赌局,0.169444,0.164773,0.829814,0.977427
196,银盘滑冰场物语 (Skating Rink Story),0.169329,0.163352,0.910589,0.901242
197,The Oath of The Dark Magic Queen,0.169287,0.164773,0.819182,0.946388
198,Tenebris: Terra Incognita,0.168501,0.163352,0.858859,0.813770
199,Golden Rails: Valuable Package,0.167985,0.161932,0.911500,0.926637
200,Cargo Simulator,0.167970,0.164773,0.721648,0.873025
201,NUSNUR,0.167350,0.160511,0.953650,0.923843
202,Nickelodeon All-Star Brawl 2,0.165012,0.160511,0.810024,0.534424
203,Crazy Clown,0.164780,0.159091,0.881942,0.991535
204,LIVE A LIVE,0.164236,0.159091,0.849755,0.167607
205,病房轶事～潜藏邪恶老鸟护士的住院生活～,0.163671,0.157670,0.897412,0.914221
206,Furry Reich ??,0.163376,0.159091,0.790707,0.993228
207,异能重组,0.162690,0.159091,0.741793,0.878668
