游戏名称,价格,好评率,好评人数,平均游玩时长,标签
Monsti,¥ 6.00,68%,66,5.7h,休闲
Cubotrox,Cubotrox Demo,90%,20,20.7h,休闲
Chess Knight 2,¥ 15.00,59%,22,5.3h,休闲
A Day in the Woods,¥ 21.00,95%,24,4.2h,休闲
Armies of Riddle CLASSIC,¥ 6.00,2 篇用户评测,2,6.7h,休闲
WORLD END ECONOMiCA episode.03,¥ 52.00,96%,166,9.5h,休闲
Janken Cards,¥ 15.00,7 篇用户评测,7,18.4h,休闲
Geology Business,免费开玩,59%,93,10.3h,"休闲, 点击游戏"
Fair Islands VR,¥ 36.00,5 篇用户评测,5,1.3h,休闲
Nights of Azure,¥ 88.00,69%,627,28.5h,休闲
Bubble Labs VR,¥ 19.94,75%,12,3.9h,休闲
Demon Hunter 3: Revelation,¥ 58.00,89%,202,4.2h,休闲
Donuts'n'Justice,¥ 22.00,79%,108,6.9h,休闲
The Legions of Rome,¥ 15.00,31%,45,3.1h,休闲
Crown Champion: Legends of the Arena,¥ 22.00,83%,201,6.0h,休闲
Just Hero,¥ 3.00,59%,112,4.2h,休闲
YANKAI'S TRIANGLE,¥ 26.00,78%,65,3.3h,休闲
Russian SuperHero Dead Ivan,¥ 3.00,58%,58,4.2h,休闲
Cranium Conundrum,¥ 3.38,63%,19,4.4h,休闲
War Cube,¥ 6.00,66%,60,4.0h,休闲
Lifestream - A Haunting Text Adventure,¥ 15.00,100%,25,4.6h,休闲
Shop-n-Spree: Shopping Paradise,¥ 42.00,81%,11,3.6h,休闲
Nevertales: Shattered Image Collector's Edition,¥ 76.00,85%,14,6.0h,休闲
Grim Tales: The Bride Collector's Edition,¥ 76.00,59%,54,5.5h,休闲
Farm Tribe 2,¥ 42.00,90%,21,93.4h,休闲
Spa Mania 2,¥ 42.00,6 篇用户评测,6,4.3h,休闲
Mystery Trackers: The Void Collector's Edition,¥ 76.00,94%,17,6.4h,休闲
Destroyer,¥ 42.00,9 篇用户评测,9,2.7h,休闲
東周列萌志 Philosophic Love,免费开玩,89%,879,10.0h,休闲
Solitaire Beach Season,¥ 58.00,76%,86,5.7h,休闲
Darkness and Flame: Born of Fire Collector's Edition,¥ 42.00,91%,142,6.0h,休闲
Patchwork,¥ 29.00,78%,138,4.3h,休闲
Evil Orbs,¥ 18.00,91%,12,3.6h,休闲
Found,免费开玩,88%,146,7.9h,休闲
Turbo Pug 3D,¥ 11.00,77%,144,5.7h,休闲
Rugby Union Team Manager 2017,¥ 136.00,49%,93,77.2h,休闲
Spin Rush,¥ 5.40,76%,356,6.8h,休闲
Elems,¥ 3.00,72%,37,5.3h,休闲
Twixel,¥ 11.00,83%,18,3.8h,休闲
Fruit for the Village,免费开玩,60%,10,24.8h,"休闲, 点击游戏"
Basketball Babe,¥ 25.50,94%,19,3.0h,休闲
Fine China,¥ 15.00,7 篇用户评测,7,4.1h,休闲
Expect The Unexpected,¥ 6.00,66%,69,4.2h,休闲
TEOT - The End OF Tomorrow,¥ 30.00,50%,12,0.9h,休闲
"Creature Clicker - Capture, Train, Ascend!",免费开玩,49%,595,15.1h,"休闲, 点击游戏, 挂机游戏"
Kittypocalypse - Ungoggled,¥ 36.00,79%,44,3.4h,休闲
Crazy Sapper 3D,¥ 6.00,72%,133,4.4h,休闲
Behold the Kickmen,¥ 18.00,85%,374,3.8h,休闲
I Know a Tale,¥ 15.00,76%,42,3.8h,休闲
ALONE? - VR,¥ 35.00,63%,36,3.7h,休闲
"Please, Don't Touch Anything 3D",¥ 42.00,81%,"1,309",3.5h,休闲
ColecoVision Flashback,¥ 68.00,44%,18,1.9h,休闲
Polygon Attack,¥ 11.00,89%,234,4.8h,休闲
12 orbits,¥ 11.00,87%,265,6.0h,休闲
Water Heroes: A Game for Change,¥ 21.00,1 篇用户评测,1,5.0h,三消
Yuna and other troubles,¥ 37.00,1 篇用户评测,1,0.3h,休闲
交易马车,¥ 28.00,93%,45,7.2h,休闲
Super Space Shooter Arena,免费开玩,7 篇用户评测,7,23.1h,休闲
Street Hoop,¥ 22.00,86%,44,1.6h,休闲
草原恋语--蒙古族民俗非遗传承,¥ 0.00,,,,休闲
Post Scriptum CTG: Collectible Token Game,免费开玩,80%,15,23.5h,休闲
Degraman: Act I. Vincent,免费开玩,83%,191,9.4h,休闲
Tales of Tomorrow: Experiment,¥ 37.00,58%,12,4.9h,休闲
Juken Jigoku | 受験地獄,¥ 15.00,66%,45,1.1h,休闲
鶴鄉戀旅,免费,98%,191,5.6h,休闲
Good doktor,¥ 3.84,8 篇用户评测,8,1.0h,休闲
彩球战争,免费开玩,85%,"1,902",1.9h,休闲
LIT: Bend the Light,¥ 40.00,92%,248,2.1h,休闲
Arrow,免费开玩,66%,18,14.0h,休闲
Robber's Horror,¥ 6.00,,,1.5h,休闲
FOOD FACTORY VR,¥ 37.00,无用户评测,,1.1h,休闲
Race Race Racer,¥ 6.00,79%,29,1.8h,休闲
SOONA,¥ 11.00,3 篇用户评测,3,1.6h,休闲
Project J,¥ 18.00,,,0.1h,休闲
Memory Match Saga,¥ 11.00,1 篇用户评测,1,3.7h,"三消, 休闲"
Ruff 'N' Tumble: Mayhem,¥ 0.00,,,,休闲
Tales of the Deck,¥ 37.00,5 篇用户评测,5,2.9h,休闲
Booobjz,Booobjz Demo,90%,21,6.7h,休闲
房产达人 2,¥ 87.98,87%,"14,848",26.0h,休闲
Hoarding Simulator,¥ 15.00,3 篇用户评测,3,1.3h,休闲
Colormeleons,¥ 6.00,87%,48,266.7h,"休闲, 挂机游戏"
MotoTrials,¥ 58.00,6 篇用户评测,6,0.9h,休闲
SANCTION,¥ 26.00,4 篇用户评测,4,,休闲
青春叙曲 Growing Up,¥ 48.00,87%,"3,314",9.5h,休闲
刀剑乱舞无双,¥ 349.00,87%,186,17.0h,休闲
12 Labours of Hercules X: Greed for Speed,¥ 41.00,69%,23,22.5h,休闲
Forgotten Ways,¥ 11.00,90%,96,24.0h,休闲
Help The Minotaur,¥ 11.00,,,0.0h,休闲
Plasmoid,¥ 26.00,无用户评测,,3.9h,休闲
Hero Soul: I want to be a Hero!,¥ 37.00,1 篇用户评测,1,1.1h,休闲
Fifo's Night,免费开玩,90%,173,5.6h,休闲
PixHunter,¥ 11.00,4 篇用户评测,4,0.9h,休闲
Nexomon,¥ 37.00,88%,"1,707",12.2h,休闲
Streamer Shall Not Pass!,¥ 678.00,1 篇用户评测,1,6.5h,休闲
战争结束 1945年,¥ 50.00,76%,17,4.4h,休闲
境界 Dice&Fighter,¥ 18.00,69%,95,17.0h,休闲
Hogvalord,¥ 29.00,47%,17,1.5h,休闲
Spot The Differences 2020 | 大家来找茬 2020,¥ 11.00,66%,12,2.3h,休闲
混世萌王喵霸霸 Cute Chaos Demon Nyanbaba,¥ 3.00,98%,111,3.4h,"休闲, 点击游戏"
Say No! More,¥ 50.00,91%,"1,690",2.8h,休闲
Deathtrap Dungeon: The Interactive Video Adventure,¥ 32.00,91%,165,3.9h,休闲
Detective Simulator,¥ 0.00,,,,休闲
TriangleStorm,¥ 6.00,66%,18,2.3h,休闲
Labyrinths of the World: The Wild Side Collector's Edition,¥ 76.00,90%,11,3.7h,休闲
Room Escape '1053',¥ 0.00,8 篇用户评测,8,0.2h,休闲
Royal Detective: The Last Charm Collector's Edition,¥ 76.00,4 篇用户评测,4,3.9h,休闲
TOTALLY BASEBALL,¥ 58.00,88%,150,7.0h,休闲
The Shenanigans of Cherry and Trix,¥ 22.00,3 篇用户评测,3,6.8h,休闲
Winter Snow | 冬雪,¥ 11.00,7 篇用户评测,7,3.7h,休闲
Nostalgiarian,¥ 3.30,7 篇用户评测,7,2.0h,休闲
Monkey GO Happy,免费,97%,251,2.6h,休闲
食用系少女：美食內戰 Food Girls：Civil War,¥ 59.00,94%,69,8.2h,休闲
砌墙,¥ 25.00,无用户评测,,1.2h,休闲
永恒战场,免费开玩,69%,591,4.8h,休闲
Zom Nom,免费开玩,93%,147,2.0h,休闲
Bus World,¥ 68.00,72%,"1,755",5.0h,休闲
The Battles of Spwak 3,免费开玩,72%,22,7.2h,休闲
Hunt the Muglump,¥ 22.43,5 篇用户评测,5,6.5h,休闲
Together - A Wish No One Remembers,¥ 11.00,100%,10,2.1h,休闲
Vapormaze,¥ 50.00,77%,18,1.0h,休闲
生物知识格斗大赛,¥ 6.00,4 篇用户评测,4,0.9h,休闲
Bunny Sudoku,¥ 15.00,69%,13,1.6h,休闲
Roast Party,免费开玩,81%,27,4.1h,休闲
Jack-O-Lantern Covers of Darkness,¥ 45.00,3 篇用户评测,3,3.3h,休闲
Alien Invasion 3D part 2,¥ 42.00,无用户评测,,58.3h,休闲
Tower Climb,¥ 6.00,7 篇用户评测,7,1.0h,休闲
Jeremiah,¥ 6.00,5 篇用户评测,5,1.9h,休闲
Ping Pong Space - Retro Tennis,¥ 15.00,7 篇用户评测,7,1.5h,休闲
東１局５３本場,¥ 29.00,4 篇用户评测,4,0.8h,休闲
Musical Aim Trainer,¥ 15.00,2 篇用户评测,2,0.2h,休闲
One-Eyed Lee and the Dinner Party,¥ 22.00,94%,19,1.1h,休闲
Foe Frenzy,¥ 15.00,1 篇用户评测,1,0.1h,休闲
Gem Jam,¥ 0.00,,,,休闲
Volleyball Fever Flat,¥ 15.00,3 篇用户评测,3,1.0h,休闲
The Ugly Christmas Sweater Game,¥ 0.00,,,,休闲
The Land of Crows,免费开玩,86%,46,8.1h,休闲
激战魔方 Dethcube,¥ 18.00,无用户评测,,26.9h,休闲
Terra Incognita,¥ 35.00,无用户评测,,8.1h,休闲
Drone Combat,¥ 22.00,无用户评测,,6.0h,休闲
剑物语,¥ 27.00,2 篇用户评测,2,0.9h,休闲
Zombie Tag Royale,¥ 11.00,2 篇用户评测,2,0.8h,休闲
苏菲的炼金工房 ～不可思议书的炼金术士～ DX,¥ 249.00,90%,918,34.5h,休闲
莉迪＆苏瑞的炼金工房 ～不可思议绘画的炼金术士～ DX,¥ 249.00,91%,379,47.5h,休闲
The Chaos Gene,¥ 43.00,2 篇用户评测,2,0.6h,休闲
菲利丝的炼金工房 ～不可思议旅的炼金术士～ DX,¥ 249.00,74%,442,46.2h,休闲
PePiBo: Peregrino Pinata Bowling,¥ 32.00,2 篇用户评测,2,,休闲
Octarina,免费,83%,299,1.1h,休闲
Francisca 2,¥ 6.00,52%,19,1.0h,挂机游戏
Drunk Soccer is the Best Soccer,¥ 6.00,85%,40,1.2h,挂机游戏
Children's Jigsaw Puzzles,¥ 18.00,2 篇用户评测,2,3.5h,休闲
Mission IDLE,¥ 9.00,90%,10,9.6h,"休闲, 点击游戏"
