游戏名称,价格,好评率,好评人数,平均游玩时长,标签
Dragon Drop,¥ 24.00,98%,65,3.3h,休闲
VR Nara Park,¥ 37.00,5 篇用户评测,5,0.0h,休闲
Reconnect,¥ 6.60,3 篇用户评测,3,1.1h,休闲
超级鲁斯泡,¥ 9.00,6 篇用户评测,6,0.9h,休闲
The Five Covens,¥ 22.00,5 篇用户评测,5,1.3h,休闲
Stories of Blossom,¥ 56.00,94%,19,3.4h,休闲
Kosmo Laika : Guide to Space,¥ 11.00,95%,22,0.5h,休闲
诗酒剑江湖,¥ 6.00,7 篇用户评测,7,24.4h,"挂机游戏, 休闲"
Online Retro Tennis,¥ 11.00,,,1.5h,休闲
Unlocked,¥ 15.00,92%,13,53.7h,休闲
Buriedbornes2 - Dungeon RPG -,免费开玩,83%,782,8.8h,休闲
The Magic of Three,免费开玩,94%,17,10.4h,"三消, 休闲"
The Forgotten Isles,¥ 15.00,3 篇用户评测,3,1.2h,休闲
Memorize V,¥ 3.00,6 篇用户评测,6,1.8h,"三消, 休闲"
Wild Wild Chess,¥ 5.50,90%,21,23.6h,休闲
A Couple Of Cubes,¥ 0.00,,,,休闲
Parallax Tunnel,¥ 6.00,1 篇用户评测,1,1.4h,休闲
Rounded Hills,¥ 6.00,3 篇用户评测,3,2.1h,休闲
Fast Finger Rule,免费开玩,8 篇用户评测,8,10.7h,休闲
LumbearJack,¥ 52.00,95%,255,4.0h,休闲
Color Pixel Heroes,¥ 11.00,4 篇用户评测,4,16.2h,休闲
ALL OUT WAR : Welcome To The Front,¥ 0.00,,,,休闲
IRENE.HOUSE,免费,9 篇用户评测,9,6.8h,休闲
Corduroy Hollow,¥ 0.00,,,,休闲
《电车难题公司》,¥ 46.00,67%,"1,203",2.2h,休闲
Capsule,¥ 18.00,3 篇用户评测,3,0.8h,休闲
Caravan SandWitch,¥ 90.00,88%,"2,474",4.1h,休闲
Sphere Game Epic,¥ 3.08,9 篇用户评测,9,1.6h,休闲
Rogue Tower,¥ 50.00,82%,"5,693",19.4h,休闲
Memory Train,¥ 18.00,,,1.5h,休闲
Khoros,¥ 22.00,3 篇用户评测,3,3.8h,休闲
Tumblebugs,¥ 70.00,93%,108,11.7h,"休闲, 三消"
Ball,¥ 11.00,9 篇用户评测,9,1.0h,休闲
Communist Clicker,¥ 15.00,8 篇用户评测,8,1.6h,"休闲, 点击游戏, 挂机游戏"
SPEARHEAD,免费开玩,94%,78,3.4h,休闲
Garenburg Penitence: The Riflebird,¥ 15.00,93%,15,4.3h,"三消, 休闲"
战车指挥官,免费开玩,58%,29,9.0h,休闲
Dinosaur Park – Primeval Zoo,免费开玩,69%,203,9.7h,休闲
Ultimate Christmas Puzzler 2,¥ 28.00,1 篇用户评测,1,,休闲
Termina,¥ 26.00,5 篇用户评测,5,,休闲
Word of the Law: Death Mask Collector's Edition,¥ 6.60,78%,32,4.8h,休闲
王室传说：湿地的诅咒 典藏版,¥ 33.00,64%,14,3.4h,休闲
LiS: Achados & Perdidos dos Confins do Universo,¥ 6.00,3 篇用户评测,3,1.4h,休闲
Satama Puzzle,¥ 28.00,7 篇用户评测,7,0.3h,休闲
Friendsim 2,免费,89%,102,8.3h,休闲
Dungeon Divers,¥ 22.00,79%,96,4.2h,休闲
Into the Waves,免费,91%,87,4.7h,休闲
Empire of Revenant,¥ 0.00,,,,休闲
Lastone: Behind the Choice,¥ 22.00,3 篇用户评测,3,2.0h,休闲
Snakepit Larry,¥ 11.00,2 篇用户评测,2,1.1h,休闲
Ambition,¥ 6.00,1 篇用户评测,1,1.1h,休闲
Mirrorama,¥ 3.30,83%,24,1.9h,休闲
pandaman,¥ 0.00,,,,休闲
A Peculiar Adventure On Bast,¥ 0.00,,,,休闲
真 麻雀天下布武,¥ 15.00,58%,17,4.1h,休闲
Aimlabs VR,免费,49%,154,10.0h,休闲
Darkness Battle,¥ 33.00,,,7.3h,休闲
Shape Boxed,¥ 18.00,,,2.9h,"休闲, 点击游戏"
SEARCH ALL - POTIONS,¥ 15.00,90%,44,0.4h,"休闲, 点击游戏"
ASMR,免费开玩,6 篇用户评测,6,37.5h,休闲
HyperLeague Heroes,¥ 15.00,67%,34,125.2h,"挂机游戏, 休闲, 点击游戏"
安科俱乐部,免费开玩,92%,63,5.6h,"休闲, 挂机游戏"
Scripture,¥ 50.00,2 篇用户评测,2,2.9h,休闲
10 Seconds to Win!,¥ 6.00,94%,133,1.3h,休闲
Dodo Life,¥ 0.00,,,,休闲
Sushi Battle Riot,¥ 0.00,,,,休闲
cat gathers ten,¥ 0.00,,,,"点击游戏, 休闲"
Mystery Trackers: Queen of Hearts Collector's Edition,¥ 76.00,60%,10,3.1h,休闲
Yacht Dice : Global League,免费开玩,53%,15,7.5h,休闲
《极品飞车™：不羁》,¥ 248.00,61%,"46,714",22.9h,休闲
The First Odyssey,免费开玩,30%,26,9.4h,休闲
Shah Mat!,¥ 0.00,,,,休闲
Qabara The Artist,¥ 41.00,,,0.1h,休闲
Fruit Salad Theory,¥ 26.00,,,0.1h,休闲
AsteRoid Rage,¥ 11.00,1 篇用户评测,1,,休闲
Shores of Loci,¥ 50.00,91%,46,1.4h,休闲
Idler Coaster,¥ 0.00,,,,"点击游戏, 挂机游戏, 休闲"
Satan's puzzle 666,¥ 15.00,80%,47,0.9h,"休闲, 点击游戏"
Mathomatics,¥ 18.00,,,1.1h,休闲
Breathless,免费开玩,70%,10,13.5h,休闲
The Unearthened - Complete Edition,¥ 33.00,4 篇用户评测,4,1.2h,挂机游戏
游戏开发物语 (Game Dev Story),¥ 38.00,90%,"1,309",7.5h,休闲
Lichkeeper,免费开玩,91%,12,7.2h,休闲
Seres,¥ 0.00,,,,"休闲, 点击游戏, 挂机游戏"
Save Da Frogs,¥ 0.00,,,,休闲
Japanese DoJo,¥ 19.00,4 篇用户评测,4,0.9h,休闲
Tatari,¥ 39.00,57%,19,2.1h,休闲
Boba Simulator : Idle Shop Management,¥ 18.00,84%,308,5.4h,"点击游戏, 挂机游戏, 休闲"
Kingdom's Life,¥ 29.99,64%,224,3.8h,休闲
Return of the Host,¥ 6.00,2 篇用户评测,2,1.4h,休闲
HiddenFrog,¥ 6.00,7 篇用户评测,7,2.4h,休闲
Swing the Universe,¥ 26.00,4 篇用户评测,4,2.2h,休闲
Jigsaw Souls,¥ 15.00,100%,15,2.6h,"点击游戏, 休闲"
Militaristic Rain Of Terror,¥ 0.00,,,,休闲
Shrumblo and the Magical Grumblo,¥ 6.00,3 篇用户评测,3,1.5h,休闲
BiblioMania,免费开玩,77%,77,2.2h,休闲
Путин против Инопланетян: Extended Cut (CyberPutin 2033),¥ 0.00,,,,"点击游戏, 休闲"
Mysterious House,¥ 3.00,91%,23,5.4h,休闲
无限投影,¥ 6.00,58%,214,32.2h,挂机游戏
AMaze DOS,¥ 30.00,71%,32,6.2h,休闲
狗狗大冒险,免费开玩,83%,36,7.7h,休闲
Pirates of the Maverta,¥ 42.00,2 篇用户评测,2,2.8h,休闲
Maverta Island,¥ 42.00,无用户评测,,4.9h,休闲
Walk to the Woods,¥ 37.00,1 篇用户评测,1,1.0h,休闲
Fruit Salad,¥ 11.00,95%,281,8.4h,"三消, 休闲"
Num-Sama,¥ 22.00,1 篇用户评测,1,,休闲
Neon Ninja: Pixel Slasher,¥ 22.00,81%,11,10.4h,休闲
Age,¥ 308.00,1 篇用户评测,1,2.2h,休闲
Bounce Ball Blitz,免费开玩,7 篇用户评测,7,10.6h,休闲
Mossy Pixels,免费,94%,102,3.0h,休闲
Infection Crisis : Fight For Life,¥ 11.00,4 篇用户评测,4,3.6h,休闲
Polygon Survival,¥ 3.00,44%,25,0.7h,休闲
Oversleep,¥ 15.00,2 篇用户评测,2,1.9h,休闲
A Taste of History,¥ 42.00,,,,休闲
无垢之恋 -绽放于春之花海-,¥ 0.00,,,,休闲
Prezzies,¥ 29.00,,,2.1h,"休闲, 点击游戏, 三消"
Alien Break,¥ 18.00,,,,休闲
Layover Lovers,免费,92%,83,7.3h,休闲
Exp10sion,¥ 11.00,100%,19,1.0h,休闲
Schlosshelden,免费,8 篇用户评测,8,11.0h,休闲
Polybius Invaders 2,¥ 0.00,,,,休闲
Desktop Pet Project,¥ 15.00,84%,44,7.6h,"挂机游戏, 休闲"
Musical Dominotes,¥ 0.00,,,,休闲
BAFF Halloween,¥ 11.00,5 篇用户评测,5,8.1h,休闲
感染 - 超级士兵计划,¥ 42.99,3 篇用户评测,3,8.3h,休闲
小夜怪奇物语,¥ 15.00,90%,10,14.6h,点击游戏
Doctor Arcana and The Secret of Shadowspire,¥ 58.00,100%,14,5.2h,休闲
Familiars.io,免费,90%,76,4.3h,休闲
DemonCountdown,¥ 22.00,1 篇用户评测,1,2.5h,休闲
Animal Way,¥ 0.00,,,,休闲
Bladeborne,¥ 0.00,,,,休闲
Sliding,¥ 11.00,2 篇用户评测,2,1.8h,休闲
Hellvivors Prologue,¥ 0.00,,,,休闲
Cyber Fish King,¥ 10.80,1 篇用户评测,1,5.0h,"休闲, 挂机游戏, 点击游戏"
"Die, Pablo! - A tower defense adventure",¥ 15.00,2 篇用户评测,2,21.4h,休闲
Heartless Corporation,¥ 0.00,,,,休闲
Chained Cucumber,¥ 0.00,,,,休闲
魔釜小女巫,¥ 58.00,92%,"1,501",27.5h,"挂机游戏, 休闲"
DUNGEON: Cradle of hell,¥ 22.00,6 篇用户评测,6,1.1h,休闲
Animated Jigsaw Puzzles,¥ 22.00,100%,10,9.6h,休闲
Tiny Breakers Camp,¥ 6.30,80%,61,2.0h,休闲
A Story About Farting,¥ 6.05,86%,30,3.5h,"点击游戏, 休闲, 挂机游戏"
Fight To The Death,¥ 7.50,76%,109,19.9h,休闲
Idle Mall Tycoon,免费开玩,31%,45,4.5h,"点击游戏, 挂机游戏, 休闲"
艺术即是爆炸 - Art is Boom,¥ 18.00,4 篇用户评测,4,4.8h,休闲
Wizardry High School Exam,¥ 18.00,1 篇用户评测,1,,休闲
Chessium: 3D Chess Battle,¥ 0.00,,,,休闲
Marron's Day,¥ 42.00,96%,28,1.8h,休闲
禁忌摄影,¥ 22.00,2 篇用户评测,2,0.4h,休闲
Halloween Trouble 5,¥ 23.40,,,7.1h,"休闲, 三消"
Incredible Dracula: Dark Carnival,¥ 29.00,88%,17,10.1h,休闲
Tracks of the Arcana,¥ 22.00,3 篇用户评测,3,0.2h,休闲
屋檐之下,免费开玩,50%,10,7.1h,"点击游戏, 挂机游戏"
Survive The Night,¥ 0.00,,,,休闲
Aftermath,¥ 26.00,1 篇用户评测,1,1.2h,休闲
Jery Mice vs Cats: Home Invasion,¥ 0.00,,,,休闲
Древние Ящеры Против Русов: Битва за Гиперборею,¥ 6.00,85%,"1,259",2.9h,休闲
Battle Wizard Attack,¥ 42.00,75%,29,3.6h,休闲
Tile Ruler,¥ 11.00,,,,休闲
Pocket Race: Driver,¥ 11.00,1 篇用户评测,1,4.5h,休闲
Dead 4 Now: Rebirth of Survivors,¥ 0.00,,,,休闲
Hexillume,¥ 9.00,1 篇用户评测,1,0.9h,休闲
Lord Clicker,¥ 15.00,7 篇用户评测,7,,"点击游戏, 挂机游戏"
Maze Quest Master,¥ 11.00,,,1.1h,休闲
The Elision Effect,¥ 15.00,94%,157,0.8h,休闲
Infinity Castle Dungeon,¥ 18.00,87%,31,0.6h,休闲
虫群猎手,¥ 6.00,1 篇用户评测,1,1.6h,休闲
SurviBall,免费开玩,84%,33,3.0h,休闲
Energy Tanks,免费,81%,11,6.4h,休闲
Railway Islands 2 - Puzzle,¥ 22.00,90%,31,4.8h,休闲
吉星派对,免费开玩,54%,"20,266",26.4h,休闲
Footy Bash,¥ 0.00,,,,休闲
Brushwood Saga,¥ 29.00,,,0.2h,休闲
上班啦,¥ 11.00,1 篇用户评测,1,1.6h,休闲
凝视比赛,¥ 22.00,6 篇用户评测,6,2.0h,"休闲, 挂机游戏"
Until the Last Plane 1942,免费开玩,84%,38,3.2h,休闲
Fisherman's Island Alpha Test,¥ 11.00,2 篇用户评测,2,2.4h,休闲
城堡大师游戏,¥ 42.00,1 篇用户评测,1,3.4h,休闲
Yeah Wow Hey,¥ 29.99,7 篇用户评测,7,5.5h,休闲
Park Ranger Simulator,¥ 58.00,18%,79,2.8h,休闲
Lost Chronicles,免费开玩,70%,82,12.7h,休闲
Nonograms,免费开玩,81%,85,19.3h,"点击游戏, 休闲"
In Fair Spirits,¥ 36.00,82%,17,3.0h,休闲
Avium,¥ 42.00,84%,26,1.9h,休闲
Tube Be Continued,¥ 58.00,1 篇用户评测,1,,休闲
Adhd Arena,¥ 18.00,,,,"休闲, 点击游戏"
Chess Mess,¥ 0.00,,,,休闲
My Adorable Demon Story,¥ 0.00,,,,休闲
2048x2048,¥ 15.00,1 篇用户评测,1,1.6h,休闲
星际魔法使-FromTheStars-,¥ 0.00,,,,"休闲, 点击游戏"
小鹿牌的秘密,¥ 0.00,,,,休闲
推手: Sokoban,¥ 6.00,无用户评测,,3.1h,休闲
Bananaganza,¥ 15.00,3 篇用户评测,3,3.7h,休闲
Wonderstries,¥ 42.00,,,3.8h,休闲
Enchanted Stories: PAWisoned Kingdom Collector's Edition,¥ 18.00,6 篇用户评测,6,5.1h,休闲
Not Guilty!,¥ 0.00,,,,休闲
hgmGame-butterfly,¥ 109.00,无用户评测,,4.3h,休闲
DDD - Drone Drop Dash,免费开玩,7 篇用户评测,7,10.4h,休闲
Festival Journey: Venetian Masquerade Collector's Edition,¥ 48.00,,,0.4h,"三消, 休闲"
Letters of War,¥ 42.00,84%,13,2.0h,休闲
The Alchemist Of Alderglen,¥ 0.00,,,,"休闲, 点击游戏"
黄金矿工:经典版,¥ 16.69,82%,299,3.8h,休闲
Service with a Shotgun,¥ 27.80,94%,72,2.4h,休闲
Irredeemable,¥ 0.00,,,,休闲
Escape House,¥ 11.00,7 篇用户评测,7,1.3h,"休闲, 挂机游戏"
Shadowland: Rise Of The Fallen,¥ 11.00,,,2.2h,休闲
Lots of Cats on an Adventure,免费开玩,93%,528,3.0h,休闲
BallStack,¥ 15.00,,,,"休闲, 三消"
Find The Cat: Nightmare,¥ 18.00,50%,12,3.1h,"休闲, 点击游戏"
Color Pathways,¥ 11.00,3 篇用户评测,3,2.5h,"休闲, 三消"
<Kobako> Night Detention | 夜の居残り,¥ 0.00,,,,休闲
Shoot Your Pal,¥ 0.00,,,,休闲
The Donut Gallery,免费,92%,14,8.6h,休闲
Walk The Plank,¥ 26.00,1 篇用户评测,1,0.3h,休闲
Three Finger,¥ 42.00,无用户评测,,,休闲
修罗的杀阵：桌面拉面食堂,¥ 15.00,76%,109,49.6h,"挂机游戏, 休闲, 点击游戏"
12 Labours of Hercules XVIII: Ghost Sheep,¥ 48.00,6 篇用户评测,6,15.1h,休闲
Flowerbud,¥ 0.00,,,,"休闲, 点击游戏"
Master of the Mow,¥ 0.00,,,,"休闲, 点击游戏"
DECON Protocol,免费开玩,56%,41,69.7h,"休闲, 挂机游戏, 点击游戏"
Bar at the Edge of Papillon,¥ 0.00,,,,休闲
Colorbound,¥ 0.00,,,,休闲
Dumb AF,¥ 10.00,4 篇用户评测,4,2.3h,休闲
FrostCore,¥ 6.00,2 篇用户评测,2,2.0h,休闲
My Fishing Desktop,¥ 15.00,2 篇用户评测,2,8.6h,"休闲, 点击游戏, 挂机游戏"
Interaktivně o Liberci,¥ 0.00,,,,"休闲, 点击游戏"
The Day in a Life of a Dayfly,免费,91%,47,6.0h,休闲
Powwow Bound: A Menominee Homecoming,免费开玩,8 篇用户评测,8,6.2h,休闲
Legacy of The Botanist,¥ 0.00,,,,休闲
Super Ant Art Tycoon,¥ 36.00,80%,10,2.4h,"点击游戏, 挂机游戏, 休闲"
Wrist Catcher-寸关,¥ 9.00,3 篇用户评测,3,0.5h,"点击游戏, 休闲"
青云防守,¥ 18.00,1 篇用户评测,1,0.8h,点击游戏
Idle Reincarnator,¥ 22.00,70%,92,16.8h,"挂机游戏, 点击游戏"
弹球英雄,¥ 7.20,77%,18,5.2h,"弹球, 休闲, 三消"
龙与大剑,¥ 0.00,,,,休闲
天堂岛,¥ 0.00,,,,休闲
苍蓝魔导士露娜　～天才魔导士与传奇魔导士～,¥ 0.00,,,,休闲
Gyre,¥ 6.00,1 篇用户评测,1,2.7h,"三消, 休闲"
Batta? Batta!,免费开玩,92%,28,8.1h,休闲
Monster Clicker: Origins,¥ 0.00,,,,"休闲, 点击游戏"
马桶英雄,¥ 0.00,,,,休闲
功德桌宠 Merit Pet,¥ 0.00,,,,"挂机游戏, 休闲"
Color Connect,¥ 0.00,,,,休闲
竿鬼村的神隐事件,¥ 48.30,84%,79,2.9h,休闲
Artisan Acre,¥ 0.00,,,,休闲
Countryballs: Power Protocol,¥ 42.00,73%,108,5.0h,"休闲, 挂机游戏"
每日亲亲洛丽塔,¥ 35.00,79%,278,3.9h,休闲
末日水蚤实验室,¥ 0.00,,,,"挂机游戏, 休闲, 点击游戏"
Desktop Clicker,¥ 7.50,3 篇用户评测,3,28.1h,"点击游戏, 挂机游戏"
旋律画笔: 绘制音乐,¥ 0.00,,,,休闲
Escape.exe,¥ 0.00,,,,休闲
MODULE,¥ 0.00,,,,休闲
独奏骑士,免费开玩,21%,14,4.5h,挂机游戏
Soap,¥ 18.00,2 篇用户评测,2,1.1h,休闲
Idle Universe Creator,¥ 6.00,,,2.6h,"休闲, 点击游戏, 挂机游戏"
Risko,¥ 0.00,,,,"休闲, 点击游戏"
A Cat in the Cangaço,¥ 0.00,,,,休闲
Plane Crazy Championship Edition,¥ 26.00,6 篇用户评测,6,5.0h,休闲
Shape Blast,¥ 0.00,,,,休闲
舰魂重构 WarSpirit Recast,¥ 0.00,,,,休闲
Baazi,¥ 22.00,1 篇用户评测,1,3.2h,休闲
Maze Odyssey,¥ 5.40,1 篇用户评测,1,2.1h,休闲
水果厨房,¥ 6.00,1 篇用户评测,1,0.3h,"休闲, 三消, 点击游戏"
Enrobssyba,免费开玩,85%,64,7.3h,休闲
Operation Ninurta - Eris Portal,¥ 22.00,无用户评测,,0.2h,休闲
southbound,¥ 0.00,,,,休闲
La Galerie des Toilettes,¥ 52.00,97%,48,1.2h,休闲
租女友,¥ 33.00,3 篇用户评测,3,0.9h,休闲
Master Hanzi HSK1,¥ 6.00,1 篇用户评测,1,2.2h,休闲
EscapeTheBrainrots,¥ 26.00,,,,休闲
"Scalpel, Please!",¥ 0.00,,,,休闲
Courier Bay,¥ 37.70,54%,11,1.4h,休闲
Hop n' Hook,免费开玩,100%,10,21.9h,休闲
Ogopogo,¥ 15.00,1 篇用户评测,1,0.0h,休闲
Astral Lodge,免费开玩,97%,42,21.1h,点击游戏
Smithy By Day,¥ 0.00,,,,休闲
Bald Guys,¥ 15.00,3 篇用户评测,3,,休闲
Ice Dodo,免费开玩,90%,21,10.5h,休闲
Collector: 10 Lives Challenge,¥ 6.00,,,1.8h,"休闲, 点击游戏"
DONTCRUSH,¥ 15.00,无用户评测,,0.1h,休闲
Mystery of Myths: Whisper of Depth Collector's Edition,¥ 0.00,,,,休闲
Newbie Hacker,¥ 18.00,,,2.4h,休闲
Odds & Orbs,¥ 0.00,,,,休闲
Devestor,¥ 42.00,3 篇用户评测,3,4.7h,休闲
Sharkbaked,¥ 0.00,,,,休闲
指尖蛇舞,免费开玩,5 篇用户评测,5,8.2h,"休闲, 点击游戏"
Pollo x la Pasta,¥ 0.00,,,,"休闲, 三消"
Christmas Luge: The Journey,¥ 33.00,9 篇用户评测,9,,休闲
Race 'n Dash,¥ 11.00,2 篇用户评测,2,,休闲
Brain Candy,¥ 0.00,,,,休闲
Have You Seen This Man?,¥ 15.00,4 篇用户评测,4,0.6h,休闲
PAPARAZZI,¥ 0.00,,,,休闲
Curupira the Forest Guardian,¥ 26.00,4 篇用户评测,4,1.1h,休闲
Ressolve Steps,免费开玩,2 篇用户评测,2,4.4h,休闲
Mellow's PillowLand,免费开玩,4 篇用户评测,4,1.8h,休闲
Loser Named Hana,免费,94%,139,4.5h,休闲
Block-Lite,¥ 11.00,4 篇用户评测,4,1.2h,休闲
Teryndor: Caelorn’s Quest,¥ 17.64,4 篇用户评测,4,,休闲
Tetramorph,¥ 26.00,,,,休闲
Merry’s Seven Wishes,¥ 0.00,,,,休闲
RATMOUSE,免费开玩,84%,19,3.0h,点击游戏
Grammar Grind,¥ 42.00,4 篇用户评测,4,4.5h,休闲
Graviton Flux,¥ 22.00,,,,"休闲, 三消"
Cleaning Raccrew,¥ 0.00,,,,休闲
Orchard Outbreak: Slime Time,¥ 0.00,,,,休闲
Filled Up,¥ 0.00,,,,休闲
空想森林FANTASY FOREST,¥ 0.00,,,,休闲
King's Lynn Leisure Farm,¥ 0.00,,,,"休闲, 挂机游戏"
幻视之夜,¥ 0.00,,,,休闲
白夜梦晴,免费开玩,81%,22,4.3h,休闲
节奏球,¥ 11.00,,,4.2h,休闲
Convent Chronicles: Revelation,¥ 0.00,,,,休闲
Arthur's 2nd Grade,¥ 42.00,,,0.5h,休闲
幸存者:枪火(Survivor: Gunfire),¥ 9.99,100%,18,1.1h,休闲
Arthur's Kindergarten,¥ 42.00,1 篇用户评测,1,1.3h,休闲
Arthur's 1st Grade,¥ 42.00,,,1.1h,休闲
Arthur's Math Games,¥ 42.00,,,0.0h,休闲
Arthur's Reading Games,¥ 42.00,,,1.1h,休闲
Arthur's Preschool,¥ 42.00,1 篇用户评测,1,0.7h,休闲
Harry and the Haunted House,¥ 42.00,1 篇用户评测,1,0.0h,休闲
Little Monster at School,¥ 42.00,,,,休闲
Ruff's Bone,¥ 42.00,1 篇用户评测,1,0.0h,休闲
Havenreach: Last Refuge,¥ 0.00,,,,休闲
Office Wars: Escape from 9 to 5,¥ 0.00,,,,休闲
Padel Rivals,¥ 0.00,,,,休闲
Snemovna,¥ 33.00,7 篇用户评测,7,6.3h,休闲
Drone Feeder,¥ 15.00,1 篇用户评测,1,0.2h,休闲
Sole Duty,¥ 0.00,,,,休闲
Skies Scrapper,¥ 0.00,,,,休闲
Fix and Clerk,¥ 0.00,,,,"休闲, 点击游戏"
LoopMage: The Infinite Trials,¥ 15.00,3 篇用户评测,3,0.3h,休闲
"Vlod, Fronk and Blod",¥ 0.00,,,,休闲
Where is my car?,¥ 11.00,2 篇用户评测,2,,休闲
Lost Artifacts The Ghost of Florence,¥ 58.00,2 篇用户评测,2,4.8h,休闲
看不见的我们,¥ 29.00,93%,225,16.6h,休闲
scale2fit,¥ 0.00,,,,休闲
1948,¥ 0.00,,,,休闲
Battleships Simulator,¥ 0.00,,,,休闲
Butt Gunners,¥ 0.00,,,,休闲
Streetlight Syndicate,¥ 0.00,,,,"点击游戏, 挂机游戏, 休闲"
Wormies,¥ 0.00,,,,休闲
1111-Strike,¥ 0.00,,,,休闲
Not A.C.A.B.,¥ 0.00,,,,休闲
Drift Overdrive,¥ 0.00,,,,休闲
Cozy Builder,¥ 0.00,,,,休闲
Serpath,¥ 0.00,,,,休闲
TEST RELEASE DO NOT BUY !!!,¥ 11.00,100%,41,0.8h,"休闲, 点击游戏, 挂机游戏"
Room 304 - A Boys' Love Story,¥ 15.00,2 篇用户评测,2,0.1h,休闲
Tiny little royale,¥ 0.00,,,,休闲
即时象棋：旧棋新弈 Hyper Chinese Chess,¥ 10.00,76%,47,0.7h,休闲
커피여우 김삼월,¥ 66.00,1 篇用户评测,1,2.4h,休闲
OFF BY,¥ 26.00,,,0.1h,休闲
Purrfect  Stall,免费,9 篇用户评测,9,3.0h,休闲
NGL Biathlon 2026,¥ 68.00,92%,167,25.4h,休闲
Anna & Emma - Paper Adventure,¥ 0.00,,,,休闲
Resources Assemble!,¥ 0.00,,,,挂机游戏
Anomyeowly: Uncover the anomalies with the cat-eared maid,¥ 18.00,81%,11,0.8h,休闲
Timberveil,¥ 0.00,,,,"休闲, 点击游戏"
Starfall,¥ 0.00,,,,休闲
哥是莽撞人,¥ 6.00,,,,休闲
Teddy Collector,¥ 18.00,83%,12,1.4h,休闲
14 Days With You,¥ 0.00,,,,休闲
Chop Signal,¥ 0.00,,,,"挂机游戏, 点击游戏, 休闲"
Island,¥ 0.00,,,,点击游戏
Mine Mine,¥ 22.00,4 篇用户评测,4,4.5h,"点击游戏, 挂机游戏"
声韵之恋,¥ 0.00,,,,休闲
YOBI,¥ 0.00,,,,休闲
被击垮而堕落的强气人妻,¥ 0.00,,,,休闲
MechaCap Arena,¥ 33.00,6 篇用户评测,6,,休闲
Emoji小队,¥ 0.00,,,,休闲
摸鱼弹珠,¥ 6.00,,,0.1h,"弹球, 挂机游戏, 休闲, 点击游戏"
Yoga with Sensei,¥ 0.00,,,,休闲
Arena of Trials,¥ 26.00,无用户评测,,1.1h,休闲
Farm&Night,¥ 18.00,,,,休闲
Clockworks,¥ 0.00,,,,休闲
奇迹魔法师：元素觉醒,¥ 0.00,,,,"三消, 休闲"
Embercore,¥ 0.00,,,,休闲
Mushroom Trip,¥ 0.00,,,,休闲
Fruit Fetish,¥ 0.00,,,,休闲
Slimepatch,¥ 17.60,,,,休闲
Idle Toss: That Water Game,¥ 0.00,,,,"休闲, 挂机游戏"
That One Dungeon Room,¥ 0.00,,,,"挂机游戏, 休闲, 点击游戏"
砍价模拟器,¥ 0.00,,,,休闲
V.E.C.T. Arcade,¥ 0.00,,,,点击游戏
VIVA - VRIDIAN Integrated Virtual Architecture,¥ 0.00,,,,休闲
Stickerino,¥ 0.00,,,,"挂机游戏, 休闲"
Streamer vs. Chat,¥ 0.00,,,,休闲
TypeAndRise,¥ 0.00,,,,休闲
Bumpers & Dragons,¥ 0.00,,,,"弹球, 休闲"
Void Salvage,¥ 0.00,,,,休闲
回响,¥ 15.00,1 篇用户评测,1,1.8h,休闲
TriviaSpire,¥ 0.00,,,,休闲
Lonely Penguin,¥ 0.00,,,,休闲
Be My Star,¥ 0.00,,,,"休闲, 点击游戏"
Three Doors,¥ 18.00,无用户评测,,6.3h,休闲
Tidy Up,¥ 0.00,,,,休闲
Organizer Pro,¥ 120.69,,,,休闲
Dice Goblins Clicker,¥ 21.58,78%,33,9.5h,"点击游戏, 挂机游戏, 休闲"
Anomalous Cleaning Detail,¥ 0.00,,,,休闲
守卫家园,¥ 0.00,,,,"休闲, 点击游戏"
Caterpillar Slime,¥ 0.00,,,,休闲
Lisa's Laboratory,¥ 0.00,,,,休闲
Seema's Pogo 3 Hop Together,¥ 18.00,无用户评测,,,休闲
Dude in the Dark,免费,3 篇用户评测,3,8.6h,休闲
Marble Idle Collectionist,¥ 0.00,,,,"休闲, 挂机游戏, 点击游戏"
Eternal Angler,¥ 0.00,,,,休闲
Piano High Score,¥ 0.00,,,,休闲
猫猫的摸鱼日记,¥ 48.00,,,,"休闲, 三消, 点击游戏"
Time Vestige,¥ 0.00,,,,"休闲, 点击游戏"
Argonauts Agency: Secret of the Labyrinth,¥ 76.00,,,0.3h,休闲
Assassin of Dragon,¥ 18.00,无用户评测,,2.8h,休闲
Wyvern,¥ 0.00,,,,"休闲, 挂机游戏"
로보클린,免费开玩,9 篇用户评测,9,3.0h,休闲
AFK Tactics,¥ 0.00,,,,挂机游戏
Mech My Day,¥ 11.00,,,,休闲
Catnip Cosmos,¥ 0.00,,,,"点击游戏, 挂机游戏, 休闲"
VOLT & VOID,¥ 0.00,,,,休闲
Trivia Tycoon,¥ 0.00,,,,休闲
Once Upon a Page,¥ 0.00,,,,休闲
你的小弟弟,¥ 6.00,无用户评测,,1.0h,"休闲, 挂机游戏, 点击游戏"
挂机升级打怪兽,¥ 28.00,75%,12,53.7h,"挂机游戏, 休闲"
Blik Ball,¥ 0.00,,,,休闲
A Lost Man,¥ 0.00,,,,休闲
Gamble: Hard Exit,¥ 0.00,,,,挂机游戏
"It’s magic, bro!",¥ 0.00,,,,休闲
