游戏名称,价格,好评率,好评人数,平均游玩时长,标签
Dead Effect,¥ 22.00,73%,"2,914",6.8h,恐怖
Eidolon,¥ 48.00,73%,204,6.7h,"探索, 开放世界, 步行模拟, 冒险"
You Have to Win the Game,免费,92%,"5,710",5.0h,"冒险, 探索, 开放世界"
ReignMaker,¥ 102.70,82%,50,8.0h,冒险
fault - milestone one,¥ 48.00,93%,"2,359",15.4h,"视觉小说, 冒险"
Oknytt,¥ 21.00,92%,410,4.8h,"冒险, 恐怖, 探索"
Shadows on the Vatican - Act I: Greed,¥ 29.00,75%,184,4.8h,冒险
Black Mirror II,¥ 36.00,89%,577,11.9h,"冒险, 恐怖"
Black Mirror III,¥ 36.00,88%,427,11.7h,"冒险, 恐怖"
Nearwood - Collector's Edition,¥ 36.00,88%,231,4.5h,冒险
Metro 2033 Redux,¥ 98.00,91%,"87,976",9.0h,"恐怖, 冒险, 开放世界"
Hard Truck Apocalypse: Rise Of Clans / Ex Machina: Meridian 113,¥ 26.00,73%,734,5.9h,"开放世界, 冒险"
Hard Truck Apocalypse: Arcade / Ex Machina: Arcade,¥ 22.00,32%,224,4.9h,冒险
Harvester,¥ 25.00,91%,"1,353",4.0h,"恐怖, 冒险"
Wildlife Park 3,¥ 36.00,62%,376,7.7h,"开放世界, 冒险"
Autocraft,¥ 42.00,51%,247,6.0h,开放世界
Resident Evil Revelations 2,¥ 323.50,78%,"24,421",13.4h,"恐怖, 冒险"
Metro: Last Light Redux,¥ 98.00,91%,"66,142",12.6h,"恐怖, 冒险, 开放世界"
Sunset,¥ 68.00,66%,153,7.9h,"步行模拟, 冒险, 探索"
The Council,免费,83%,"5,586",18.2h,"冒险, 恐怖"
Nostradamus: The Last Prophecy,¥ 21.00,69%,155,17.9h,冒险
The Witch's Yarn,¥ 36.00,5 篇用户评测,5,2.6h,"冒险, 视觉小说"
TY the Tasmanian Tiger 4,¥ 46.50,78%,244,4.1h,冒险
Rex Rocket,¥ 6.00,72%,183,5.1h,冒险
Mortal Online,免费开玩,52%,"2,957",25.3h,"开放世界, 冒险"
Actual Sunlight,¥ 21.00,73%,534,4.3h,"冒险, 视觉小说"
Whispering Willows,¥ 35.00,81%,"1,223",4.2h,"冒险, 恐怖, 探索"
Oncoming Death Steam Edition,¥ 6.00,6 篇用户评测,6,7.2h,冒险
Alicemare,¥ 15.00,88%,"1,104",6.1h,"冒险, 恐怖"
Hidden Through Time,¥ 32.00,93%,"2,756",5.3h,冒险
Javva Juice,¥ 22.00,61%,13,3.6h,冒险
The Disney Afternoon Collection,¥ 24.50,87%,853,4.3h,冒险
Captain Lycop : Invasion of the Heters,免费开玩,72%,33,5.4h,冒险
The Construct,¥ 30.00,78%,91,6.3h,冒险
Nock: Hidden Arrow,¥ 36.00,70%,24,4.7h,冒险
LOST SPHEAR,¥ 338.00,56%,163,10.3h,"冒险, 开放世界"
汐,¥ 38.00,79%,"1,261",9.4h,"冒险, 探索"
Demon Peak,免费开玩,69%,242,6.2h,冒险
Sullen: Light is Your Friend,¥ 30.00,47%,44,4.7h,"冒险, 恐怖"
"Guns, Gore and Cannoli 2",¥ 43.00,94%,"4,592",6.7h,冒险
.hack//G.U. Last Recode,¥ 278.00,87%,"3,418",18.4h,"冒险, 开放世界"
Candy Kingdom VR,¥ 26.00,82%,17,2.0h,冒险
Dyno Adventure,¥ 6.00,33%,15,3.9h,冒险
MMM: Murder Most Misfortunate,¥ 22.00,80%,99,3.9h,"冒险, 视觉小说"
Slashy Hero,¥ 28.00,81%,38,3.6h,冒险
Doorways: Old Prototype,免费开玩,86%,668,2.2h,"恐怖, 冒险, 步行模拟"
Cockroach VR,¥ 11.00,97%,38,1.1h,恐怖
Sky Sanctuary,¥ 15.00,87%,32,3.7h,探索
The Gallery - Episode 2: Heart of the Emberstone,¥ 50.00,83%,378,2.9h,冒险
Silhouette: Chapter One,¥ 0.00,9 篇用户评测,9,0.7h,"冒险, 动作冒险"
Hack Time,免费开玩,28%,14,19.4h,冒险
"Project ""Fire""",免费开玩,76%,111,23.4h,冒险
Deep Below,免费,62%,29,24.6h,冒险
The Hateful Dead,¥ 15.00,84%,19,1.6h,恐怖
CloudBound,¥ 28.00,84%,44,3.5h,冒险
Embers of Magic,免费,83%,100,14.7h,"视觉小说, 冒险"
Higurashi When They Cry Hou - Ch.4 Himatsubushi,¥ 25.00,97%,780,15.6h,"视觉小说, 冒险, 恐怖"
PitchFork,Pitchfork Demo,7 篇用户评测,7,0.7h,"冒险, 恐怖"
The Wild Eight,¥ 92.00,71%,"5,920",9.0h,"开放世界, 冒险, 恐怖"
OFF GRID : Stealth Hacking,¥ 0.00,,,,"探索, 动作冒险"
hack_me,¥ 26.00,68%,"1,452",12.1h,"冒险, 恐怖"
The Gleam: VR Escape the Room,¥ 18.00,25%,39,3.9h,"冒险, 恐怖"
Jumper Jape,¥ 11.00,92%,14,3.0h,冒险
Life of Lon: Chapter 1,免费,76%,50,18.6h,冒险
Monsti,¥ 6.00,68%,66,5.7h,"冒险, 动作冒险, 探索"
幸福工厂,¥ 136.00,97%,"224,003",71.5h,"开放世界, 探索, 冒险"
A Day in the Woods,¥ 21.00,95%,24,4.2h,冒险
The Melody of Dust,¥ 21.00,8 篇用户评测,8,1.1h,冒险
Dead,¥ 22.00,91%,255,5.5h,恐怖
Armies of Riddle CLASSIC,¥ 6.00,2 篇用户评测,2,6.7h,冒险
WORLD END ECONOMiCA episode.03,¥ 52.00,96%,166,9.5h,视觉小说
为了吾王 / For The King,¥ 70.00,87%,"30,583",21.8h,"开放世界, 冒险"
Lurk,¥ 21.71,93%,15,5.5h,"恐怖, 开放世界, 探索, 冒险, 步行模拟, 动作冒险"
Nights of Azure,¥ 88.00,69%,627,28.5h,"探索, 冒险"
Atelier Firis: The Alchemist and the Mysterious Journey / フィリスのアトリエ ～不思議な旅の錬金術士～,¥ 177.00,82%,550,,"冒险, 开放世界"
Grave: VR Prologue,¥ 32.00,7 篇用户评测,7,11.3h,"冒险, 恐怖"
Escape Station,¥ 28.00,2 篇用户评测,2,1.2h,冒险
Demon Hunter 3: Revelation,¥ 58.00,89%,202,4.2h,"冒险, 恐怖"
"Warhammer 40,000: Inquisitor - Martyr",¥ 222.00,76%,"19,243",23.2h,冒险
Cockroach Simulator,¥ 15.00,79%,"2,363",3.5h,"恐怖, 开放世界"
Containment Initiative,¥ 36.00,89%,498,2.7h,恐怖
Keep Defending,¥ 15.00,87%,41,2.1h,"冒险, 动作冒险"
Crown Champion: Legends of the Arena,¥ 22.00,83%,201,6.0h,冒险
YANKAI'S TRIANGLE,¥ 26.00,78%,65,3.3h,恐怖
Cranium Conundrum,¥ 3.38,63%,19,4.4h,冒险
Lifestream - A Haunting Text Adventure,¥ 15.00,100%,25,4.6h,"冒险, 互动小说, 探索"
Dreadful,¥ 11.00,63%,11,2.1h,"冒险, 恐怖"
Nevertales: Shattered Image Collector's Edition,¥ 76.00,85%,14,6.0h,冒险
Grim Tales: The Bride Collector's Edition,¥ 76.00,59%,54,5.5h,冒险
Mystery Trackers: The Void Collector's Edition,¥ 76.00,94%,17,6.4h,冒险
Prospero: New World,¥ 0.00,,,,"冒险, 步行模拟"
Eternal Return,¥ 40.00,51%,27,4.2h,"冒险, 探索, 恐怖"
Gladiator Trainer,¥ 3.08,73%,242,5.7h,"冒险, 开放世界"
東周列萌志 Philosophic Love,免费开玩,89%,879,10.0h,视觉小说
Darkness and Flame: Born of Fire Collector's Edition,¥ 42.00,91%,142,6.0h,冒险
Soulless: Ray Of Hope,¥ 22.00,71%,204,5.2h,"探索, 动作冒险, 恐怖"
Hunt: The Unknown Quarry,免费,67%,58,11.4h,恐怖
Wells,¥ 22.00,74%,71,4.8h,"冒险, 动作冒险"
Rogalia,免费开玩,70%,533,34.9h,"开放世界, 冒险"
