游戏名称,价格,好评率,好评人数,平均游玩时长,标签
[Chilla's Art] The Caregiver | 終焉介護,¥ 22.00,80%,414,2.5h,"恐怖, 探索, 互动小说, 开放世界"
Rules of Alchemy,¥ 0.00,,,,"开放世界, 冒险"
Ballfrog,¥ 8.80,80%,46,1.7h,冒险
中年失业模拟器When a man lose his job,¥ 29.00,78%,344,8.7h,"探索, 开放世界, 恐怖"
The Alpha 001,¥ 15.00,3 篇用户评测,3,0.9h,"冒险, 开放世界"
Aery - A Journey Beyond Time,¥ 18.50,90%,61,50.9h,"探索, 步行模拟, 冒险"
Glam's Incredible Run: Escape from Dukha,¥ 15.00,5 篇用户评测,5,2.0h,"探索, 冒险"
Tomorrow,免费开玩,71%,56,2.2h,"冒险, 探索, 恐怖"
Negative: The Way of Shinobi,¥ 26.00,5 篇用户评测,5,2.0h,"冒险, 动作冒险"
拼图猫娘4,¥ 22.00,94%,"4,293",14.7h,互动小说
Ascendum,¥ 56.00,100%,19,1.8h,冒险
Playground VR,¥ 37.00,8 篇用户评测,8,1.0h,开放世界
Grandiose,¥ 11.00,68%,160,0.7h,开放世界
Hello Guest: Hello Neighbor 2 pre-alpha,免费,88%,775,6.2h,"冒险, 恐怖, 动作冒险"
My Last Memories About You,¥ 18.00,90%,11,0.3h,"步行模拟, 探索, 冒险"
Azure Sky,¥ 18.00,76%,21,3.0h,"冒险, 探索"
Anime Catgirl Runner,¥ 6.50,4 篇用户评测,4,1.7h,冒险
Happy Day,¥ 3.08,27%,18,1.4h,"冒险, 探索, 开放世界"
Lost Assassin - A Tale of AI Corruption,¥ 18.00,,,2.2h,冒险
Through the Helios,¥ 22.00,1 篇用户评测,1,,"动作冒险, 冒险, 探索"
bridg,免费开玩,57%,76,5.4h,步行模拟
OPUS：龙脉常歌 -最终版-,¥ 100.00,96%,"8,450",9.7h,"视觉小说, 互动小说, 探索, 冒险, 步行模拟"
太荒初境,¥ 68.00,38%,"12,572",70.2h,"冒险, 开放世界, 动作冒险"
Maze Party,¥ 26.00,3 篇用户评测,3,14.2h,冒险
Zero-G Revolution,免费,6 篇用户评测,6,9.4h,"冒险, 探索"
Find Yourself,¥ 29.00,84%,"1,172",1.8h,"恐怖, 探索, 步行模拟"
그랑 엠파이어,免费开玩,93%,204,7.9h,视觉小说
Cloud Jumper,¥ 0.00,,,,"探索, 冒险, 动作冒险"
Surprising My Neighbors 2,¥ 6.00,71%,14,0.4h,冒险
Fractal Evolution,¥ 0.00,,,,"开放世界, 冒险"
Harpy Star,¥ 0.00,,,,"探索, 动作冒险"
We Can Make It,¥ 0.00,,,,"冒险, 动作冒险"
Risu,¥ 0.00,,,,"恐怖, 探索, 冒险"
Librarian,¥ 22.00,93%,16,1.6h,冒险
Robot Robert,¥ 6.00,75%,28,12.5h,"冒险, 探索"
Inversion,¥ 22.00,90%,20,1.5h,冒险
Neon Warrior,¥ 42.00,84%,13,4.1h,冒险
Oscar & Gems: Puzzle Quest,¥ 11.00,91%,12,2.3h,冒险
Run Ralph Run,¥ 30.00,73%,26,3.4h,冒险
Neon,¥ 30.00,95%,48,1.3h,冒险
Dream of Tomorrow,¥ 0.00,,,,冒险
Arnold,¥ 3.19,100%,23,2.3h,动作冒险
Fluffy Gore,Fluffy Gore Demo,5 篇用户评测,5,6.2h,动作冒险
Get Together: A Coop Adventure,¥ 5.50,65%,84,2.4h,冒险
Little Lives,¥ 52.00,82%,245,6.1h,开放世界
Renovators,¥ 0.00,,,,"冒险, 动作冒险"
Berzerk Flashback,¥ 10.85,93%,134,10.1h,冒险
Lux mina,¥ 37.00,1 篇用户评测,1,,"动作冒险, 冒险"
BAND OF BROTHERS,¥ 6.00,52%,34,0.7h,"冒险, 开放世界"
Apostle 3D,¥ 15.00,7 篇用户评测,7,1.6h,"冒险, 恐怖"
Evil Shogun,¥ 6.00,3 篇用户评测,3,3.0h,"冒险, 互动小说, 视觉小说"
FRIGID VR,¥ 0.00,,,,"开放世界, 恐怖, 动作冒险, 步行模拟, 冒险, 探索"
The SOL Device 2,免费开玩,9 篇用户评测,9,6.4h,"探索, 开放世界, 冒险"
Recontact London: Cyber Puzzle,¥ 15.00,35%,17,2.3h,"互动小说, 探索"
Orc Warchief: Strategy Story,¥ 0.00,,,,动作冒险
Bleak end,¥ 0.00,,,,视觉小说
Cat Go! Ultimate Challenge,¥ 11.00,84%,26,1.9h,"冒险, 开放世界"
Kuguru,¥ 26.00,2 篇用户评测,2,2.2h,"动作冒险, 步行模拟, 冒险"
MARK-I: Mission Pilot,¥ 11.00,5 篇用户评测,5,1.6h,动作冒险
Fuzz Dungeon,¥ 18.00,100%,74,3.5h,探索
Languish,¥ 15.00,53%,28,0.8h,"恐怖, 探索, 冒险"
Bigfoot Forest,¥ 3.00,73%,142,1.3h,"冒险, 恐怖, 开放世界"
Agent X,¥ 6.00,38%,13,0.3h,"冒险, 动作冒险"
巴特拉：家在何方,¥ 110.00,73%,207,6.2h,"动作冒险, 冒险"
White Shirts Red Blood,¥ 0.00,,,,"动作冒险, 冒险"
Green world: Catharsis,¥ 18.00,100%,16,1.3h,"冒险, 动作冒险"
Horror Squad,¥ 5.50,55%,514,2.6h,"恐怖, 冒险, 动作冒险"
Battle Cube,¥ 6.00,74%,35,2.8h,"冒险, 恐怖, 探索"
Minicraft Shooter,¥ 3.00,18%,11,4.8h,冒险
Horror Tycoon,¥ 58.00,61%,91,1.2h,恐怖
Nemesis - RPG,¥ 32.00,9 篇用户评测,9,21.5h,"动作冒险, 冒险"
Smoked Gun,¥ 6.00,72%,29,1.1h,"冒险, 恐怖, 探索"
What Never Was: Chapter II,¥ 0.00,,,,"冒险, 探索, 步行模拟"
A House of Thieves,¥ 39.99,86%,118,6.0h,动作冒险
Crawler,¥ 11.00,33%,12,1.3h,"冒险, 探索"
Kiki & Ana - The Child,免费开玩,95%,125,3.5h,"视觉小说, 恐怖, 冒险"
Poop,免费开玩,58%,301,294.5h,冒险
The Epic of Inanna,免费,73%,23,10.4h,"冒险, 互动小说, 视觉小说"
Hana's Campus Life!,¥ 58.00,7 篇用户评测,7,1.0h,视觉小说
葬花·暗黑桃花源,¥ 6.00,95%,"6,118",9.7h,"冒险, 视觉小说, 互动小说, 文字游戏"
弗洛伊斯(FREUS),试用版,1 篇用户评测,1,0.9h,"冒险, 动作冒险"
武士的精神,¥ 76.00,59%,362,3.5h,"动作冒险, 冒险"
殺死秦始皇,¥ 10.00,81%,27,2.2h,"探索, 动作冒险, 冒险"
Machinika: Museum,¥ 32.00,91%,"1,120",5.1h,冒险
Cannon Lab 13,¥ 6.00,3 篇用户评测,3,0.8h,探索
Stellar Mess: The Princess Conundrum (Chapter 1),¥ 3.00,97%,36,5.2h,"冒险, 探索"
Enigma of Fear,¥ 92.00,95%,"2,914",9.6h,"开放世界, 探索"
ENDO,ENDO Demo,100%,31,1.7h,"冒险, 探索"
Tail Trail,免费开玩,71%,21,2.3h,"动作冒险, 冒险"
Hypoxia - One Last Breath,免费开玩,78%,19,10.8h,"冒险, 视觉小说, 互动小说"
The Lodge,免费开玩,36%,71,2.0h,"冒险, 恐怖, 动作冒险"
Vamp Night,¥ 11.00,77%,18,1.5h,"开放世界, 冒险"
Cold Wind,¥ 3.00,33%,15,3.1h,"冒险, 开放世界"
童话森林,¥ 228.67,80%,357,11.3h,"冒险, 动作冒险, 探索"
Bloomee,¥ 50.00,2 篇用户评测,2,0.1h,"探索, 步行模拟"
Witch Strandings,¥ 50.00,70%,34,1.0h,"冒险, 步行模拟, 探索, 开放世界"
Doki Doki Ragnarok,¥ 42.00,94%,18,1.5h,视觉小说
蓝色形态,¥ 26.00,92%,27,2.7h,"探索, 视觉小说, 冒险"
My Garage,¥ 92.00,91%,"3,682",62.9h,"开放世界, 探索, 冒险"
Aviano,¥ 26.00,6 篇用户评测,6,1.4h,"冒险, 探索, 动作冒险"
QuietMansion1,¥ 18.00,91%,37,0.8h,"恐怖, 动作冒险, 探索, 冒险"
行尸国度,¥ 0.00,,,,"动作冒险, 冒险, 开放世界"
Hide Seek Survive,¥ 22.00,无用户评测,,14.7h,"恐怖, 探索, 步行模拟, 冒险"
Samurai Zero,¥ 0.00,,,,动作冒险
A Night Before the Deadline,免费开玩,77%,22,4.1h,"探索, 步行模拟, 冒险"
Starless,¥ 32.00,90%,33,2.0h,"恐怖, 动作冒险, 探索, 冒险"
深空梦里人,¥ 76.00,93%,"7,765",5.5h,"互动小说, 探索, 冒险"
Scrabdackle,¥ 58.00,96%,116,4.0h,"开放世界, 动作冒险, 探索, 冒险"
亿万恋人,¥ 15.00,95%,"3,588",3.1h,"视觉小说, 互动小说"
Shadowman®: Darque Legacy,¥ 0.00,,,,"恐怖, 冒险"
Grammarian Ltd,¥ 37.00,89%,46,3.6h,冒险
Vampire Clans,¥ 0.00,,,,冒险
Lady in Mystery,¥ 80.00,94%,152,11.1h,视觉小说
JUST A GUY :  Online Multiplayer Ragdoll Game,¥ 0.00,,,,"开放世界, 动作冒险, 冒险"
VAR: Exterminate,¥ 50.00,89%,130,4.4h,"冒险, 恐怖"
Midnight Girl,¥ 58.00,92%,139,3.5h,"冒险, 探索"
狗蛋神冒险-搞笑的声控冒险,¥ 11.00,8 篇用户评测,8,1.1h,"冒险, 动作冒险"
Caveman,¥ 3.00,100%,10,3.0h,冒险
Yupitergrad 🚀: Sneaki Peaki (Virtual Reality Adventure),免费,98%,52,3.4h,"冒险, 探索"
Daenerys Miracle,¥ 6.00,84%,33,1.7h,"动作冒险, 冒险"
Renova,¥ 36.00,2 篇用户评测,2,7.0h,"探索, 开放世界, 冒险"
Riot Control Simulator,¥ 0.00,,,,动作冒险
The Last Worker,¥ 76.00,63%,44,10.3h,"冒险, 探索, 互动小说"
Birb Café,¥ 37.00,78%,14,2.5h,"视觉小说, 互动小说"
Light Infantry,¥ 35.00,84%,33,2.9h,动作冒险
of pawns & kings,¥ 0.00,,,,冒险
秋末求生 | Survive the Fall,¥ 119.00,67%,567,12.4h,"开放世界, 探索, 冒险"
Shadow Tactics: 爱子的选择 Aiko's Choice,¥ 80.00,93%,"3,889",9.1h,冒险
Guardians of the Wild Sky,¥ 0.00,,,,"冒险, 开放世界, 动作冒险"
拾忆之旅 Spiral,¥ 58.00,90%,33,3.1h,"步行模拟, 探索, 冒险"
DVOREC,¥ 6.00,1 篇用户评测,1,2.1h,"冒险, 视觉小说, 步行模拟"
Dangerous Chris,¥ 6.00,9 篇用户评测,9,1.3h,"动作冒险, 冒险"
Deerstalker,¥ 0.00,,,,"冒险, 探索, 视觉小说"
NULLPTR,¥ 50.00,100%,11,2.9h,冒险
飞龙勇士,¥ 36.50,94%,138,6.4h,"动作冒险, 冒险, 探索"
Host 714,¥ 22.00,100%,18,1.3h,"冒险, 动作冒险, 探索"
NaÀra: Contos de Resistência,¥ 32.00,8 篇用户评测,8,0.9h,"动作冒险, 探索"
Void Surfer,¥ 32.00,2 篇用户评测,2,2.0h,探索
Sol Dorado Heist,¥ 22.00,4 篇用户评测,4,1.0h,视觉小说
Brave Deeds of Rescue Team,¥ 35.00,86%,43,10.0h,"探索, 冒险"
百家谜案集:温迪的家2,¥ 6.00,50%,12,2.3h,"互动小说, 视觉小说"
The Light Brigade,¥ 92.00,88%,"1,059",6.1h,冒险
无限世界:轮回小队,¥ 18.00,74%,39,4.8h,冒险
夏まつりのハナビィ Hanaby's Summer Festival,¥ 75.00,96%,30,8.0h,"冒险, 动作冒险"
Mythos Ever After: A Cthulhu Dating Sim RX,¥ 6.00,,,0.7h,"视觉小说, 互动小说"
HUMANS CONNECT,免费,78%,42,6.9h,"冒险, 动作冒险"
Gnomepunk,¥ 0.00,,,,探索
Galaxy ONE,¥ 62.00,,,,"动作冒险, 探索, 恐怖, 开放世界"
Between Time: Escape Room,¥ 37.00,80%,311,3.3h,"冒险, 互动小说, 步行模拟, 探索"
枪伞游侠,¥ 58.00,86%,853,4.2h,"探索, 冒险"
Pearls of the Oceans,¥ 6.00,1 篇用户评测,1,2.1h,"动作冒险, 探索, 冒险"
Rune Factory 4 Special,¥ 190.00,88%,"1,981",23.9h,冒险
"Agoraphobia ""Knock Knock""",¥ 6.00,29%,24,3.5h,恐怖
Witchcraft U,¥ 26.00,64%,14,3.8h,互动小说
Aventura Pisicului Pierdut,¥ 15.00,100%,12,3.9h,"冒险, 视觉小说"
The LastOnesLeft,¥ 26.00,60%,23,1.4h,"动作冒险, 恐怖, 冒险"
VR Fighter Jets War,¥ 4.80,4 篇用户评测,4,2.8h,冒险
银魂：Silver Soul,¥ 8.00,57%,33,11.0h,"冒险, 恐怖, 探索"
SHIBUYA SUSHI MASTER,¥ 0.00,,,,"冒险, 互动小说, 视觉小说"
NINJA GAIDEN Σ2 [NINJA GAIDEN: Master Collection],¥ 249.00,79%,"1,567",19.6h,冒险
NINJA GAIDEN Σ [NINJA GAIDEN: Master Collection],¥ 249.00,83%,"2,354",13.7h,"冒险, 探索"
九霄仙途,¥ 23.80,77%,93,46.5h,冒险
Lovengrad,¥ 0.00,,,,"冒险, 探索, 恐怖, 动作冒险"
拯救心脏星,¥ 35.00,2 篇用户评测,2,0.2h,"冒险, 探索"
Escape Abstraction,¥ 26.00,2 篇用户评测,2,4.1h,探索
Samorost 1,免费,95%,"5,191",5.1h,冒险
The Trigger,¥ 26.00,80%,10,1.6h,冒险
Manipulator I:The Hand Behind,¥ 37.00,,,1.5h,"探索, 冒险"
Haunted House - The Murder,¥ 11.00,4 篇用户评测,4,1.6h,"探索, 互动小说, 步行模拟, 动作冒险, 恐怖, 冒险"
天使之王：梅塔特隆的飞升 高清复刻版,¥ 60.00,85%,414,4.2h,动作冒险
Dipod: The Foot Legacy,¥ 0.00,,,,"冒险, 动作冒险"
Food Delivery Service,¥ 15.00,66%,30,1.6h,"冒险, 步行模拟, 恐怖"
Bittersweet Birthday,¥ 68.00,92%,25,3.4h,"动作冒险, 探索"
L.S.D.: Prologue to Lasting Spiritual Derangement,免费开玩,80%,266,1.7h,"动作冒险, 开放世界, 探索, 冒险"
Sword Princess Amaltea - The Visual Novel,¥ 42.00,3 篇用户评测,3,1.5h,"冒险, 视觉小说, 互动小说"
Der Geisterjäger / The Ghost Hunter,¥ 14.50,7 篇用户评测,7,0.4h,"冒险, 探索"
Earth Guard: Egypt,免费开玩,8 篇用户评测,8,7.0h,冒险
Dark Runner,¥ 22.00,1 篇用户评测,1,0.7h,探索
Survive Into Night,¥ 22.00,3 篇用户评测,3,0.9h,"探索, 恐怖, 动作冒险"
K.O. Cult,¥ 0.00,,,,恐怖
哈鲁,¥ 0.00,,,,"步行模拟, 探索, 冒险"
HUMANITY,¥ 108.00,93%,470,5.9h,"冒险, 探索"
The Phantom Fellows,¥ 58.00,86%,52,4.5h,"冒险, 探索, 恐怖"
The Legend of Bear-Truck Trucker,¥ 22.00,97%,48,5.1h,探索
VR Nara Park,¥ 37.00,5 篇用户评测,5,0.0h,"步行模拟, 探索"
Reconnect,¥ 6.60,3 篇用户评测,3,1.1h,"冒险, 视觉小说"
Gethaut,¥ 39.00,,,,"冒险, 恐怖"
The Five Covens,¥ 22.00,5 篇用户评测,5,1.3h,冒险
Stories of Blossom,¥ 56.00,94%,19,3.4h,冒险
Kosmo Laika : Guide to Space,¥ 11.00,95%,22,0.5h,"文字游戏, 探索"
我被逐出队伍后过上慢生活,¥ 76.00,88%,575,14.6h,探索
Super Sunny Island,¥ 22.00,95%,20,1.3h,"动作冒险, 冒险"
Unlocked,¥ 15.00,92%,13,53.7h,"探索, 冒险"
Super Mega Zero,¥ 37.00,100%,25,4.3h,冒险
The Forgotten Isles,¥ 15.00,3 篇用户评测,3,1.2h,"冒险, 动作冒险"
A Couple Of Cubes,¥ 0.00,,,,"冒险, 动作冒险, 探索"
Parallax Tunnel,¥ 6.00,1 篇用户评测,1,1.4h,步行模拟
Hello Puppets: Midnight Show,¥ 70.00,72%,62,4.5h,"冒险, 动作冒险, 恐怖"
Sleepy Sunday,¥ 32.00,1 篇用户评测,1,0.7h,"视觉小说, 动作冒险"
LumbearJack,¥ 52.00,95%,255,4.0h,冒险
Color Pixel Heroes,¥ 11.00,4 篇用户评测,4,16.2h,冒险
ALL OUT WAR : Welcome To The Front,¥ 0.00,,,,"动作冒险, 开放世界, 冒险"
IRENE.HOUSE,免费,9 篇用户评测,9,6.8h,"互动小说, 步行模拟"
Corduroy Hollow,¥ 0.00,,,,"冒险, 恐怖, 动作冒险"
Manafinder,¥ 47.00,95%,81,6.2h,"探索, 冒险"
The Little Red Lie,免费开玩,93%,579,2.3h,"探索, 互动小说, 恐怖, 动作冒险, 冒险"
The Palace on the Hill Prologue,免费,98%,123,2.8h,"探索, 冒险, 开放世界"
ASV Trident,¥ 0.00,,,,探索
Recapture the Castle,¥ 6.00,51%,29,0.9h,"冒险, 动作冒险"
Capsule,¥ 18.00,3 篇用户评测,3,0.8h,冒险
Abyss Memory Fallen Angel and the Path of Magic,¥ 22.00,6 篇用户评测,6,1.2h,冒险
Caravan SandWitch,¥ 90.00,88%,"2,474",4.1h,"探索, 冒险, 互动小说, 动作冒险"
Reknum Cheri Dreamland,¥ 28.00,6 篇用户评测,6,2.1h,"冒险, 动作冒险"
Cursed House,¥ 0.00,64%,34,1.2h,"冒险, 动作冒险, 探索, 恐怖"
Reknum Fantasy of Dreams,¥ 76.00,4 篇用户评测,4,0.1h,"冒险, 动作冒险, 探索"
PURGE - Three vs Blood,¥ 21.75,47%,17,3.7h,"恐怖, 冒险, 动作冒险"
Check x Mate,¥ 0.00,,,,"冒险, 视觉小说"
The Redress of Mira,¥ 33.00,73%,38,3.3h,"冒险, 探索, 恐怖"
Ball,¥ 11.00,9 篇用户评测,9,1.0h,"冒险, 探索"
Communist Clicker,¥ 15.00,8 篇用户评测,8,1.6h,互动小说
Holy Purge : Exorcist,¥ 42.00,69%,165,2.6h,"恐怖, 动作冒险"
Starwisp Hyperdrive,¥ 58.00,84%,13,1.9h,"冒险, 探索"
Garenburg Penitence: The Riflebird,¥ 15.00,93%,15,4.3h,视觉小说
Dinosaur Park – Primeval Zoo,免费开玩,69%,203,9.7h,探索
Galactic Wars EX,¥ 32.00,85%,21,1.0h,冒险
Ultimate Christmas Puzzler 2,¥ 28.00,1 篇用户评测,1,,冒险
Profession investigator,¥ 43.00,98%,96,9.9h,"冒险, 互动小说"
超越海盗,免费开玩,87%,16,5.6h,探索
长安地下城,¥ 0.00,,,,冒险
Fear of the Dark,¥ 28.00,69%,13,2.5h,"探索, 冒险, 恐怖"
Word of the Law: Death Mask Collector's Edition,¥ 6.60,78%,32,4.8h,"视觉小说, 冒险"
王室传说：湿地的诅咒 典藏版,¥ 33.00,64%,14,3.4h,"视觉小说, 冒险"
RedPixel,免费开玩,91%,12,7.8h,冒险
Krampus Kills,¥ 50.00,87%,65,2.2h,"恐怖, 探索, 冒险"
Friendsim 2,免费,89%,102,8.3h,"视觉小说, 冒险"
Dungeon Divers,¥ 22.00,79%,96,4.2h,探索
Into the Waves,免费,91%,87,4.7h,"视觉小说, 互动小说, 恐怖, 冒险"
Empire of Revenant,¥ 0.00,,,,"视觉小说, 冒险"
Lastone: Behind the Choice,¥ 22.00,3 篇用户评测,3,2.0h,视觉小说
Snakepit Larry,¥ 11.00,2 篇用户评测,2,1.1h,"探索, 动作冒险, 开放世界, 冒险"
Ambition,¥ 6.00,1 篇用户评测,1,1.1h,动作冒险
Mirrorama,¥ 3.30,83%,24,1.9h,冒险
Momo is Here,¥ 15.00,75%,49,0.7h,"恐怖, 冒险, 动作冒险"
Infiltraliens,免费开玩,80%,55,2.8h,"动作冒险, 探索"
project.r.█.█.,¥ 0.00,,,,互动小说
Milo,¥ 18.00,3 篇用户评测,3,1.3h,"恐怖, 冒险, 探索, 动作冒险"
I Believe In Giants,¥ 0.00,,,,"冒险, 探索"
心心相印：满月诅咒 典藏版,¥ 33.00,66%,24,4.8h,"视觉小说, 恐怖, 冒险"
pandaman,¥ 0.00,,,,"动作冒险, 冒险"
A Peculiar Adventure On Bast,¥ 0.00,,,,"冒险, 探索"
Aimlabs VR,免费,49%,154,10.0h,冒险
Islands of the Caliph,¥ 42.00,88%,260,2.8h,"开放世界, 探索, 冒险"
The Collar,¥ 22.00,1 篇用户评测,1,,"恐怖, 动作冒险"
Blood Souls,¥ 0.00,,,,"冒险, 探索"
Darkness Battle,¥ 33.00,,,7.3h,冒险
Cyra and the Beacon Path,¥ 0.00,,,,"动作冒险, 冒险, 探索"
Tundralia: The Frigid Frontier,¥ 18.00,8 篇用户评测,8,0.2h,"开放世界, 探索, 动作冒险, 冒险"
Mystery of Island,¥ 15.00,4 篇用户评测,4,2.4h,"冒险, 开放世界, 动作冒险"
SEARCH ALL - POTIONS,¥ 15.00,90%,44,0.4h,探索
龙腾世纪™: 影障守护者,¥ 298.00,68%,"40,383",39.0h,冒险
ASMR,免费开玩,6 篇用户评测,6,37.5h,步行模拟
Noir Storm,¥ 0.00,,,,"冒险, 探索, 互动小说"
HyperLeague Heroes,¥ 15.00,67%,34,125.2h,"冒险, 探索"
安科俱乐部,免费开玩,92%,63,5.6h,"文字游戏, 互动小说"
Scripture,¥ 50.00,2 篇用户评测,2,2.9h,"冒险, 动作冒险, 步行模拟"
10 Seconds to Win!,¥ 6.00,94%,133,1.3h,动作冒险
Dodo Life,¥ 0.00,,,,冒险
The Curator,¥ 0.00,,,,"冒险, 步行模拟"
Iron Lung,¥ 33.00,92%,"9,558",2.0h,"恐怖, 冒险, 探索, 步行模拟"
Land Of Eno,¥ 12.00,8 篇用户评测,8,0.3h,"开放世界, 冒险"
Re;quartz零度,¥ 103.00,84%,32,14.7h,"冒险, 视觉小说"
Mystery Trackers: Queen of Hearts Collector's Edition,¥ 76.00,60%,10,3.1h,"冒险, 恐怖"
病房轶事 ～只有恶质护士存在的医院～,¥ 70.00,77%,586,9.4h,"冒险, 视觉小说"
EEP 17 Eisenbahn.exe Professional - Aufbau- und Steuerungssimulation,¥ 519.00,62%,16,6.1h,探索
Gates of Siberia: Wildlands,¥ 0.00,,,,"探索, 冒险"
《极品飞车™：不羁》,¥ 248.00,61%,"46,714",22.9h,"开放世界, 冒险"
Burnhouse Lane,¥ 50.00,94%,959,10.1h,"冒险, 动作冒险, 恐怖"
Refraction: Beyond the Mirror,¥ 32.00,90%,10,0.8h,"动作冒险, 冒险, 步行模拟, 探索"
The First Odyssey,免费开玩,30%,26,9.4h,"探索, 互动小说, 动作冒险, 恐怖"
Sanctus,¥ 0.00,,,,"冒险, 探索, 动作冒险, 互动小说"
花都之恋,¥ 18.00,93%,146,8.6h,"视觉小说, 文字游戏, 冒险"
Lilium Reach,¥ 0.00,,,,"探索, 开放世界, 冒险, 动作冒险"
Shah Mat!,¥ 0.00,,,,"冒险, 互动小说, 视觉小说"
Qabara The Artist,¥ 41.00,,,0.1h,"冒险, 互动小说, 步行模拟, 探索"
Witchbrook,¥ 0.00,,,,开放世界
Fruit Salad Theory,¥ 26.00,,,0.1h,"视觉小说, 互动小说"
KiNoKoe : Tree's Voice,¥ 42.00,2 篇用户评测,2,8.9h,"探索, 步行模拟, 冒险"
Gummings,¥ 6.00,4 篇用户评测,4,2.2h,恐怖
Shores of Loci,¥ 50.00,91%,46,1.4h,"互动小说, 冒险"
Exploria,¥ 22.00,60%,10,1.1h,"冒险, 动作冒险, 探索"
Where's My Horse? An Escape the Room Adventure,¥ 18.00,5 篇用户评测,5,1.8h,"探索, 冒险"
There Won't be Light,¥ 20.99,54%,51,1.7h,"恐怖, 动作冒险, 冒险"
Skeletons,¥ 11.00,7 篇用户评测,7,2.0h,"探索, 动作冒险, 恐怖, 冒险"
Honored,免费开玩,72%,40,6.5h,"冒险, 动作冒险, 探索"
Missing Mildred,¥ 22.00,2 篇用户评测,2,1.1h,冒险
Dungeon Runner XZ,免费开玩,65%,23,9.7h,"冒险, 动作冒险"
守望之影,¥ 39.00,42%,21,1.8h,"动作冒险, 冒险, 探索"
11F,¥ 36.00,83%,166,2.2h,"冒险, 恐怖, 步行模拟, 探索"
Satan's puzzle 666,¥ 15.00,80%,47,0.9h,恐怖
Tokyo Detectives 东京侦探,免费开玩,69%,56,3.1h,"视觉小说, 冒险"
MORTAL CRUX,¥ 0.00,,,,"开放世界, 探索, 动作冒险, 冒险"
约翰尼·男孩: 红月之吻,¥ 57.00,8 篇用户评测,8,2.1h,"互动小说, 冒险"
不可思议的幻想乡 -FORESIGHT-,¥ 128.00,46%,288,17.4h,冒险
Island Berry,¥ 22.00,54%,11,2.0h,"开放世界, 冒险"
Lichkeeper,免费开玩,91%,12,7.2h,冒险
Ruins Of Mitriom,免费,94%,99,3.9h,"动作冒险, 探索, 冒险"
Save Da Frogs,¥ 0.00,,,,"冒险, 动作冒险, 步行模拟, 探索"
FREEZEFRAME,¥ 11.00,无用户评测,,1.3h,冒险
Tatari,¥ 39.00,57%,19,2.1h,"恐怖, 冒险, 动作冒险"
Rising of the Moon - Part 1,¥ 22.00,3 篇用户评测,3,1.4h,冒险
Keyworker Simulator,¥ 0.00,,,,"开放世界, 探索"
Return of the Host,¥ 6.00,2 篇用户评测,2,1.4h,冒险
Tkium Exclusion Area,¥ 15.00,4 篇用户评测,4,2.4h,"动作冒险, 探索, 恐怖"
Project Kunai,¥ 22.00,86%,15,2.5h,"冒险, 动作冒险"
Swing the Universe,¥ 26.00,4 篇用户评测,4,2.2h,探索
Witchbane,¥ 0.00,,,,"动作冒险, 冒险, 恐怖"
Myth Caller: The Nightmare Shaman,¥ 0.00,,,,冒险
STARTMOVE,免费开玩,51%,37,48.4h,"开放世界, 冒险"
Synchronizacja - Visual Novel,免费,92%,27,5.9h,"视觉小说, 冒险"
Путин против Инопланетян: Extended Cut (CyberPutin 2033),¥ 0.00,,,,冒险
Mysterious House,¥ 3.00,91%,23,5.4h,冒险
AMaze DOS,¥ 30.00,71%,32,6.2h,探索
Absinthia,¥ 42.00,95%,43,7.3h,"探索, 冒险"
Amelite,免费开玩,96%,31,5.1h,冒险
狗狗大冒险,免费开玩,83%,36,7.7h,"冒险, 动作冒险"
A Street Story,¥ 18.00,,,2.2h,"互动小说, 视觉小说"
Gelatine,¥ 26.00,90%,22,1.5h,"探索, 开放世界"
Era Dream : Rose,免费,74%,31,4.3h,"动作冒险, 恐怖, 冒险"
FEAR: Call of the village,¥ 0.00,,,,"恐怖, 探索, 冒险"
Nightmare of Decay,¥ 22.00,95%,"4,073",4.3h,"恐怖, 动作冒险, 冒险"
Foolish Mortals,¥ 76.00,95%,457,9.4h,冒险
System Critical: The Race Against Time,¥ 22.00,3 篇用户评测,3,1.1h,"冒险, 动作冒险"
You Are NOT Bunnygirl,¥ 42.00,95%,68,31.8h,"恐怖, 探索"
Num-Sama,¥ 22.00,1 篇用户评测,1,,动作冒险
Marsh,¥ 22.00,100%,10,1.0h,冒险
Neon Ninja: Pixel Slasher,¥ 22.00,81%,11,10.4h,"动作冒险, 冒险"
Mistward,¥ 24.00,58%,68,2.4h,"探索, 开放世界"
Dracula's Prey - A Nightmare in Rome,¥ 0.00,,,,"恐怖, 冒险, 动作冒险, 探索"
Partizan,¥ 0.00,,,,动作冒险
Legends of Starkadia,¥ 0.00,,,,"冒险, 探索"
RE.wired,¥ 0.00,,,,"视觉小说, 探索, 恐怖, 冒险"
REARVIEW MIRROR,¥ 48.00,9 篇用户评测,9,3.1h,"视觉小说, 互动小说, 冒险"
Under A Star Long Cold,¥ 15.00,81%,97,0.8h,"动作冒险, 开放世界"
The Great Exhibition of 1851 in VR,免费,96%,30,6.4h,探索
Bounce Ball Blitz,免费开玩,7 篇用户评测,7,10.6h,冒险
倾覆之国：最后一战,¥ 46.00,40%,40,1.9h,"动作冒险, 开放世界, 冒险"
Death of Marionette,¥ 7.50,92%,53,3.5h,冒险
