游戏名称,价格,好评率,好评人数,平均游玩时长,标签
Hard Truck Apocalypse: Arcade / Ex Machina: Arcade,¥ 22.00,32%,224,4.9h,"动作, 街机"
Crouching Pony Hidden Dragon,¥ 11.00,47%,21,1.2h,"动作, 街机"
Chaos Domain,¥ 15.00,21%,37,6.5h,"动作, 平台游戏"
Resident Evil Revelations 2,¥ 323.50,78%,"24,421",13.4h,动作
Ionball 2: Ionstorm,¥ 21.00,70%,194,4.5h,"动作, 街机"
梦幻遥控车(Re-Volt),¥ 39.00,91%,"1,291",3.7h,街机
COH 2 - The Western Front Armies: US Forces,¥ 13.00,63%,165,,动作
Metro: Last Light Redux,¥ 98.00,91%,"66,142",12.6h,"动作, 潜行"
Rise of Nations: Extended Edition,¥ 68.00,94%,"13,033",23.9h,动作
Derrick the Deathfin,¥ 31.00,92%,13,3.1h,平台游戏
TY the Tasmanian Tiger 4,¥ 46.50,78%,244,4.1h,"动作, 平台游戏"
Pro Pinball Ultra,¥ 48.00,81%,279,8.9h,街机
Yomi,¥ 48.00,78%,145,18.2h,格斗
Rex Rocket,¥ 6.00,72%,183,5.1h,"动作, 平台游戏"
Mortal Online,免费开玩,52%,"2,957",25.3h,动作
Javva Juice,¥ 22.00,61%,13,3.6h,平台游戏
The Disney Afternoon Collection,¥ 24.50,87%,853,4.3h,"平台游戏, 动作"
Space Fuss,¥ 21.00,76%,82,4.1h,"动作, 街机"
Captain Lycop : Invasion of the Heters,免费开玩,72%,33,5.4h,动作
The Construct,¥ 30.00,78%,91,6.3h,动作
Nock: Hidden Arrow,¥ 36.00,70%,24,4.7h,"动作, 潜行"
Starship Annihilator,¥ 6.00,73%,165,8.7h,动作
汐,¥ 38.00,79%,"1,261",9.4h,"动作, 平台游戏"
Gobernators (Parodia política peruana),免费开玩,80%,105,9.3h,"动作, 平台游戏"
Demon Peak,免费开玩,69%,242,6.2h,"动作, 平台游戏"
King Oddball,¥ 22.00,93%,58,4.5h,"动作, 街机"
"Guns, Gore and Cannoli 2",¥ 43.00,94%,"4,592",6.7h,"动作, 平台游戏, 街机"
.hack//G.U. Last Recode,¥ 278.00,87%,"3,418",18.4h,动作
Six Feet Under,免费开玩,72%,29,20.5h,动作
Candy Kingdom VR,¥ 26.00,82%,17,2.0h,动作
Dyno Adventure,¥ 6.00,33%,15,3.9h,平台游戏
Octogeddon,¥ 38.00,92%,"1,224",12.0h,"动作, 街机"
Bullets And More VR - BAM VR,¥ 37.00,88%,485,6.3h,动作
Awesome Obstacle Challenge,¥ 31.00,9 篇用户评测,9,1.2h,动作
Doorways: Old Prototype,免费开玩,86%,668,2.2h,"动作, 平台游戏"
Sky Sanctuary,¥ 15.00,87%,32,3.7h,"动作, 街机, 节奏"
Deus Ex: Mankind Divided™ - VR Experience,免费开玩,49%,300,,动作
MY FIGHT,¥ 9.12,55%,40,6.3h,"动作, 格斗"
The Hateful Dead,¥ 15.00,84%,19,1.6h,动作
8infinity,¥ 3.00,76%,160,7.1h,"动作, 节奏"
CloudBound,¥ 28.00,84%,44,3.5h,动作
Embers of Magic,免费,83%,100,14.7h,动作
PitchFork,Pitchfork Demo,7 篇用户评测,7,0.7h,动作
The Wild Eight,¥ 92.00,71%,"5,920",9.0h,动作
Boxing Saga,¥ 30.00,54%,24,2.9h,动作
OFF GRID : Stealth Hacking,¥ 0.00,,,,"潜行, 动作"
hack_me,¥ 26.00,68%,"1,452",12.1h,街机
Jumper Jape,¥ 11.00,92%,14,3.0h,"平台游戏, 动作"
Monsti,¥ 6.00,68%,66,5.7h,"街机, 平台游戏, 动作"
Cubotrox,Cubotrox Demo,90%,20,20.7h,"动作, 街机"
Dead,¥ 22.00,91%,255,5.5h,"动作, 角色动作"
Armies of Riddle CLASSIC,¥ 6.00,2 篇用户评测,2,6.7h,动作
Lurk,¥ 21.71,93%,15,5.5h,"动作, 潜行"
Nights of Azure,¥ 88.00,69%,627,28.5h,动作
Captain Kaon,¥ 28.00,90%,10,3.9h,动作
Grave: VR Prologue,¥ 32.00,7 篇用户评测,7,11.3h,动作
What The Box?,¥ 21.00,81%,581,1.9h,"动作, 潜行"
"Warhammer 40,000: Inquisitor - Martyr",¥ 222.00,76%,"19,243",23.2h,动作
Donuts'n'Justice,¥ 22.00,79%,108,6.9h,"动作, 街机"
Strike Force: Arctic Storm,¥ 15.00,33%,15,1.6h,动作
PITCH-HIT ARCADE,¥ 37.00,76%,21,1.2h,动作
Containment Initiative,¥ 36.00,89%,498,2.7h,"街机, 动作"
Keep Defending,¥ 15.00,87%,41,2.1h,动作
Crown Champion: Legends of the Arena,¥ 22.00,83%,201,6.0h,动作
Merger 3D,¥ 3.00,47%,84,4.0h,动作
Just Hero,¥ 3.00,59%,112,4.2h,平台游戏
Dynamite Alex,¥ 6.00,80%,25,3.6h,"动作, 平台游戏"
War Cube,¥ 6.00,66%,60,4.0h,街机
Dreadful,¥ 11.00,63%,11,2.1h,动作
Divergence: Year Zero,¥ 68.00,64%,14,3.3h,动作
Eternal Return,¥ 40.00,51%,27,4.2h,"动作, 平台游戏"
Gladiator Trainer,¥ 3.08,73%,242,5.7h,动作
Destroyer,¥ 42.00,9 篇用户评测,9,2.7h,动作
Solstice Chronicles: MIA,¥ 50.00,70%,240,7.6h,动作
SYNTHETIK: Legion Rising,¥ 70.00,94%,"10,039",17.9h,动作
NEON Ultra,¥ 6.00,88%,35,2.1h,动作
TITAN SLAYER,¥ 42.00,82%,84,2.7h,动作
Soulless: Ray Of Hope,¥ 22.00,71%,204,5.2h,"平台游戏, 动作"
Evil Orbs,¥ 18.00,91%,12,3.6h,动作
Hunt: The Unknown Quarry,免费,67%,58,11.4h,潜行
Wells,¥ 22.00,74%,71,4.8h,"动作, 平台游戏"
Drunkn Bar Fight,¥ 68.00,76%,979,3.4h,"动作, 格斗"
Double Dragon IV,¥ 48.00,61%,701,5.8h,"动作, 格斗"
Turbo Pug 3D,¥ 11.00,77%,144,5.7h,"平台游戏, 动作"
Rugby Union Team Manager 2017,¥ 136.00,49%,93,77.2h,"动作, 街机"
Spin Rush,¥ 5.40,76%,356,6.8h,动作
Crypt of the Serpent King,¥ 3.08,81%,263,15.2h,动作
Shu,¥ 37.00,75%,90,4.6h,"动作, 平台游戏"
Twixel,¥ 11.00,83%,18,3.8h,"动作, 街机"
Birthright Cataclysm - Overture,免费开玩,84%,13,14.4h,动作
SOS Survival,¥ 42.00,55%,20,14.7h,"动作, 大逃杀"
Nekuia,¥ 36.00,66%,12,4.1h,"动作, 平台游戏"
Basketball Babe,¥ 25.50,94%,19,3.0h,动作
Awkward Dimensions Redux,免费,80%,"2,956",2.1h,平台游戏
Omni Link,¥ 18.00,88%,43,5.3h,动作
Ulama: Arena of the Gods,¥ 21.00,3 篇用户评测,3,0.6h,动作
Lazerbait,免费,96%,511,4.5h,街机
Robot Incursion,免费开玩,63%,11,71.9h,动作
Dark and Light,¥ 98.00,51%,"10,553",75.4h,动作
TEOT - The End OF Tomorrow,¥ 30.00,50%,12,0.9h,动作
Void Rangers,¥ 40.00,80%,35,3.8h,动作
"Creature Clicker - Capture, Train, Ascend!",免费开玩,49%,595,15.1h,动作
Kittypocalypse - Ungoggled,¥ 36.00,79%,44,3.4h,动作
Behold the Kickmen,¥ 18.00,85%,374,3.8h,动作
Rogue Trooper Redux,¥ 92.00,77%,461,4.2h,动作
ALONE? - VR,¥ 35.00,63%,36,3.7h,动作
Kyurinaga's Revenge,¥ 31.00,81%,11,5.2h,平台游戏
Mutant Football League,Try it NOW! Dynasty DLC is FREE!,93%,683,12.8h,街机
Mages of Mystralia,¥ 68.00,85%,876,7.1h,动作
The Bellows,免费,86%,244,9.8h,动作
TAIKU MANSION,¥ 30.00,58%,84,4.6h,动作
Ley Lines,免费,83%,153,5.8h,动作
Gone with the Demon,¥ 48.00,68%,19,3.5h,动作
Beyond Power VR,¥ 11.00,45%,11,5.0h,动作
Polygon Attack,¥ 11.00,89%,234,4.8h,"动作, 街机"
ARK Park,¥ 39.60,44%,409,16.4h,动作
ShowdownVR,¥ 11.00,7 篇用户评测,7,0.5h,动作
12 orbits,¥ 11.00,87%,265,6.0h,街机
PositronX,¥ 84.99,71%,56,3.7h,动作
World to the West,¥ 75.00,79%,188,6.6h,动作
Exophobia,¥ 58.00,89%,93,4.0h,街机
Super Space Shooter Arena,免费开玩,7 篇用户评测,7,23.1h,动作
The Black Grimoire: Cursebreaker,¥ 58.00,86%,776,17.6h,动作
Beat Or Die The MiniGames,¥ 11.00,1 篇用户评测,1,4.8h,动作
Fox-Trot Over Run,¥ 22.00,无用户评测,,,动作
DEUS EX MACHINA: Stage Zero,免费,61%,13,16.2h,动作
Street Hoop,¥ 22.00,86%,44,1.6h,街机
漫步者 The Walker,¥ 4.00,4 篇用户评测,4,2.5h,动作
Wallachia: Reign of Dracula,¥ 37.00,70%,171,11.5h,"动作, 平台游戏, 街机"
Bleeding Edge,¥ 90.00,67%,"1,408",10.7h,"动作, 格斗"
传说之光,¥ 37.00,无用户评测,,0.6h,动作
The Last Deathbound,¥ 22.00,90%,10,5.8h,动作
彩球战争,免费开玩,85%,"1,902",1.9h,"动作, 街机"
奥力奥力世界,¥ 19.00,93%,883,4.6h,"平台游戏, 动作"
Arrow,免费开玩,66%,18,14.0h,动作
Nick Reckless in The Curse of the Lost Cause,¥ 37.00,,,,"动作, 平台游戏"
超击突破,免费开玩,56%,"18,307",16.3h,"大逃杀, 动作"
Tank Hurricane,¥ 11.00,1 篇用户评测,1,16.9h,动作
Race Race Racer,¥ 6.00,79%,29,1.8h,动作
The Wonderful 101: Remastered,¥ 200.00,84%,546,7.8h,"动作, 角色动作, 街机"
Crazy city,¥ 116.00,8 篇用户评测,8,0.3h,动作
Heebie Jeebies: The Roller Coaster,¥ 22.00,5 篇用户评测,5,1.2h,动作
SOONA,¥ 11.00,3 篇用户评测,3,1.6h,"动作, 平台游戏"
IOX,免费,58%,12,18.8h,动作
胶囊人,¥ 0.00,,,,动作
Phantom Hills,¥ 0.00,,,,动作
Ruff 'N' Tumble: Mayhem,¥ 0.00,,,,"街机, 大逃杀, 动作"
DooM in the Dark 2,¥ 6.00,40%,10,2.4h,动作
Boomer Remover,¥ 6.00,72%,18,1.7h,动作
Booobjz,Booobjz Demo,90%,21,6.7h,"动作, 平台游戏, 街机"
Defend Them !,¥ 22.00,3 篇用户评测,3,0.8h,动作
ScribbleDude,¥ 28.00,100%,17,4.2h,"平台游戏, 动作"
Hoarding Simulator,¥ 15.00,3 篇用户评测,3,1.3h,动作
Pick Your Poison,¥ 0.00,,,,动作
MotoTrials,¥ 58.00,6 篇用户评测,6,0.9h,"动作, 街机, 平台游戏"
Seek Girl Ⅲ,¥ 11.00,83%,"2,672",7.3h,动作
SANCTION,¥ 26.00,4 篇用户评测,4,,动作
[Chilla's Art] Yuki Onna | 雪女,¥ 22.00,76%,177,3.0h,动作
刀剑乱舞无双,¥ 349.00,87%,186,17.0h,动作
Inferna,免费开玩,62%,"2,209",9.8h,动作
Hero Soul: I want to be a Hero!,¥ 37.00,1 篇用户评测,1,1.1h,"角色动作, 街机, 动作"
Fifo's Night,免费开玩,90%,173,5.6h,平台游戏
PixHunter,¥ 11.00,4 篇用户评测,4,0.9h,"动作, 街机"
Streamer Shall Not Pass!,¥ 678.00,1 篇用户评测,1,6.5h,动作
战争结束 1945年,¥ 50.00,76%,17,4.4h,"动作, 街机"
Shantae and the Seven Sirens,¥ 90.00,90%,"1,494",11.9h,"平台游戏, 动作"
Spidersaurs,¥ 70.00,74%,50,3.8h,"街机, 动作"
Rebel Transmute,¥ 76.00,73%,232,9.8h,"动作, 平台游戏"
Skull Head World,¥ 18.00,1 篇用户评测,1,6.3h,"动作, 街机"
Iverian Wars: Craxion vs Defugel,免费开玩,32%,518,4.5h,动作
Say No! More,¥ 50.00,91%,"1,690",2.8h,"动作, 街机"
Detective Simulator,¥ 0.00,,,,动作
Cyber Fight Challenge,¥ 37.00,37%,45,1.3h,格斗
Virus L,¥ 37.00,3 篇用户评测,3,0.6h,动作
TriangleStorm,¥ 6.00,66%,18,2.3h,街机
Snack Invaders,¥ 0.00,,,,"动作, 街机, 平台游戏"
Room Escape '1053',¥ 0.00,8 篇用户评测,8,0.2h,动作
Burning Sun,¥ 0.00,,,,平台游戏
TOTALLY BASEBALL,¥ 58.00,88%,150,7.0h,"动作, 街机"
东方梦猫传,¥ 5.50,69%,46,1.2h,动作
23UL,¥ 11.00,1 篇用户评测,1,1.3h,动作
Romancelvania,¥ 92.00,76%,246,4.7h,"平台游戏, 动作"
The Last Roman Village 2,¥ 0.00,,,,动作
The Shenanigans of Cherry and Trix,¥ 22.00,3 篇用户评测,3,6.8h,动作
Shoot Them,¥ 12.00,80%,121,4.4h,动作
Nostalgiarian,¥ 3.30,7 篇用户评测,7,2.0h,动作
IRON REBELLION,¥ 92.00,84%,712,1.7h,动作
Zom Nom,免费开玩,93%,147,2.0h,平台游戏
The Battles of Spwak 3,免费开玩,72%,22,7.2h,动作
Bomber Fox,¥ 22.00,4 篇用户评测,4,4.8h,动作
DEFICIT,¥ 0.00,,,,动作
K37-D,¥ 11.00,4 篇用户评测,4,4.3h,动作
Wonder Cat,¥ 0.00,,,,"动作, 平台游戏"
Axe Cop,¥ 37.00,88%,18,1.8h,动作
Zelter / 尸外桃源,¥ 76.00,48%,"1,731",9.0h,动作
The Visitors,¥ 22.00,无用户评测,,6.9h,动作
Vapormaze,¥ 50.00,77%,18,1.0h,"街机, 动作"
Space Climber,¥ 18.00,2 篇用户评测,2,5.2h,动作
The Aftermath: Unnatural Selection,¥ 0.00,,,,动作
WarriOrb: Prologue,免费,88%,398,1.3h,"平台游戏, 动作"
Piece Of Mind,¥ 50.00,3 篇用户评测,3,,动作
UNHERD,免费开玩,76%,21,9.1h,平台游戏
Alien Invasion 3D part 2,¥ 42.00,无用户评测,,58.3h,动作
Tower Climb,¥ 6.00,7 篇用户评测,7,1.0h,"平台游戏, 动作"
Jeremiah,¥ 6.00,5 篇用户评测,5,1.9h,"动作, 街机"
Ping Pong Space - Retro Tennis,¥ 15.00,7 篇用户评测,7,1.5h,"街机, 动作, 节奏"
