游戏名称,价格,好评率,好评人数,平均游玩时长,标签
Horror Squad,¥ 5.50,55%,514,2.6h,动作
Battle Cube,¥ 6.00,74%,35,2.8h,"动作, 平台游戏"
Minicraft Shooter,¥ 3.00,18%,11,4.8h,动作
Hatchpunk,¥ 29.25,2 篇用户评测,2,1.0h,动作
Smoked Gun,¥ 6.00,72%,29,1.1h,动作
A House of Thieves,¥ 39.99,86%,118,6.0h,"潜行, 动作"
Crawler,¥ 11.00,33%,12,1.3h,"街机, 动作"
Muffin Fight,¥ 15.00,4 篇用户评测,4,0.5h,"大逃杀, 格斗, 街机, 动作"
弗洛伊斯(FREUS),试用版,1 篇用户评测,1,0.9h,动作
武士的精神,¥ 76.00,59%,362,3.5h,动作
Grab Toy,¥ 18.00,2 篇用户评测,2,1.8h,平台游戏
Cannon Lab 13,¥ 6.00,3 篇用户评测,3,0.8h,"街机, 平台游戏, 动作"
Rowfall,¥ 15.00,1 篇用户评测,1,2.3h,"动作, 街机"
To The Snowland Platformer Game,¥ 15.00,,,0.8h,"动作, 平台游戏"
Soobmarinno,¥ 30.00,83%,12,8.1h,街机
Mayhem Fortress,¥ 0.00,,,,动作
Apollo 3000: Wild Space,¥ 0.00,,,,动作
Tail Trail,免费开玩,71%,21,2.3h,动作
The Lodge,免费开玩,36%,71,2.0h,动作
Space Warlord Organ Trading Simulator,¥ 70.00,92%,798,3.1h,"动作, 街机"
Base Defense VR,免费,59%,27,5.7h,街机
Pixel Fixel,免费,100%,122,6.6h,街机
Race - Total Toon Race,¥ 11.00,1 篇用户评测,1,1.9h,"街机, 动作"
10K & The Kriminal World - Sammy's Attack,¥ 39.00,1 篇用户评测,1,0.4h,"动作, 平台游戏"
Aviano,¥ 26.00,6 篇用户评测,6,1.4h,"动作, 街机"
行尸国度,¥ 0.00,,,,动作
Hide Seek Survive,¥ 22.00,无用户评测,,14.7h,潜行
Samurai Zero,¥ 0.00,,,,动作
Starless,¥ 32.00,90%,33,2.0h,"潜行, 动作"
Destroy Geometric Shapes,¥ 6.00,86%,23,0.7h,节奏
REDITUM,REDITUM Demo,2 篇用户评测,2,1.4h,平台游戏
Scrabdackle,¥ 58.00,96%,116,4.0h,动作
Endless Furry Asteroids,¥ 6.00,5 篇用户评测,5,2.9h,动作
Shadowman®: Darque Legacy,¥ 0.00,,,,动作
CrateTastrophe,¥ 11.00,3 篇用户评测,3,1.8h,动作
Vampire Clans,¥ 0.00,,,,"动作, 潜行"
JUST A GUY :  Online Multiplayer Ragdoll Game,¥ 0.00,,,,"动作, 平台游戏"
VAR: Exterminate,¥ 50.00,89%,130,4.4h,"街机, 动作"
Midnight Girl,¥ 58.00,92%,139,3.5h,潜行
Super Head Ball,¥ 26.00,100%,11,0.5h,"平台游戏, 动作, 街机"
Golfie,¥ 68.00,66%,269,3.0h,"动作, 平台游戏"
Caveman,¥ 3.00,100%,10,3.0h,街机
Dungeon and Gravestone,¥ 80.00,52%,17,6.0h,动作
Yupitergrad 🚀: Sneaki Peaki (Virtual Reality Adventure),免费,98%,52,3.4h,"动作, 平台游戏"
Trolley Simulator,¥ 0.00,,,,动作
Daenerys Miracle,¥ 6.00,84%,33,1.7h,"街机, 动作"
Riot Control Simulator,¥ 0.00,,,,动作
The Last Worker,¥ 76.00,63%,44,10.3h,动作
Light Infantry,¥ 35.00,84%,33,2.9h,动作
秋末求生 | Survive the Fall,¥ 119.00,67%,567,12.4h,"潜行, 动作"
Shadow Tactics: 爱子的选择 Aiko's Choice,¥ 80.00,93%,"3,889",9.1h,"潜行, 动作"
Guardians of the Wild Sky,¥ 0.00,,,,动作
Dangerous Chris,¥ 6.00,9 篇用户评测,9,1.3h,"街机, 动作"
Rebound Raver,¥ 6.00,7 篇用户评测,7,1.7h,"动作, 街机, 节奏"
Champion Battlegrounds,¥ 0.00,,,,"动作, 大逃杀"
Ragdoll Funhouse,¥ 11.00,4 篇用户评测,4,0.8h,"街机, 动作, 平台游戏"
NULLPTR,¥ 50.00,100%,11,2.9h,潜行
飞龙勇士,¥ 36.50,94%,138,6.4h,动作
Host 714,¥ 22.00,100%,18,1.3h,"动作, 潜行"
NaÀra: Contos de Resistência,¥ 32.00,8 篇用户评测,8,0.9h,"动作, 潜行"
Void Surfer,¥ 32.00,2 篇用户评测,2,2.0h,"动作, 街机"
The Light Brigade,¥ 92.00,88%,"1,059",6.1h,动作
夏まつりのハナビィ Hanaby's Summer Festival,¥ 75.00,96%,30,8.0h,动作
Mimetic - Prop hunt hide and seek,¥ 36.00,83%,12,0.1h,动作
HUMANS CONNECT,免费,78%,42,6.9h,动作
Trial of Two,¥ 35.00,1 篇用户评测,1,,动作
Galaxy ONE,¥ 62.00,,,,动作
Tiddy Bounce,¥ 11.00,3 篇用户评测,3,0.8h,平台游戏
枪伞游侠,¥ 58.00,86%,853,4.2h,"平台游戏, 动作"
Pearls of the Oceans,¥ 6.00,1 篇用户评测,1,2.1h,街机
Mad Cart,¥ 6.00,,,0.9h,"街机, 动作"
Ambidextrous Psychopath,¥ 6.00,9 篇用户评测,9,2.4h,平台游戏
Descent Vector: Space Runner,¥ 22.00,6 篇用户评测,6,1.6h,"街机, 动作"
The LastOnesLeft,¥ 26.00,60%,23,1.4h,动作
Godspell Defender,¥ 11.00,66%,15,3.0h,动作
Hunted: Kobayashi Tower,¥ 22.00,100%,19,1.1h,潜行
NINJA GAIDEN Σ2 [NINJA GAIDEN: Master Collection],¥ 249.00,79%,"1,567",19.6h,"动作, 角色动作"
NINJA GAIDEN Σ [NINJA GAIDEN: Master Collection],¥ 249.00,83%,"2,354",13.7h,"动作, 角色动作"
Lovengrad,¥ 0.00,,,,"动作, 潜行"
It's Not Rocket Science!,¥ 18.00,1 篇用户评测,1,0.2h,"动作, 街机"
Escape Abstraction,¥ 26.00,2 篇用户评测,2,4.1h,平台游戏
Thief Shop,¥ 18.00,无用户评测,,0.2h,"动作, 潜行"
The Trigger,¥ 26.00,80%,10,1.6h,动作
Haunted House - The Murder,¥ 11.00,4 篇用户评测,4,1.6h,动作
The Floor is [Blank],¥ 15.00,3 篇用户评测,3,1.2h,"平台游戏, 动作"
Memento Infernum,免费开玩,94%,17,6.8h,动作
天使之王：梅塔特隆的飞升 高清复刻版,¥ 60.00,85%,414,4.2h,动作
Dipod: The Foot Legacy,¥ 0.00,,,,"动作, 平台游戏"
Enemy Engaged: Apache vs Havoc,¥ 26.00,5 篇用户评测,5,3.7h,动作
Bittersweet Birthday,¥ 68.00,92%,25,3.4h,动作
Enemy Engaged 2: Desert Operations,¥ 36.00,40%,15,3.4h,动作
Combat Labs,¥ 11.00,7 篇用户评测,7,2.0h,"动作, 街机"
Earth Guard: Egypt,免费开玩,8 篇用户评测,8,7.0h,动作
Dark Runner,¥ 22.00,1 篇用户评测,1,0.7h,"平台游戏, 动作"
K.O. Cult,¥ 0.00,,,,"街机, 动作"
Pets No More,¥ 22.00,52%,17,2.1h,街机
哈鲁,¥ 0.00,,,,"动作, 潜行"
四色战队: Ultra Sentai Color Ranger,¥ 52.00,96%,26,1.2h,"街机, 动作"
HUMANITY,¥ 108.00,93%,470,5.9h,动作
Dragon Drop,¥ 24.00,98%,65,3.3h,"动作, 街机"
Gethaut,¥ 39.00,,,,动作
超级鲁斯泡,¥ 9.00,6 篇用户评测,6,0.9h,"动作, 街机"
The Five Covens,¥ 22.00,5 篇用户评测,5,1.3h,平台游戏
Operation Thunder,¥ 22.00,100%,12,1.0h,动作
Super Sunny Island,¥ 22.00,95%,20,1.3h,"平台游戏, 街机, 动作"
Online Retro Tennis,¥ 11.00,,,1.5h,街机
Super Mega Zero,¥ 37.00,100%,25,4.3h,"平台游戏, 动作"
The Magic of Three,免费开玩,94%,17,10.4h,平台游戏
The Forgotten Isles,¥ 15.00,3 篇用户评测,3,1.2h,"平台游戏, 街机"
Memorize V,¥ 3.00,6 篇用户评测,6,1.8h,街机
A Couple Of Cubes,¥ 0.00,,,,"平台游戏, 动作"
Parallax Tunnel,¥ 6.00,1 篇用户评测,1,1.4h,街机
Rounded Hills,¥ 6.00,3 篇用户评测,3,2.1h,平台游戏
Sleepy Sunday,¥ 32.00,1 篇用户评测,1,0.7h,"动作, 平台游戏"
Fast Finger Rule,免费开玩,8 篇用户评测,8,10.7h,"动作, 街机"
LumbearJack,¥ 52.00,95%,255,4.0h,动作
Color Pixel Heroes,¥ 11.00,4 篇用户评测,4,16.2h,动作
ALL OUT WAR : Welcome To The Front,¥ 0.00,,,,动作
Corduroy Hollow,¥ 0.00,,,,"动作, 潜行"
Midautumn,¥ 92.00,69%,13,0.7h,动作
The Little Red Lie,免费开玩,93%,579,2.3h,平台游戏
Bike Baron 2: The Art of Riding,¥ 0.00,,,,"街机, 动作, 平台游戏"
Recapture the Castle,¥ 6.00,51%,29,0.9h,动作
Capsule,¥ 18.00,3 篇用户评测,3,0.8h,街机
Abyss Memory Fallen Angel and the Path of Magic,¥ 22.00,6 篇用户评测,6,1.2h,动作
Reknum Cheri Dreamland,¥ 28.00,6 篇用户评测,6,2.1h,"动作, 街机, 平台游戏"
Cursed House,¥ 0.00,64%,34,1.2h,动作
Purgatory Heroes,¥ 0.00,,,,动作
Reknum Fantasy of Dreams,¥ 76.00,4 篇用户评测,4,0.1h,动作
Darkion,¥ 0.00,,,,动作
Last Group Out,¥ 37.00,81%,457,11.2h,动作
PURGE - Three vs Blood,¥ 21.75,47%,17,3.7h,动作
Sphere Game Epic,¥ 3.08,9 篇用户评测,9,1.6h,"平台游戏, 街机"
Motomancer: Auto Battle on Stream,¥ 0.00,,,,"动作, 街机"
Memory Train,¥ 18.00,,,1.5h,街机
佣兵猎手,¥ 70.00,68%,618,5.8h,动作
The Redress of Mira,¥ 33.00,73%,38,3.3h,平台游戏
Ball,¥ 11.00,9 篇用户评测,9,1.0h,动作
Communist Clicker,¥ 15.00,8 篇用户评测,8,1.6h,街机
Two of us,免费,90%,11,6.4h,动作
Holy Purge : Exorcist,¥ 42.00,69%,165,2.6h,动作
SPEARHEAD,免费开玩,94%,78,3.4h,动作
The Legend of the War Axe,¥ 11.00,9 篇用户评测,9,3.7h,动作
Garenburg Penitence: The Riflebird,¥ 15.00,93%,15,4.3h,"街机, 动作"
战车指挥官,免费开玩,58%,29,9.0h,动作
Galactic Wars EX,¥ 32.00,85%,21,1.0h,"动作, 街机"
Warhammer Age of Sigmar: Realms of Ruin,¥ 57.10,55%,"1,815",6.3h,动作
长安地下城,¥ 0.00,,,,动作
罗刹封魔传,¥ 58.00,83%,43,10.8h,动作
Termina,¥ 26.00,5 篇用户评测,5,,"街机, 动作"
RedPixel,免费开玩,91%,12,7.8h,"街机, 平台游戏"
Krampus Kills,¥ 50.00,87%,65,2.2h,动作
Lastone: Behind the Choice,¥ 22.00,3 篇用户评测,3,2.0h,街机
Snakepit Larry,¥ 11.00,2 篇用户评测,2,1.1h,"平台游戏, 街机, 动作"
Ambition,¥ 6.00,1 篇用户评测,1,1.1h,动作
Mirrorama,¥ 3.30,83%,24,1.9h,平台游戏
红眼露比,¥ 0.00,,,,动作
Momo is Here,¥ 15.00,75%,49,0.7h,动作
Drug Lords,¥ 0.00,,,,动作
Infiltraliens,免费开玩,80%,55,2.8h,"潜行, 平台游戏"
Dungeonball,¥ 11.00,90%,11,1.7h,动作
Milo,¥ 18.00,3 篇用户评测,3,1.3h,"动作, 潜行"
I Believe In Giants,¥ 0.00,,,,"平台游戏, 动作"
pandaman,¥ 0.00,,,,动作
Aimlabs VR,免费,49%,154,10.0h,动作
Islands of the Caliph,¥ 42.00,88%,260,2.8h,动作
The Collar,¥ 22.00,1 篇用户评测,1,,"动作, 格斗"
Blood Souls,¥ 0.00,,,,动作
Darkness Battle,¥ 33.00,,,7.3h,"动作, 格斗"
Cyra and the Beacon Path,¥ 0.00,,,,"平台游戏, 动作"
MOLOGA,¥ 6.00,6 篇用户评测,6,5.6h,动作
Shape Boxed,¥ 18.00,,,2.9h,街机
Mystery of Island,¥ 15.00,4 篇用户评测,4,2.4h,动作
龙腾世纪™: 影障守护者,¥ 298.00,68%,"40,383",39.0h,动作
ASMR,免费开玩,6 篇用户评测,6,37.5h,动作
Scripture,¥ 50.00,2 篇用户评测,2,2.9h,动作
10 Seconds to Win!,¥ 6.00,94%,133,1.3h,"节奏, 平台游戏, 动作"
Dodo Life,¥ 0.00,,,,潜行
Sushi Battle Riot,¥ 0.00,,,,"格斗, 动作, 街机"
Land Of Eno,¥ 12.00,8 篇用户评测,8,0.3h,动作
Gates of Siberia: Wildlands,¥ 0.00,,,,"街机, 动作"
《极品飞车™：不羁》,¥ 248.00,61%,"46,714",22.9h,"动作, 街机"
Refraction: Beyond the Mirror,¥ 32.00,90%,10,0.8h,潜行
The First Odyssey,免费开玩,30%,26,9.4h,动作
Lilium Reach,¥ 0.00,,,,平台游戏
There Won't be Light,¥ 20.99,54%,51,1.7h,"动作, 潜行"
Skeletons,¥ 11.00,7 篇用户评测,7,2.0h,动作
Honored,免费开玩,72%,40,6.5h,动作
Missing Mildred,¥ 22.00,2 篇用户评测,2,1.1h,"动作, 平台游戏"
Jet Fighters with Friends  (Multiplayer),¥ 4.20,7 篇用户评测,7,0.5h,"动作, 街机"
守望之影,¥ 39.00,42%,21,1.8h,"动作, 潜行"
Mathomatics,¥ 18.00,,,1.1h,街机
Lichkeeper,免费开玩,91%,12,7.2h,平台游戏
Ruins Of Mitriom,免费,94%,99,3.9h,动作
Save Da Frogs,¥ 0.00,,,,平台游戏
雷鸟Thunderbird,¥ 26.00,87%,16,3.8h,动作
RocketBallZ,¥ 0.00,,,,街机
Rising of the Moon - Part 1,¥ 22.00,3 篇用户评测,3,1.4h,动作
Tkium Exclusion Area,¥ 15.00,4 篇用户评测,4,2.4h,动作
HiddenFrog,¥ 6.00,7 篇用户评测,7,2.4h,平台游戏
Project Kunai,¥ 22.00,86%,15,2.5h,"动作, 平台游戏"
Swing the Universe,¥ 26.00,4 篇用户评测,4,2.2h,"动作, 平台游戏"
Witchbane,¥ 0.00,,,,动作
Myth Caller: The Nightmare Shaman,¥ 0.00,,,,平台游戏
Militaristic Rain Of Terror,¥ 0.00,,,,"动作, 大逃杀, 潜行"
Shrumblo and the Magical Grumblo,¥ 6.00,3 篇用户评测,3,1.5h,"动作, 街机"
STARTMOVE,免费开玩,51%,37,48.4h,动作
Incursion: Reforged,¥ 22.00,77%,18,1.4h,"动作, 街机"
BiblioMania,免费开玩,77%,77,2.2h,平台游戏
Путин против Инопланетян: Extended Cut (CyberPutin 2033),¥ 0.00,,,,"动作, 街机"
Mysterious House,¥ 3.00,91%,23,5.4h,平台游戏
NEON STRUCT: Desperation Column,免费,89%,73,3.6h,"动作, 潜行"
Amelite,免费开玩,96%,31,5.1h,平台游戏
狗狗大冒险,免费开玩,83%,36,7.7h,平台游戏
Gelatine,¥ 26.00,90%,22,1.5h,"动作, 平台游戏"
Era Dream : Rose,免费,74%,31,4.3h,"节奏, 动作, 潜行"
FEAR: Call of the village,¥ 0.00,,,,动作
Nightmare of Decay,¥ 22.00,95%,"4,073",4.3h,动作
System Critical: The Race Against Time,¥ 22.00,3 篇用户评测,3,1.1h,"动作, 平台游戏, 街机"
Fruit Salad,¥ 11.00,95%,281,8.4h,街机
Num-Sama,¥ 22.00,1 篇用户评测,1,,动作
Marsh,¥ 22.00,100%,10,1.0h,"动作, 平台游戏, 街机"
Neon Ninja: Pixel Slasher,¥ 22.00,81%,11,10.4h,"街机, 动作"
Partizan,¥ 0.00,,,,"动作, 潜行"
Age,¥ 308.00,1 篇用户评测,1,2.2h,平台游戏
Under A Star Long Cold,¥ 15.00,81%,97,0.8h,"动作, 潜行"
Bounce Ball Blitz,免费开玩,7 篇用户评测,7,10.6h,"平台游戏, 街机, 动作"
倾覆之国：最后一战,¥ 46.00,40%,40,1.9h,动作
Death of Marionette,¥ 7.50,92%,53,3.5h,动作
Infection Crisis : Fight For Life,¥ 11.00,4 篇用户评测,4,3.6h,动作
Polygon Survival,¥ 3.00,44%,25,0.7h,动作
Oversleep,¥ 15.00,2 篇用户评测,2,1.9h,"街机, 平台游戏"
Secrets of the Dark Fortress,¥ 0.00,,,,动作
Punch the Garden,¥ 0.00,,,,动作
Seas of Rebellion,¥ 0.00,,,,动作
Alien Break,¥ 18.00,,,,"街机, 动作"
末世少女 Zombie Girl,¥ 38.00,51%,960,2.0h,动作
Exp10sion,¥ 11.00,100%,19,1.0h,"平台游戏, 动作"
Polybius Invaders 2,¥ 0.00,,,,"街机, 动作"
Sea of Brave: Aidan Adventure,¥ 48.00,8 篇用户评测,8,2.4h,"平台游戏, 动作"
SANDRIPPER,¥ 20.00,91%,34,2.1h,"动作, 街机"
破境,¥ 26.00,5 篇用户评测,5,1.1h,动作
感染 - 超级士兵计划,¥ 42.99,3 篇用户评测,3,8.3h,动作
Sympathia,免费,80%,25,10.6h,"动作, 节奏"
去分辨率,¥ 11.00,6 篇用户评测,6,2.2h,动作
DemonCountdown,¥ 22.00,1 篇用户评测,1,2.5h,动作
Codename Incubus,¥ 0.00,,,,动作
The Unknown Fear,¥ 15.00,4 篇用户评测,4,3.3h,动作
I'm Not Scared,¥ 0.00,,,,"街机, 动作"
Bladeborne,¥ 0.00,,,,动作
Fallen Ninja,¥ 6.00,68%,16,3.4h,"动作, 平台游戏"
Hellvivors Prologue,¥ 0.00,,,,动作
"Die, Pablo! - A tower defense adventure",¥ 15.00,2 篇用户评测,2,21.4h,动作
Chained Cucumber,¥ 0.00,,,,"动作, 街机"
Evil Hunt - Evil never sleeps,¥ 52.00,无用户评测,,1.5h,动作
Roots of Cinder,¥ 0.00,,,,动作
DUNGEON: Cradle of hell,¥ 22.00,6 篇用户评测,6,1.1h,平台游戏
Tiny Breakers Camp,¥ 6.30,80%,61,2.0h,"街机, 动作"
A Story About Farting,¥ 6.05,86%,30,3.5h,动作
Six Meat Under,¥ 33.00,8 篇用户评测,8,2.1h,动作
Relentless Impetus,¥ 26.00,2 篇用户评测,2,,动作
Morphscape: The Stylized Prop Pursuit,¥ 0.00,,,,"动作, 街机"
BULLETHELL,¥ 6.00,90%,81,2.4h,"动作, 街机"
Battle Record: Graizor,¥ 26.00,1 篇用户评测,1,,"动作, 平台游戏"
Searching,¥ 18.00,无用户评测,,7.8h,动作
Fight To The Death,¥ 7.50,76%,109,19.9h,动作
幽灵尖叫,¥ 42.00,78%,652,6.9h,平台游戏
Divine Pig,¥ 11.00,90%,11,0.8h,动作
Garden Of Coolembozo,¥ 0.00,,,,动作
Bounty City: 3-Way Battle,免费开玩,64%,54,22.3h,动作
艺术即是爆炸 - Art is Boom,¥ 18.00,4 篇用户评测,4,4.8h,动作
Highreach,¥ 0.00,,,,动作
Wizardry High School Exam,¥ 18.00,1 篇用户评测,1,,"动作, 街机"
小虫虫,¥ 11.00,88%,210,2.8h,动作
Dungeons of Mysteria,¥ 26.00,75%,12,4.9h,动作
MONKEE GAME,¥ 0.00,,,,"平台游戏, 动作"
偏差者,¥ 22.00,68%,857,5.8h,"动作, 平台游戏"
Tracks of the Arcana,¥ 22.00,3 篇用户评测,3,0.2h,"平台游戏, 动作"
Survive The Night,¥ 0.00,,,,动作
Aftermath,¥ 26.00,1 篇用户评测,1,1.2h,动作
Jery Mice vs Cats: Home Invasion,¥ 0.00,,,,动作
Древние Ящеры Против Русов: Битва за Гиперборею,¥ 6.00,85%,"1,259",2.9h,动作
Battle Wizard Attack,¥ 42.00,75%,29,3.6h,动作
Tile Ruler,¥ 11.00,,,,平台游戏
Pocket Race: Driver,¥ 11.00,1 篇用户评测,1,4.5h,"街机, 动作"
Dusky Depths,¥ 0.00,,,,动作
Dead 4 Now: Rebirth of Survivors,¥ 0.00,,,,动作
SCP: Containment Chaos,¥ 0.00,,,,"动作, 潜行"
Robots Shooting Simulator,¥ 6.00,41%,12,0.6h,动作
Infinity Castle Dungeon,¥ 18.00,87%,31,0.6h,动作
Arcane Fighters,免费开玩,82%,23,6.2h,"平台游戏, 动作"
虫群猎手,¥ 6.00,1 篇用户评测,1,1.6h,动作
Hexrite,¥ 0.00,,,,平台游戏
Checkout Blitz: The Shopping Dead,¥ 22.00,7 篇用户评测,7,1.1h,"街机, 动作"
Project Hybrid,¥ 36.00,4 篇用户评测,4,1.7h,动作
EVA,¥ 0.00,,,,动作
Faye Freelance: Rebel Reporter,¥ 0.00,,,,"动作, 平台游戏"
Urban Intel: Special Ops,¥ 74.00,,,,"动作, 大逃杀"
SurviBall,免费开玩,84%,33,3.0h,"街机, 平台游戏"
Energy Tanks,免费,81%,11,6.4h,"街机, 动作"
少女死神养成计划,¥ 0.00,,,,动作
SD Dungeons,¥ 36.00,58%,17,15.0h,动作
Footy Bash,¥ 0.00,,,,"街机, 动作"
Shadow Strikers,¥ 22.00,4 篇用户评测,4,0.7h,"格斗, 动作, 街机"
AVOID,¥ 42.00,90%,22,3.0h,"街机, 动作, 平台游戏"
Shell Runner 攻壳行者,¥ 24.75,56%,79,2.5h,动作
"Hue, Pulse",¥ 0.00,,,,"动作, 节奏"
Until the Last Plane 1942,免费开玩,84%,38,3.2h,"街机, 动作"
艾尔登法环 黑夜君临,¥ 198.00,83%,"123,190",133.6h,动作
纽洛亚诺克,¥ 0.00,,,,动作
城堡大师游戏,¥ 42.00,1 篇用户评测,1,3.4h,动作
Multiversal Affairs,¥ 0.00,,,,"平台游戏, 动作"
The Skyland Chronicles,¥ 0.00,,,,"动作, 潜行"
Incaved Runner,¥ 18.00,96%,76,1.8h,"动作, 街机, 平台游戏"
Yeah Wow Hey,¥ 29.99,7 篇用户评测,7,5.5h,"动作, 平台游戏"
Aurule Dynasty,¥ 0.00,,,,动作
Homeland,¥ 18.20,62%,37,3.5h,"动作, 平台游戏"
Cupid: Roguelite,¥ 0.00,,,,动作
Park Ranger Simulator,¥ 58.00,18%,79,2.8h,动作
The Wicked Souls,¥ 0.00,,,,动作
Avium,¥ 42.00,84%,26,1.9h,动作
Favela Zombie Shooter,¥ 18.00,2 篇用户评测,2,1.4h,动作
Frenzy Blood,¥ 0.00,,,,动作
午夜机器人,¥ 38.00,80%,46,6.1h,动作
Berzerk: Recharged,¥ 42.00,63%,44,4.8h,"街机, 动作"
Adhd Arena,¥ 18.00,,,,街机
Vivaldia 2,免费,80%,45,8.8h,"平台游戏, 动作, 街机"
Xenoterrestrial,¥ 15.00,1 篇用户评测,1,1.9h,动作
The Elder Scrolls IV: Oblivion Remastered,¥ 249.00,77%,"57,335",24.7h,动作
Atlas Wars,¥ 0.00,,,,"动作, 街机, 格斗"
War Trigger,¥ 0.00,,,,"大逃杀, 动作"
Quiverless,¥ 8.30,3 篇用户评测,3,,动作
Noctheria,¥ 0.00,,,,动作
Defendrion,¥ 0.00,,,,动作
NEKRO3,¥ 15.00,2 篇用户评测,2,1.2h,"街机, 动作, 潜行"
蛛丝王朝,¥ 0.00,,,,"平台游戏, 动作"
Epos Survivors,¥ 0.00,,,,动作
Bones&Darks,¥ 11.00,5 篇用户评测,5,2.1h,动作
AKIBA MANUAL OVERRIDE,¥ 0.00,,,,动作
Bananaganza,¥ 15.00,3 篇用户评测,3,3.7h,"动作, 街机"
Replicomica,免费开玩,98%,57,5.8h,平台游戏
Sunfluffs,¥ 48.00,100%,50,5.4h,平台游戏
四面楚歌,¥ 0.00,,,,动作
ELEMENTAL SOUL,¥ 0.00,,,,动作
DDD - Drone Drop Dash,免费开玩,7 篇用户评测,7,10.4h,街机
黄金矿工:经典版,¥ 16.69,82%,299,3.8h,"街机, 动作"
Service with a Shotgun,¥ 27.80,94%,72,2.4h,动作
Irredeemable,¥ 0.00,,,,动作
Crabageddon,¥ 15.00,1 篇用户评测,1,,动作
Shadowland: Rise Of The Fallen,¥ 11.00,,,2.2h,动作
School Crisis,¥ 0.00,,,,"动作, 潜行"
Bloodmatch,¥ 18.00,92%,14,3.6h,动作
Ants: Leaf-al Warfare,免费开玩,66%,12,13.6h,动作
BallStack,¥ 15.00,,,,街机
Hop Drop,¥ 26.00,5 篇用户评测,5,0.3h,"动作, 街机"
Shoot Your Pal,¥ 0.00,,,,"平台游戏, 动作"
Angle Of Attack,¥ 0.00,,,,动作
修罗的杀阵：桌面拉面食堂,¥ 15.00,76%,109,49.6h,动作
Horde Slayer,¥ 33.00,2 篇用户评测,2,0.1h,动作
Bear Defence Situation,¥ 0.00,,,,动作
Ward 777 - الجناح 777,¥ 6.60,75%,20,1.6h,动作
OoglyBoogly,¥ 0.00,,,,"动作, 街机"
Bar at the Edge of Papillon,¥ 0.00,,,,街机
Colorbound,¥ 0.00,,,,平台游戏
Dumb AF,¥ 10.00,4 篇用户评测,4,2.3h,"动作, 街机, 平台游戏"
Wall Brawl,¥ 0.00,,,,"动作, 大逃杀"
FrostCore,¥ 6.00,2 篇用户评测,2,2.0h,"动作, 平台游戏"
My Fishing Desktop,¥ 15.00,2 篇用户评测,2,8.6h,街机
For Eternity,¥ 0.00,,,,"平台游戏, 街机"
Alienhead,¥ 0.00,,,,"街机, 动作"
Cordel Lands,¥ 18.00,1 篇用户评测,1,,动作
Seize the Cheese,¥ 18.00,4 篇用户评测,4,2.8h,"平台游戏, 动作"
Legacy of The Botanist,¥ 0.00,,,,平台游戏
Pumpkin & Patch,¥ 0.00,,,,"动作, 平台游戏"
Sub-Species,¥ 0.00,,,,"动作, 街机"
RUMOUR,¥ 0.00,,,,动作
CARNiVORY,¥ 0.00,,,,动作
Jungle Rot,¥ 0.00,,,,动作
The Warrens,¥ 52.00,3 篇用户评测,3,0.1h,"动作, 潜行"
Gyre,¥ 6.00,1 篇用户评测,1,2.7h,街机
Batta? Batta!,免费开玩,92%,28,8.1h,平台游戏
Monster Clicker: Origins,¥ 0.00,,,,"街机, 动作"
​VR拳击：冠军之路,¥ 88.90,无用户评测,,0.9h,动作
EONA,¥ 0.00,,,,"平台游戏, 动作, 潜行"
Color Connect,¥ 0.00,,,,街机
Grimfog: Dead Hand Path,¥ 0.00,,,,动作
Countryballs: Power Protocol,¥ 42.00,73%,108,5.0h,动作
C.L.U.C.K.,¥ 0.00,,,,"动作, 潜行"
Escape.exe,¥ 0.00,,,,"动作, 潜行"
MODULE,¥ 0.00,,,,"动作, 平台游戏"
Magic Dodgeball: Homeless Edition,¥ 0.00,,,,动作
Mitrys,¥ 0.00,,,,动作
Soap,¥ 18.00,2 篇用户评测,2,1.1h,"街机, 平台游戏, 动作"
Risko,¥ 0.00,,,,"街机, 平台游戏"
American Cooking Simulator: Multiplayer,¥ 0.00,,,,动作
Mercy Incore,¥ 0.00,,,,动作
RogueBike GP,¥ 0.00,,,,街机
A Cat in the Cangaço,¥ 0.00,,,,动作
Plane Crazy Championship Edition,¥ 26.00,6 篇用户评测,6,5.0h,街机
Shape Blast,¥ 0.00,,,,街机
Flarebound,¥ 0.00,,,,动作
Koromi,¥ 0.00,,,,"动作, 平台游戏"
Killer Aces Volleyball,¥ 0.00,,,,"街机, 动作"
Maze Odyssey,¥ 5.40,1 篇用户评测,1,2.1h,街机
Enrobssyba,免费开玩,85%,64,7.3h,动作
Astral Sanctum,¥ 0.00,,,,"平台游戏, 街机"
Jerry the Zombie Slayer,¥ 0.00,,,,动作
Brimstone,¥ 0.00,,,,"平台游戏, 动作"
Operation Ninurta - Eris Portal,¥ 22.00,无用户评测,,0.2h,动作
Freak,¥ 0.00,,,,"动作, 潜行"
southbound,¥ 0.00,,,,动作
西部无殒,¥ 0.00,,,,"平台游戏, 动作"
TimeSplit,¥ 0.00,,,,动作
QBob: Remastered,¥ 33.00,1 篇用户评测,1,6.0h,"动作, 街机"
Vanquish Evil,¥ 22.00,2 篇用户评测,2,1.6h,动作
Bartholomew.exe,免费,83%,37,6.8h,"动作, 街机"
Hop n' Hook,免费开玩,100%,10,21.9h,平台游戏
